Ba_BWI1;Icode;Region;Tangenz
AH;901;1;40
AH;901;2;45,6
AH;901;3;44,5
BAH;902;1;40
BAH;902;2;45,6
BAH;902;3;44,5
BI;903;1;41,1
BI;903;2;42
BI;903;3;45,5
BLB;904;1;37
BLB;904;2;42,2
BLB;904;3;40
BPA;905;1;38,8
BPA;905;2;40
BPA;905;3;43,7
BU;906;1;43,8
BU;906;2;44,3
BU;906;3;48,3
DGL;907;1;52,5
DGL;907;2;45,9
DGL;907;3;52,4
EI;908;1;35,6
EI;908;2;42,9
EI;908;3;43,9
EIB;94;1;38,8
EIB;94;2;63,5
EIB;94;3;46,7
EL;909;1;26,5
EL;909;2;26,5
EL;909;3;30,4
ELA;910;1;60,8
ELA;910;2;55,6
ELA;910;3;67
ERL;911;1;45
ERL;911;2;44,8
ERL;911;3;46,3
ES;912;1;40,1
ES;912;2;37,9
ES;912;3;46,7
FAH;913;1;24,3
FAH;913;2;24,3
FAH;913;3;32,5
FI;914;1;54
FI;914;2;54
FI;914;3;63,8
HBU;915;1;35,6
HBU;915;2;37,3
HBU;915;3;35,4
JLA;916;1;60,8
JLA;916;2;55,6
JLA;916;3;67
KA;917;1;26
KA;917;2;36,4
KA;917;3;36,2
KI;918;1;52,8
KI;918;2;54
KI;918;3;60
KIR;919;1;45,2
KIR;919;2;29,8
KIR;919;3;38,9
KTA;920;1;48
KTA;920;2;43,3
KTA;920;3;49,3
LAE;921;1;60,8
LAE;921;2;55,6
LAE;921;3;67
LB;929;1;37
LB;929;2;33,2
LB;929;3;33,5
LI;922;1;26,7
LI;922;2;43
LI;922;3;37,9
NB;930;1;38,8
NB;930;2;63,5
NB;930;3;46,7
PA;923;1;38,8
PA;923;2;40
PA;923;3;43,7
REI;924;1;35,6
REI;924;2;42,9
REI;924;3;43,9
ROB;925;1;30
ROB;925;2;36,3
ROB;925;3;36,5
SAH;926;1;40
SAH;926;2;45,6
SAH;926;3;44,5
SFI;927;1;50,3
SFI;927;2;45,2
SFI;927;3;70,7
SKI;928;1;40
SKI;928;2;46,9
SKI;928;3;52,8
SLB;929;1;37
SLB;929;2;33,2
SLB;929;3;33,5
SNB;930;1;38,8
SNB;930;2;63,5
SNB;930;3;46,7
TA;931;1;49,5
TA;931;2;61,8
TA;931;3;62
THU;932;1;31,7
THU;932;2;31,7
THU;932;3;48
TSU;933;1;43,2
TSU;933;2;43,2
TSU;933;3;43,2
UL;934;1;26
UL;934;2;21,9
UL;934;3;26,5
VB;935;1;42
VB;935;2;34,2
VB;935;3;36,6
WEI;936;1;30
WEI;936;2;30
WEI;936;3;31,7
WEY;937;1;50,7
WEY;937;2;65,5
WEY;937;3;59,6
