bund_nr,team,datum,geraet,randtyp_1,randform_1,anfang_dist_1,anfang_azi_1,end_dist_1,end_azi_1,knick_dist_1,knick_azi_1,randtyp_2,randform_2,anfang_dist_2,anfang_azi_2,end_dist_2,end_azi_2,knick_dist_2,knick_azi_2,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,anmerkung
130001,KF,2012-06-06,-9,,,,,,,,,,,,,,,,,1,7,1,1,-9,2,1,1,1,
130002,KF,2012-06-12,-9,,,,,,,,,,,,,,,,,1,3,4,2,1,1,1,1,1,
130003,KF,2012-06-07,-9,,,,,,,,,,,,,,,,,1,6,6,3,2,2,1,1,1,
130004,KF,2012-06-11,-9,,,,,,,,,,,,,,,,,1,7,6,3,3,3,1,1,1,
130005,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
130006,KF,2012-06-11,-9,,,,,,,,,,,,,,,,,1,4,2,3,-9,1,1,1,1,
130007,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
130008,KF,2012-05-25,-9,,,,,,,,,,,,,,,,,1,3,1,2,-9,1,1,1,1,
130009,KF,2012-05-21,-9,,,,,,,,,,,,,,,,,1,7,2,6,6,2,1,1,1,
130010,KF,2012-05-26,-9,,,,,,,,,,,,,,,,,1,7,1,1,-9,2,1,1,1,
130011,KF,2012-05-23,-9,,,,,,,,,,,,,,,,,1,1,1,2,-9,1,1,1,1,
130012,KF,2012-05-21,-9,,,,,,,,,,,,,,,,,1,6,2,2,6,4,1,1,1,
130013,KF,2012-03-12,-9,3,1,2176,308,1691,380,-2,-2,,,,,,,,,1,4,1,1,-9,1,1,1,1,
130014,KF,2012-07-04,-9,,,,,,,,,,,,,,,,,1,2,2,4,6,1,1,1,1,
130015,KF,2012-06-15,-9,,,,,,,,,,,,,,,,,1,2,2,3,5,1,1,1,1,
130016,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
130017,KF,2012-06-14,-9,2,1,2165,194,1982,67,-2,-2,,,,,,,,,1,7,1,1,-9,2,1,1,1,
130018,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
130019,KF,2012-06-12,-9,,,,,,,,,,,,,,,,,1,3,1,2,-9,1,1,1,1,
130020,KF,2012-07-04,-9,,,,,,,,,,,,,,,,,1,8,1,6,-9,2,1,1,1,
130021,KF,2012-07-06,-9,,,,,,,,,,,,,,,,,1,2,1,5,-9,1,1,1,1,
130022,KF,2012-06-05,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
130023,KF,2012-06-05,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
130024,KF,2012-06-18,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
130025,KF,2012-06-15,-9,,,,,,,,,,,,,,,,,1,2,2,2,5,1,1,1,1,
130026,KF,2012-05-24,-9,,,,,,,,,,,,,,,,,1,2,2,2,2,1,1,1,1,
130027,KF,2012-05-24,-9,,,,,,,,,,,,,,,,,1,2,2,2,2,1,1,1,1,
130028,KF,2012-07-08,-9,,,,,,,,,,,,,,,,,1,2,2,4,6,1,1,1,1,
130029,KF,2012-06-04,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
130030,KF,2012-06-28,-9,,,,,,,,,,,,,,,,,1,4,1,1,-9,1,2,1,1,
130031,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
130032,KF,2012-05-22,-9,,,,,,,,,,,,,,,,,1,7,2,2,2,2,1,1,1,
130033,KF,2012-06-04,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
130034,KF,2012-06-20,-9,,,,,,,,,,,,,,,,,1,8,1,2,-9,1,1,1,1,
130035,KF,2012-06-18,-9,,,,,,,,,,,,,,,,,1,5,2,2,5,1,1,1,1,
130036,KF,2012-06-29,-9,,,,,,,,,,,,,,,,,1,2,2,2,2,1,1,1,1,
