bund_nr,pk_nr,pk_richtung,pk_dist,pk_aufnahme,pk_maxdist
130001,1,n,1000,2,-9
130001,3,s,1000,2,-9
130001,2,o,1000,2,-9
130001,4,w,1000,2,-9
130002,2,o,1000,1,225
130002,1,n,1000,1,160
130002,4,w,1000,1,293
130002,3,s,1000,1,178
130003,4,w,1000,1,440
130003,2,o,1000,1,225
130003,1,n,1000,1,498
130003,3,s,1000,1,116
130004,2,o,1000,1,233
130004,4,w,1000,1,412
130004,3,s,1000,1,180
130004,1,n,1000,1,97
130005,4,w,1000,-1,-9
130005,1,n,1000,-1,-9
130005,2,o,1000,-1,-9
130005,3,s,1000,-1,-9
130006,3,s,1000,1,196
130006,1,n,1000,1,498
130006,4,w,1000,1,138
130006,2,o,1000,1,273
130007,4,w,1000,-1,-9
130007,3,s,1000,-1,-9
130007,1,n,1000,-1,-9
130007,2,o,1000,-1,-9
130008,2,o,1000,2,-9
130008,3,s,1000,1,244
130008,4,w,1000,2,-9
130008,1,n,1000,2,-9
130009,2,o,1000,2,-9
130009,1,n,1000,1,120
130009,3,s,1000,2,-9
130009,4,w,1000,2,-9
130010,2,o,1000,1,242
130010,1,n,1000,1,265
130010,4,w,1000,1,126
130010,3,s,1000,1,70
130011,3,s,1000,1,349
130011,1,n,1000,1,492
130011,2,o,1000,1,365
130011,4,w,1000,1,490
130012,2,o,1000,1,390
130012,1,n,1000,1,500
130012,4,w,1000,1,403
130012,3,s,1000,1,315
130013,2,o,1000,1,435
130013,3,s,1000,1,473
130013,4,w,1000,1,497
130013,1,n,1000,2,-9
130014,2,o,1000,1,268
130014,1,n,1000,1,212
130014,3,s,1000,1,155
130014,4,w,1000,1,292
130015,2,o,1000,1,287
130015,3,s,1000,1,252
130015,1,n,1000,1,300
130015,4,w,1000,1,308
130016,2,o,1000,-1,-9
130016,3,s,1000,-1,-9
130016,4,w,1000,-1,-9
130016,1,n,1000,-1,-9
130017,3,s,1000,1,127
130017,1,n,1000,1,231
130017,4,w,1000,1,157
130017,2,o,700,1,68
130018,2,o,1000,-1,-9
130018,3,s,1000,-1,-9
130018,1,n,1000,-1,-9
130018,4,w,1000,-1,-9
130019,1,n,1000,2,-9
130019,3,s,1000,1,85
130019,2,o,1000,1,86
130019,4,w,1000,2,-9
130020,2,o,1000,1,45
130020,1,n,1000,1,54
130020,3,s,1000,1,84
130020,4,w,1000,1,43
130021,1,n,1000,1,375
130021,4,w,1000,1,445
130021,2,o,1000,2,-9
