bund_nr,team,datum,domstreuart,astreuart,domhumusform_ka6,ahumusform_ka6,domhumusform_ka5,ahumusform_ka5
130001,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130002,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130003,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130004,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130005,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130006,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130007,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130008,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130009,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130010,Heinkele;Martin,2005-11-25,vb,-2,-9,-9,muo,mom
130011,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130012,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130013,Heinkele;Martin,2005-10-13,vb,-2,-9,-9,mom,muo
130014,Heinkele;Martin,2005-10-12,vbn,-2,-9,-9,mom,-2
130015,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130016,-9,1970-01-01,-9,-9,-9,-9,-9,-9
130017,Heinkele;Martin,2006-03-29,vbn,-2,-9,-9,muo,-2
130018,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130019,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130020,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130021,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130022,Heinkele;Martin,2006-02-28,vgn,-2,-9,-9,gmo,moa
130023,Heinkele;Martin,2005-11-26,vbn,-2,-9,-9,mor,ror
130024,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130025,-9,1970-01-01,-9,-9,-9,-9,-2,-2
130026,Heinkele;Martin,2005-11-17,vbn,-2,-9,-9,muo,-2
130027,Heinkele;Martin,2005-10-28,vbn,vn,-9,-9,mom,moa
130028,Heinkele;Martin,2005-10-14,vbn,-2,-9,-9,moa,mom
130029,Heinkele;Martin,2006-03-29,vn,-2,-9,-9,mrr,roa
