bund_nr,team,datum,anmerkung
130001,-2,1970-01-01,Status 26
130010,Martin;Just,2006-08-23,20.02.2006
130013,Martin;Just,2006-08-23,
130014,Martin;Just,2006-02-28,
130016,-2,1970-01-01,Status -2
130017,Martin;Just,2006-02-28,20.02.2006
130022,Martin;Just,2006-02-28,
130023,Martin;Just,2006-02-28,
130026,Martin;Just,2006-12-20,
130027,Martin;Just,2006-02-28,
130028,Martin;Just,2006-02-28,
130029,Martin;Just,2006-02-28,
130032,Martin;Just,2006-08-23,28.02.2006
130033,Martin;Just,2006-02-28,
130036,Martin;Just,2006-02-28,
130037,Martin;Just,2006-02-28,
130039,Martin;Just,2006-02-28,
130042,Martin;Just,2006-02-28,
130044,Martin;Just,2006-02-28,
130046,Martin;Just,2006-02-28,
130047,Martin;Just,2006-02-28,
130048,Martin;Just,2006-02-28,
130049,-2,1970-01-01,Status 26
130050,Martin;Just,2006-08-23,
130051,Martin;Just,2006-02-28,
130052,Martin;Just,2006-02-28,
130056,Martin;Just,2006-08-23,
130057,Martin;Just,2006-08-23,
130059,Martin;Just,2006-02-28,
130060,Martin;Just,2006-02-28,
130061,Martin;Just,2006-02-28,
130064,Martin;Just,2006-02-28,
130068,Martin;Just,2006-02-28,
130069,Martin;Just,2006-08-23,
130070,Just; Martin,2007-07-05,
130071,Martin;Just,2006-02-28,
130072,Martin;Just,2006-08-23,
130073,Martin;Just,2006-02-28,
130074,Martin;Just,2006-08-23,
130075,Martin;Just,2006-08-23,
130076,Martin;Just,2006-02-28,
130077,Martin;Just,2006-02-28,
130078,Martin;Just,2006-08-23,19.01.2006
130079,Martin;Just,2006-02-28,
130080,Martin;Just,2006-02-28,
130081,Martin;Just,2006-02-28,
130082,Martin;Just,2006-02-28,
130083,Martin;Just,2006-02-28,
130084,Martin;Just,2006-02-28,
130085,-2,1970-01-01,Status -2
130086,-2,1970-01-01,Status -2
130087,-2,1970-01-01,Status -2
130088,Martin;Just,2006-08-23,20.02.2006
