bund_nr,team,datum,status,re_form,re_lage,neigung,exposition,anmerkung
130001,-2,1970-01-01,26,-2,-9,-2,-2,
130002,-2,1970-01-01,26,-2,-9,-2,-2,
130003,-2,1970-01-01,26,-2,-9,-2,-2,
130004,-2,1970-01-01,26,-2,-9,-2,-2,
130005,-9,1970-01-01,50,-9,-9,-9,-9,
130006,-2,1970-01-01,26,-2,-9,-2,-2,
130007,-9,1970-01-01,50,-9,-9,-9,-9,
130008,-2,1970-01-01,26,-2,-9,-2,-2,
130009,-2,1970-01-01,26,-2,-9,-2,-2,
130010,Heinkele;Martin,2005-11-25,0,hs,m,2,sw,
130011,-2,1970-01-01,26,-2,-9,-2,-2,
130012,-2,1970-01-01,26,-2,-9,-2,-2,
130013,Heinkele;Martin,2005-10-13,0,hf,m,10,n,
130014,Heinkele;Martin,2005-10-12,0,ks,z,0,fla,
130015,-2,1970-01-01,26,-2,-9,-2,-2,
130016,-1,1970-01-01,-2,-1,-9,-1,-1,
130017,Heinkele;Martin,2006-03-29,0,ks,z,0,fla,
130018,-9,1970-01-01,50,-9,-9,-9,-9,
130019,-2,1970-01-01,26,-2,-9,-2,-2,
130020,-2,1970-01-01,26,-2,-9,-2,-2,
130021,-2,1970-01-01,26,-2,-9,-2,-2,
130022,Heinkele;Martin,2006-03-28,0,hh,m,2,sw,
130023,Heinkele;Martin,2005-11-26,0,ks,z,0,fla,
130024,-2,1970-01-01,26,-2,-9,-2,-2,
130025,-2,1970-01-01,26,-2,-9,-2,-2,
130026,Heinkele;Martin,2005-11-17,0,hs,o,25,no,
130027,Heinkele;Martin,2005-10-28,0,hf,o,2,sw,
130028,Heinkele;Martin,2006-10-14,0,hf,u,2,s,
130029,Heinkele;Martin,2006-03-29,0,hh,m,2,sw,
130030,-2,1970-01-01,26,-2,-9,-2,-2,
130031,-1,1970-01-01,-2,-1,-9,-1,-1,
130032,Heinkele;Martin,2006-03-28,0,ks,z,0,fla,
130033,Heinkele;Martin,2006-03-27,0,ks,z,0,fla,
130034,-2,1970-01-01,26,-2,-9,-2,-2,
130035,-2,1970-01-01,26,-2,-9,-2,-2,
130036,Heinkele;Martin,2005-10-30,0,ks,z,0,fla,
130037,Heinkele;Martin,2006-03-30,0,hh,m,20,sw,
130038,-9,1970-01-01,50,-9,-9,-9,-9,
130039,Heinkele;Martin,2005-10-15,0,hr,u,2,w,
130040,-2,1970-01-01,26,-2,-9,-2,-2,
130041,-2,1970-01-01,26,-2,-9,-2,-2,
130042,Heinkele;Martin,2005-11-27,0,hf,m,1,sw,
130043,-2,1970-01-01,26,-2,-9,-2,-2,
130044,Heinkele;Martin,2005-10-29,0,ks,z,0,fla,
130045,-9,1970-01-01,50,-9,-9,-9,-9,
130046,Heinkele;Martin,2005-11-13,0,hf,u,2,no,
130047,Heinkele/Martin/Just,2005-11-14,0,hf,u,2,w,
130048,Heinkele;Martin,2005-10-16,0,ks,z,0,fla,
130049,-2,1970-01-01,26,-2,-9,-2,-2,
130050,Heinkele;Martin,2005-11-12,0,hf,o,2,sw,
130051,Heinkele;Martin,2005-11-18,0,ks,z,0,fla,
130052,Heinkele;Martin,2005-10-29,0,ks,z,0,fla,
130053,-2,1970-01-01,26,-2,-9,-2,-2,
130054,-2,1970-01-01,26,-2,-9,-2,-2,
130055,-2,1970-01-01,26,-2,-9,-2,-2,
130056,Heinkele;Martin,2005-11-11,0,hf,m,10,no,
130057,Heinkele;Martin,2005-11-11,0,ks,k,0,fla,
130058,-2,1970-01-01,26,-2,-9,-2,-2,
130059,Heinkele/Martin/Wellbrock/Evers,2005-10-20,0,khf,z,2,w,
130060,Heinkele;Martin,2005-10-18,0,ks,z,0,fla,
130061,Heinkele; Martin,2005-10-17,0,ks,z,0,fla,
130062,-1,1970-01-01,-2,-1,-9,-1,-1,
130063,-2,1970-01-01,26,-2,-9,-2,-2,
130064,Heinkele;Martin,2005-10-21,0,hr,u,10,n,
130065,-9,1970-01-01,50,-9,-9,-9,-9,
130066,-1,1970-01-01,-2,-1,-9,-1,-1,
130068,Heinkele;Martin,2005-10-19,0,hf,z,2,so,
130069,Martin;Just,2006-08-28,0,ts,z,0,fla,
130070,Martin;Just,2007-04-13,0,ts,t,0,fla,
130071,Martin;Just,2007-04-24,0,ts,t,0,fla,
130072,Martin;Just,2006-07-21,0,kh,m,2,nw,
130073,Martin;Just,2007-03-27,0,ts,t,0,fla,
130074,Martin;Just,2006-08-22,0,tsf,t,0,fla,
130075,Martin;Just,2007-05-23,0,ts,t,0,fla,
130076,Martin;Just,2006-06-13,0,khf,u,30,n,
130077,Martin;Just,2006-05-31,0,kh,t,3,o,
130078,Martin;Just,2006-05-18,0,khf,m,2,so,
130079,Martin;Just,2006-07-12,0,khf,m,3,nw,
130080,Martin;Just,2007-06-06,0,kh,o,3,o,
130081,Martin;Just,2007-05-08,0,kh,u,25,so,
130082,Martin;Just,2006-06-06,0,ts,t,0,fla,
130083,Martin;Just,2006-05-11,0,ts,t,0,fla,
130084,Martin;Just,2007-04-10,0,kh,m,5,o,
130085,-1,1970-01-01,-2,-1,-9,-1,-1,
130086,-1,1970-01-01,-2,-1,-9,-1,-1,
130087,-1,1970-01-01,-2,-1,-9,-1,-1,
130088,Martin;Just,2007-07-11,19,kh,k,2,w,
