bund_nr,ort,lfd_nr,schicht,deckung_bze2,deckung,art,frequenz_epi,anz_flechten
130010,z,1,b1,0.01,-9.0,026.004.001,,
130010,z,2,b1,0.01,-9.0,035.001.001,,
130010,z,3,b1,10.0,-9.0,095.001.005,,
130010,z,4,b1,0.01,-9.0,105.001.005,,
130010,z,5,b1,0.01,-9.0,036.004.014,,
130010,z,6,b1,20.0,-9.0,026.005.002,,
130010,z,7,b1,30.0,-9.0,026.007.007,,
130010,z,8,b1,35.0,-9.0,036.001.001,,
130010,z,9,b2,6.0,-9.0,036.001.001,,
130010,z,10,b2,1.0,-9.0,026.004.001,,
130010,z,11,b2,1.0,-9.0,035.001.001,,
130010,z,12,b2,2.0,-9.0,095.001.005,,
130010,z,13,ks,0.5,-9.0,019.003.017,,
130010,z,14,ks,0.5,-9.0,080.009.076,,
130010,z,15,ks,5.0,-9.0,082.001.006,,
130010,z,16,ks,33.0,-9.0,095.001.005,,
130010,z,17,ks,0.01,-9.0,183.047.001,,
130010,z,18,ks,0.5,-9.0,019.003.001,,
130010,z,19,ks,5.0,-9.0,036.001.001,,
130010,z,20,ks,2.0,-9.0,057.006.001,,
130010,z,21,ks,5.0,-9.0,098.001.003,,
130010,z,22,ks,0.5,-9.0,151.012.001,,
130010,z,23,ks,17.0,-9.0,183.043.001,,
130010,z,24,ks,1.0,-9.0,193.102.001,,
130010,z,25,ss,1.0,-9.0,036.001.001,,
130010,z,26,ss,19.0,-9.0,095.001.005,,
130013,z,1,b1,20.0,-9.0,026.005.002,,
130013,z,2,b1,80.0,-9.0,036.001.001,,
130013,z,3,b2,1.0,-9.0,036.001.001,,
130013,z,4,b2,0.01,-9.0,095.001.005,,
130013,z,5,ks,0.01,-9.0,095.001.005,,
130013,z,6,ks,0.5,-9.0,019.003.009,,
130013,z,7,ks,0.5,-9.0,019.003.017,,
130013,z,8,ks,0.5,-9.0,037.001.001,,
130013,z,9,ks,0.5,-9.0,061.014.001,,
130013,z,10,ks,0.5,-9.0,080.035.014,,
130013,z,11,ks,0.5,-9.0,082.001.006,,
130013,z,12,ks,0.5,-9.0,095.001.001,,
130013,z,13,ks,0.5,-9.0,128.001.001,,
130013,z,14,ks,0.5,-9.0,019.003.001,,
130013,z,15,ks,7.0,-9.0,036.001.001,,
130013,z,16,ks,2.0,-9.0,098.001.003,,
130013,z,17,ks,0.5,-9.0,139.004.003,,
130013,z,18,ks,0.5,-9.0,164.001.002,,
130013,z,19,ks,6.0,-9.0,193.102.001,,
130013,z,20,ss,1.0,-9.0,036.001.001,,
130014,z,1,b1,20.0,-9.0,034.001.001,,
130014,z,2,b1,40.0,-9.0,026.007.007,,
130014,z,3,b1,0.5,-9.0,036.001.001,,
130014,z,4,b2,20.0,-9.0,036.001.001,,
130014,z,5,b2,10.0,-9.0,034.001.001,,
130014,z,6,b2,10.0,-9.0,036.004.014,,
130014,z,7,ks,2.0,-9.0,103.004.001,,
130014,z,8,ks,1.0,-9.0,036.001.001,,
130014,z,9,ks,1.0,-9.0,036.004.014,,
130014,z,10,ks,17.0,-9.0,098.001.003,,
130014,z,11,ks,5.0,-9.0,164.006.017,,
130014,z,12,ks,3.0,-9.0,193.102.001,,
130014,z,13,ks,5.0,-9.0,019.003.009,,
130014,z,14,ks,5.0,-9.0,019.003.017,,
130014,z,15,ks,1.0,-9.0,035.001.001,,
130014,z,16,ks,8.0,-9.0,080.009.007,,
130014,z,17,ks,8.0,-9.0,080.009.076,,
130014,z,18,ks,0.5,-9.0,080.028.002,,
130014,z,19,ks,17.0,-9.0,082.001.006,,
130014,z,20,ks,0.5,-9.0,142.004.001,,
130014,z,21,ks,1.0,-9.0,151.010.999,,
130014,z,22,ks,5.0,-9.0,193.074.005,,
130014,z,23,ms,1.0,-9.0,315.011.003,,
130014,z,24,ss,38.0,-9.0,036.001.001,,
130014,z,25,ss,1.0,-9.0,103.004.001,,
130014,z,26,ss,1.0,-9.0,164.006.017,,
130014,z,27,ss,10.0,-9.0,035.003.001,,
130014,z,28,ss,20.0,-9.0,080.028.002,,
130017,z,1,b1,40.0,-9.0,026.007.007,,
130017,z,2,b1,5.0,-9.0,036.004.014,,
130017,z,3,b1,30.0,-9.0,026.004.001,,
130017,z,4,b1,5.0,-9.0,095.001.005,,
130017,z,5,b2,5.0,-9.0,095.001.005,,
130017,z,6,b2,5.0,-9.0,036.004.014,,
130017,z,7,ks,0.5,-9.0,019.003.001,,
130017,z,8,ks,0.5,-9.0,077.001.002,,
130017,z,9,ks,0.5,-9.0,077.001.006,,
130017,z,10,ks,0.5,-9.0,080.035.018,,
130017,z,11,ks,0.5,-9.0,083.001.037,,
130017,z,12,ks,0.01,-9.0,146.004.003,,
130017,z,13,ks,0.01,-9.0,151.001.004,,
130017,z,14,ks,0.5,-9.0,151.010.009,,
130017,z,15,ks,0.5,-9.0,164.001.002,,
130017,z,16,ks,0.5,-9.0,164.006.017,,
130017,z,17,ks,0.5,-9.0,169.172.001,,
130017,z,18,ks,0.5,-9.0,183.046.004,,
130017,z,19,ks,2.0,-9.0,193.004.006,,
130017,z,20,ks,0.5,-9.0,193.048.018,,
130017,z,21,ks,0.5,-9.0,193.091.001,,
130017,z,22,ks,10.0,-9.0,193.102.001,,
130017,z,23,ks,0.5,-9.0,080.028.002,,
130017,z,24,ks,0.5,-9.0,080.034.999,,
130017,z,25,ks,1.0,-9.0,095.001.005,,
130017,z,26,ks,0.5,-9.0,151.010.008,,
130017,z,27,ks,5.0,-9.0,193.016.027,,
130017,z,28,ks,17.0,-9.0,193.087.022,,
130017,z,29,ks,40.0,-9.0,193.074.005,,
130017,z,30,ks,0.5,-9.0,019.003.017,,
130017,z,31,ks,0.01,-9.0,026.004.001,,
130017,z,32,ks,2.0,-9.0,057.002.002,,
130017,z,33,ks,0.01,-9.0,066.005.001,,
130017,z,34,ks,5.0,-9.0,080.009.007,,
130017,z,35,ks,10.0,-9.0,080.009.076,,
130017,z,36,ss,2.0,-9.0,095.001.005,,
130017,z,37,ss,3.0,-9.0,080.035.018,,
130022,z,1,b1,80.0,-9.0,026.007.007,,
130022,z,2,ks,10.0,-9.0,193.091.001,,
130022,z,3,ks,0.5,-9.0,028.005.002,,
130022,z,4,ks,0.5,-9.0,036.004.011,,
130022,z,5,ks,0.5,-9.0,080.035.018,,
130022,z,6,ks,30.0,-9.0,132.018.006,,
130022,z,7,ks,0.5,-9.0,019.003.009,,
130022,z,8,ks,0.5,-9.0,080.028.002,,
130022,z,9,ks,58.0,-9.0,193.074.005,,
130022,z,10,ms,80.0,-9.0,315.011.003,,
130023,z,1,b1,60.0,-9.0,026.007.007,,
130023,z,2,b1,10.0,-9.0,034.001.001,,
130023,z,3,b2,8.0,-9.0,034.001.001,,
130023,z,4,b2,2.0,-9.0,036.004.014,,
130023,z,5,ks,0.5,-9.0,036.004.014,,
130023,z,6,ks,0.5,-9.0,034.001.001,,
130023,z,7,ks,0.01,-9.0,040.001.006,,
130023,z,8,ks,37.0,-9.0,132.018.006,,
130023,z,9,ks,0.5,-9.0,135.009.001,,
130023,z,10,ks,40.0,-9.0,015.001.001,,
130023,z,11,ks,2.0,-9.0,019.003.009,,
130023,z,12,ks,1.0,-9.0,019.003.017,,
130023,z,13,ks,1.0,-9.0,057.002.002,,
130023,z,14,ks,0.01,-9.0,080.009.076,,
130023,z,15,ks,1.0,-9.0,080.028.002,,
130023,z,16,ks,0.5,-9.0,132.018.004,,
130023,z,17,ks,15.0,-9.0,193.074.005,,
130023,z,18,ks,1.0,-9.0,193.113.001,,
130023,z,19,ms,1.0,-9.0,357.005.003,,
130023,z,20,ms,9.0,-9.0,357.008.001,,
130023,z,21,ms,50.0,-9.0,315.011.003,,
130023,z,22,ss,5.0,-9.0,103.004.001,,
130023,z,23,ss,15.0,-9.0,080.028.002,,
130026,z,1,b1,70.0,-9.0,026.007.007,,
130026,z,2,b2,10.0,-9.0,139.004.003,,
130026,z,3,b2,40.0,-9.0,036.001.001,,
130026,z,4,b2,5.0,-9.0,036.004.011,,
130026,z,5,b2,5.0,-9.0,035.001.001,,
130026,z,6,b2,0.5,-9.0,080.028.002,,
130026,z,7,b2,35.0,-9.0,095.001.005,,
130026,z,8,ks,0.5,-9.0,019.003.009,,
130026,z,9,ks,1.0,-9.0,019.003.017,,
130026,z,10,ks,0.5,-9.0,057.002.002,,
130026,z,11,ks,0.5,-9.0,061.014.001,,
130026,z,12,ks,0.5,-9.0,080.009.007,,
130026,z,13,ks,0.5,-9.0,080.028.002,,
130026,z,14,ks,2.0,-9.0,095.001.005,,
130026,z,15,ks,16.0,-9.0,144.005.010,,
130026,z,16,ks,16.0,-9.0,193.040.003,,
130026,z,17,ks,1.0,-9.0,036.001.001,,
130026,z,18,ks,8.0,-9.0,098.001.003,,
130026,z,19,ks,0.5,-9.0,110.001.015,,
130026,z,20,ks,1.0,-9.0,139.004.003,,
130026,z,21,ks,4.0,-9.0,151.012.001,,
130026,z,22,ks,12.0,-9.0,193.004.006,,
130026,z,23,ss,1.0,-9.0,036.001.001,,
130027,z,1,b1,0.5,-9.0,026.005.002,,
130027,z,2,b1,40.0,-9.0,026.007.007,,
130027,z,3,b2,45.0,-9.0,036.001.001,,
130027,z,4,b2,10.0,-9.0,034.001.001,,
130027,z,5,b2,5.0,-9.0,036.004.011,,
130027,z,6,b2,20.0,-9.0,026.004.001,,
130027,z,7,b2,5.0,-9.0,080.028.002,,
130027,z,8,b2,5.0,-9.0,095.001.005,,
130027,z,9,ks,8.0,-9.0,019.003.017,,
130027,z,10,ks,8.0,-9.0,019.003.009,,
130027,z,11,ks,5.0,-9.0,080.009.007,,
130027,z,12,ks,0.5,-9.0,080.028.002,,
130027,z,13,ks,0.5,-9.0,082.001.006,,
130027,z,14,ks,0.5,-9.0,095.001.005,,
130027,z,15,ks,0.5,-9.0,183.042.001,,
130027,z,16,ks,17.0,-9.0,193.074.005,,
130027,z,17,ks,0.5,-9.0,193.102.001,,
130027,z,18,ks,8.0,-9.0,034.001.001,,
130027,z,19,ks,0.5,-9.0,036.004.011,,
130027,z,20,ks,5.0,-9.0,164.006.017,,
130027,z,21,ks,0.5,-9.0,183.043.001,,
130027,z,22,ks,0.5,-9.0,193.091.001,,
130027,z,23,ms,19.0,-9.0,315.011.003,,
130027,z,24,ms,1.0,-9.0,385.005.002,,
130027,z,25,ss,0.5,-9.0,026.004.001,,
130027,z,26,ss,0.5,-9.0,080.028.002,,
130027,z,27,ss,18.0,-9.0,036.001.001,,
130027,z,28,ss,0.5,-9.0,036.004.011,,
130027,z,29,ss,0.5,-9.0,034.001.001,,
130028,z,1,b1,60.0,-9.0,026.007.007,,
130028,z,2,b2,0.01,-9.0,080.034.014,,
130028,z,3,b2,29.0,-9.0,034.001.001,,
130028,z,4,b2,20.0,-9.0,036.001.001,,
130028,z,5,b2,1.0,-9.0,036.004.011,,
130028,z,6,b2,20.0,-9.0,080.028.002,,
130028,z,7,b2,0.5,-9.0,026.004.001,,
130028,z,8,ks,1.0,-9.0,080.028.002,,
130028,z,9,ks,1.0,-9.0,019.003.017,,
130028,z,10,ks,0.5,-9.0,057.002.002,,
130028,z,11,ks,4.0,-9.0,080.009.007,,
130028,z,12,ks,34.0,-9.0,080.009.076,,
130028,z,13,ks,0.01,-9.0,080.028.015,,
130028,z,14,ks,16.0,-9.0,082.001.006,,
130028,z,15,ks,0.01,-9.0,095.001.005,,
130028,z,16,ks,0.5,-9.0,151.010.008,,
130028,z,17,ks,0.5,-9.0,193.004.008,,
130028,z,18,ks,0.01,-9.0,193.016.027,,
130028,z,19,ks,0.5,-9.0,193.026.001,,
130028,z,20,ks,0.01,-9.0,193.074.001,,
130028,z,21,ks,0.5,-9.0,193.074.005,,
130028,z,22,ks,0.01,-9.0,193.083.001,,
130028,z,23,ks,0.01,-9.0,080.010.999,,
130028,z,24,ks,0.5,-9.0,019.003.001,,
130028,z,25,ks,2.0,-9.0,036.001.001,,
130028,z,26,ks,0.5,-9.0,036.004.011,,
130028,z,27,ks,0.01,-9.0,039.001.001,,
130028,z,28,ks,0.5,-9.0,040.001.006,,
130028,z,29,ks,0.01,-9.0,077.001.006,,
130028,z,30,ks,0.01,-9.0,080.017.009,,
130028,z,31,ks,4.0,-9.0,080.035.008,,
130028,z,32,ks,0.01,-9.0,098.001.001,,
130028,z,33,ks,0.5,-9.0,100.001.001,,
130028,z,34,ks,0.01,-9.0,151.010.009,,
130028,z,35,ks,0.5,-9.0,164.006.017,,
130028,z,36,ks,1.0,-9.0,169.172.001,,
130028,z,37,ks,1.0,-9.0,183.043.001,,
130028,z,38,ks,0.5,-9.0,193.091.001,,
130028,z,39,ks,0.5,-9.0,193.102.001,,
130028,z,40,ms,2.0,-9.0,315.011.003,,
130028,z,41,ms,3.0,-9.0,357.005.003,,
130028,z,42,ss,34.0,-9.0,080.028.002,,
130028,z,43,ss,5.0,-9.0,080.028.015,,
130028,z,44,ss,1.0,-9.0,026.004.001,,
130028,z,45,ss,1.0,-9.0,036.004.011,,
130028,z,46,ss,5.0,-9.0,080.034.014,,
130028,z,47,ss,2.0,-9.0,080.035.008,,
130028,z,48,ss,1.0,-9.0,100.001.001,,
130028,z,49,ss,1.0,-9.0,164.001.002,,
130029,z,1,b1,100.0,-9.0,026.007.007,,
130029,z,2,ks,0.01,-9.0,034.001.001,,
130029,z,3,ks,0.5,-9.0,036.001.001,,
130029,z,4,ks,0.5,-9.0,036.004.014,,
130029,z,5,ks,0.5,-9.0,080.035.018,,
130029,z,6,ks,18.0,-9.0,132.018.006,,
130029,z,7,ks,0.01,-9.0,189.002.029,,
130029,z,8,ks,0.5,-9.0,193.074.005,,
130029,z,9,ks,0.5,-9.0,199.012.999,,
