ICode;ACode;KurzD;KurzE;LangD;LangE;Sort;Farbe;Zu_1;Zu_2;Zu_3;Zu_4;Zu_5;Zu_bl_aufn;Zu_blGr0;Zu_blGr0neu2;Zu_blGr0alt;Zu_blGr1;Zu_blGr2;Zu_BlGr3_sort_e;Zu_blGr6a;Zu_blGr6b;Zu_blGr8Abl1;Zu_blGr8Abl2;Zu_blGr8Nbl2;Zu_blGr9Bund;Zu_blGr_ZESTEHO;Zu_blGr_Projekt_Alle;Zu_bl01SH;Zu_Bl02HH;Zu_bl03NI;Zu_bl04HB;Zu_bl05NW;Zu_bl06HE;Zu_bl07RP;Zu_bl08BW;Zu_bl09BY;Zu_bl10SL;Zu_bl11BE;Zu_bl12BB;Zu_bl13MV;Zu_bl14SN;Zu_bl15ST;Zu_bl16TH;Zu_bl300NI_HH_HB;Zu_bl1200BB_BE;Zu_blNordOst;Zu_blmitBlRegionen;Zu_blmitBlRegBezirk;Zu_blCluster_alt;Zu_blWEIBWI;Wie_BlRegionen_2002;Wie_BlRegionen_2012;Wie_Vbl;bl_defaultWEHAM_W;bl_defaultWEHAM_DF;bl_defaultWEHAM_EN;Region;FlaecheBWI1HH;FlaecheBWI1;FlaecheBWI2;FlaecheSBA2002;Einwohnerdichte;sort_public
1;SH;SH;SH;Schleswig-Holstein;Schleswig-Holstein;190;NULL;NULL;1;1;NULL;NULL;1;NULL;NULL;NULL;100;107;1000;111;777;771;772;NULL;9999;100;9999;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1101;NULL;NULL;Wb-Gruppe;L;100;100;100;1;1572700;1576880;1576880;15761,4;178;1100
2;HH;HH;HH;Hansestadt Hamburg;Hamburg (state);290;NULL;NULL;1;1;NULL;NULL;18;300;NULL;300;300;107;17000;111;777;771;772;NULL;9999;300;9999;NULL;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;300;NULL;NULL;NULL;NULL;1101;NULL;NULL;---;L;300;300;300;1;75500;75533;75533;755,16;2286;NULL
3;NI;NI;NI;Niedersachsen;Lower Saxony;390;NULL;NULL;1;1;NULL;NULL;18;300;NULL;300;300;107;3000;111;777;771;772;NULL;9999;300;9999;NULL;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;300;NULL;NULL;3;NULL;1101;NULL;Wb;Wb-Gruppe ;L+Wg;300;300;300;1;4743800;4742078;4761351;47616,48;167;NULL
4;HB;HB;HB;Hansestadt Bremen;Bremen (state);490;NULL;NULL;1;1;NULL;NULL;18;300;NULL;300;300;107;17000;111;777;771;772;NULL;9999;300;9999;NULL;NULL;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;300;NULL;NULL;NULL;NULL;1101;NULL;NULL;---;L;300;300;300;1;40400;40423;40423;404,23;1632;NULL
5;NW;NW;NW;Nordrhein-Westfalen;North Rhine-Westphalia;590;NULL;NULL;1;1;NULL;NULL;5;NULL;NULL;NULL;500;207;5000;222;777;771;772;NULL;9999;NULL;NULL;NULL;NULL;NULL;NULL;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5;NULL;1101;5;FA;Kreis-Gruppe;L;500;500;500;2;3406700;3407986;3407986;34081,87;530;700
6;HE;HE;HE;Hessen;Hesse;690;NULL;NULL;1;1;NULL;NULL;6;NULL;NULL;NULL;600;207;6000;222;777;771;772;NULL;9999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6;NULL;1102;6;Wb;Wb-Gruppe;L;600;600;600;2;2111400;2111482;2111482;21114,19;288;400
7;RP;RP;RP;Rheinland-Pfalz;Rhineland Palatinate;790;NULL;NULL;1;1;NULL;NULL;7;NULL;NULL;NULL;700;207;7000;222;777;771;772;NULL;9999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;NULL;1102;7;Gem;Wg-Gruppe;L;700;700;700;2;1984700;1984686;1984686;19846,74;204;800
8;BW;BW;BW;Baden-Württemberg;Baden-Württemberg;890;NULL;NULL;1;1;NULL;NULL;8;NULL;NULL;NULL;800;307;8000;333;777;771;772;NULL;9999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1103;NULL;NULL;---;L;800;800;800;3;3574100;3575163;3575163;35751,64;297;100
9;BY;BY;BY;Bayern;Bavaria;990;NULL;NULL;1;1;NULL;NULL;9;NULL;NULL;NULL;900;307;9000;333;777;771;772;NULL;9999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9;9;1104;9;Wb;---;L+OFD;900;900;900;3;7055300;7054796;7054796;70549,93;175;200
10;SL;SL;SL;Saarland;Saarland;1090;NULL;NULL;1;1;NULL;NULL;10;NULL;NULL;NULL;1000;207;10000;222;777;771;772;NULL;9999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1102;NULL;NULL;---;L;100;100;100;2;256800;257019;257019;2568,45;415;900
11;BE;BE;BE;Berlin;Berlin;1190;NULL;NULL;1;1;NULL;NULL;19;1200;1200;NULL;1200;206;12000;222;666;771;NULL;666;9999;1200;9999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;11;NULL;NULL;NULL;NULL;NULL;NULL;1200;555;1200;NULL;NULL;NULL;Wb;Wg-Gruppe ;L;120;120;120;2;48000;45846;89022;891,76;3800;NULL
12;BB;BB;BB;Brandenburg;Brandenburg;1290;NULL;NULL;1;1;NULL;NULL;19;1200;1200;NULL;1200;206;12000;222;666;NULL;NULL;666;9999;1200;9999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;12;NULL;NULL;NULL;NULL;NULL;1200;555;1200;NULL;NULL;12;Wb;Wg-Gruppe;L;120;120;120;2;NULL;2947637;2947637;29476,16;88;NULL
13;MV;MV;MV;Mecklenburg-Vorpommern;Mecklenburg-Western Pomerania;1390;NULL;NULL;1;1;NULL;NULL;13;NULL;NULL;NULL;1300;106;13000;111;666;NULL;NULL;666;9999;1300;9999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13;NULL;NULL;NULL;NULL;NULL;555;13;NULL;NULL;13;Wb;Wb-Gruppe ;L;130;130;130;1;NULL;2336377;2317104;23172,96;76;500
14;SN;SN;SN;Sachsen;Saxony;1490;NULL;NULL;1;1;NULL;NULL;14;NULL;NULL;NULL;1400;206;14000;222;666;NULL;NULL;666;9999;1400;9999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;14;NULL;NULL;NULL;NULL;NULL;14;NULL;NULL;14;Wb;Wb-Gruppe ;L;140;140;140;2;NULL;1841282;1841282;18413,3;238;1000
