bund_nr,labor,labornr,otprobe,utprobe
50001,180,vTI50001_30_60,30,60
50001,200,000013186/023_33,0,5
50001,200,000013186/023_33,0,5
50001,200,000013186/024_34,5,10
50001,200,000013186/027_37,60,90
50001,100,0812403,5,10
50001,100,0812403,5,10
50001,200,000013186/026_36,30,60
50001,200,000013186/024_34,5,10
50001,200,000013186/025_35,10,30
50001,180,vTI50001_30_60,30,60
50001,100,0812402,0,5
50001,200,000013186/024_34,5,10
50001,200,000013186/027_37,60,90
50001,100,0812402,0,5
50001,200,000013186/023_33,0,5
50001,200,000013186/027_37,60,90
50001,180,vTI50001_90_140,90,140
50001,200,000013186/026_36,30,60
50001,200,000013186/026_36,30,60
50001,200,000013186/023_33,0,5
50001,200,000013186/024_34,5,10
50001,200,000013186/024_34,5,10
50001,200,000013186/024_34,5,10
50001,200,000013186/026_36,30,60
50001,200,000013186/023_33,0,5
50001,100,0812403,5,10
50001,200,000013186/024_34,5,10
50001,200,000013186/024_34,5,10
50001,200,000013186/027_37,60,90
50001,100,0812402,0,5
50001,180,vTI50001_10_30,10,30
50001,180,vTI50001_0_5,0,5
50001,180,vTI50001_60_90,60,90
50001,100,0812402,0,5
50001,200,000013186/027_37,60,90
50001,200,000013186/027_37,60,90
50001,180,vTI50001_10_30,10,30
50001,200,000013186/027_37,60,90
50001,200,000013186/024_34,5,10
50001,180,vTI50001_0_5,0,5
50001,180,vTI50001_60_90,60,90
50001,200,000013186/027_37,60,90
50001,180,vTI50001_5_10,5,10
50001,200,000013186/027_37,60,90
50001,200,000013186/023_33,0,5
50001,200,000013186/026_36,30,60
50001,200,000013186/026_36,30,60
50001,200,000013186/027_37,60,90
50001,100,0812403,5,10
50001,100,0812402,0,5
50001,200,000013186/023_33,0,5
50001,200,000013186/024_34,5,10
50001,200,000013186/026_36,30,60
50001,200,000013186/023_33,0,5
50001,200,000013186/024_34,5,10
50001,200,000013186/025_35,10,30
50001,200,000013186/027_37,60,90
50001,200,000013186/024_34,5,10
50001,200,000013186/026_36,30,60
50001,200,000013186/023_33,0,5
50001,200,000013186/024_34,5,10
50001,200,000013186/026_36,30,60
50001,200,000013186/023_33,0,5
50001,180,vTI50001_140_200,140,200
50001,100,0812402,0,5
50001,100,0812402,0,5
50001,100,0812403,5,10
50001,200,000013186/024_34,5,10
50001,200,000013186/025_35,10,30
50001,200,000013186/027_37,60,90
50001,200,000013186/027_37,60,90
50001,200,000013186/027_37,60,90
50001,100,0812403,5,10
50001,200,000013186/025_35,10,30
50001,200,000013186/026_36,30,60
50001,200,000013186/026_36,30,60
50001,200,000013186/027_37,60,90
50001,200,000013186/027_37,60,90
50001,200,000013186/023_33,0,5
50001,100,0812403,5,10
50001,200,000013186/025_35,10,30
50001,200,000013186/024_34,5,10
50001,200,000013186/024_34,5,10
50001,200,000013186/025_35,10,30
50001,200,000013186/024_34,5,10
50001,200,000013186/025_35,10,30
50001,200,000013186/026_36,30,60
50001,200,000013186/023_33,0,5
50001,200,000013186/027_37,60,90
50001,200,000013186/023_33,0,5
50001,200,000013186/024_34,5,10
50001,200,000013186/024_34,5,10
50001,200,000013186/026_36,30,60
50001,200,000013186/025_35,10,30
50001,200,000013186/024_34,5,10
50001,100,0812402,0,5
50001,200,000013186/023_33,0,5
50001,200,000013186/027_37,60,90
50001,100,0812403,5,10
50001,100,0812402,0,5
50001,200,000013186/025_35,10,30
50001,200,000013186/023_33,0,5
50001,200,000013186/026_36,30,60
50001,100,0812402,0,5
50001,200,000013186/026_36,30,60
50001,100,0812402,0,5
50001,200,000013186/023_33,0,5
50001,200,000013186/023_33,0,5
50001,100,0812402,0,5
