bund_nr,team,datum,status,re_form,re_lage,neigung,exposition,anmerkung
140001,Heinkele;Martin,2006-10-03,0,hh,u,10,w,"BG Stirnseite: 2,83m; 110 GON Ost
WZEZ: Baum 3
Achtung: Alt-Pinkokkio steckt noch in Stirnseite, hangaufwärts"
140002,Heinkele;Martin,2006-10-03,0,ksf,z,0,fla,"Bodengrube Stirnseite: 2,95m; 184 GON
WZEZ: Baum 1"
140003,Heinkele;Martin,2006-10-04,0,hh,m,4,so,"Bodengrube Stirnseite: 2,81m; 345 GON
WZEZ: Baum 11"
140004,Heinkele;Martin,2006-10-04,0,hh,m,12,nw,"Bodengrube Stirnseite: 1,92m; 185 GON
WZEZ: Baum 3"
140005,Heinkele;Martin,2006-10-02,0,ksf,z,0,fla,
140006,Heinkele;Martin,2006-10-24,0,hh,m,2,o,
140007,Heinkele;Martin,2006-10-25,0,ksf,z,0,fla,
140008,Heinkele;Martin,2006-10-25,0,ksf,z,0,fla,
140009,Heinkele;Martin,2006-10-18,0,ts,z,0,fla,
140010,Heinkele;Martin,2006-10-18,0,ts,z,0,fla,
140011,Heinkele;Martin,2006-10-19,0,ksf,z,0,fla,
140012,Heinkele;Martin,2006-10-23,0,ts,t,0,fla,
140013,Heinkele;Martin,2006-10-19,0,ksf,z,0,fla,
140014,Heinkele;Martin,2006-10-20,0,ts,z,0,fla,
140015,Heinkele;Martin,2006-10-20,0,ksf,z,0,fla,
140016,Heinkele;Martin,2006-09-21,0,hh,m,55,o,
140017,Heinkele;Martin,2006-10-10,0,hh,m,3,so,"Lage Profilgrube: 330° NW; 2,35m
Lage zum WZEZ: 195° SSW; 2,0m (Baum 27)"
140018,Heinkele;Martin,2006-10-10,0,hh,m,10,sw,
140019,Heinkele;Martin,2006-10-09,0,hh,m,1,n,
140020,Heinkele;Martin,2006-10-09,0,khf,z,0,fla,
140021,Heinkele;Martin,2006-10-27,0,hh,m,3,sw,"BG: 55 Gon NO; 3,40 m, WZEZ: keiner, da BZE-Punkt verlegt wurde.
Bodenbearbeitung bis 30 cm"
140022,Heinkele;Martin,2006-10-26,0,ksf,z,0,fla,"Nachbarschaften: 15, 50 m, SS; 15, 150m, NN"
140023,Heinkele;Martin,2006-09-11,0,hs,u,60,sw,
140024,Heinkele;Martin,2006-09-11,0,ksf,z,0,fla,
140025,Heinkele;Martin,2006-09-24,0,khf,z,0,fla,
140026,Heinkele;Martin,2006-09-19,0,hh,u,25,no,"Bodengrube Stirnseite: 1,78m; 140 GON
WZEZ: Baum 2; 5,69m/213 GON"
140027,Heinkele;Martin,2006-09-15,0,hh,u,6,n,"Lage Bodengrube: 252 GON; 2,75m; WZEZ fehlt"
140028,Heinkele;Martin,2006-09-15,0,hh,m,20,nw,"Bodengrube hangaufwärts.
WZEZ: Baum 31; 3,81m"
140029,Heinkele;Martin,2006-09-19,0,ksf,z,0,fla,"Bodengrube Stirnseite:3,60m; 125 GON
WZEZ: ?"
140030,Heinkele;Martin,2006-09-20,0,kvr,k,15,w,"4.,5. und 6. Satellit: Abgrund"
140031,Heinkele;Martin,2006-09-20,0,hh,u,20,nw,
140032,Heinkele;Martin,2006-09-21,0,hh,m,3,sw,
140033,Heinkele;Martin,2006-09-12,0,ksf,z,0,fla,
140034,Heinkele;Martin,2006-09-12,0,hh,m,20,sw,"Bodengrube Stirnseite: hangaufwärts; muss bei Wdh. verlegt werden
WZEZ: Baum 13"
140035,Heinkele;Martin,2006-09-13,0,hh,m,7,sw,"Bodengrube Stirnseite: 2,44m;72 GON
WZEZ: Baum 1"
140036,Heinkele;Martin,2006-09-14,0,hh,m,45,sw,"Bodengrube Stirnseite: 2,28m; 35 GON
WZEZ: Baum 21"
140037,Heinkele;Martin,2006-09-13,0,hh,o,4,so,"Bodengrube Stirnseite: 3,30m; 100 GON
WZEZ: Baum 8; 2,32m, 200 GON"
140038,Heinkele;Martin,2006-09-06,0,ks,z,0,fla,"Alte Bodengrube Stirnseite: 5,70m; 285 GON. Sturmwurf; durch rausgerissenen Wurzelteller zerstörte Bodengrube NACH Beprobung.
Neue, bei BZE III anzulegende Bodengrube Stirnseite: ca 2m; 365 GON. Bestandesbeschreibung an dieser neuen Position erfolgt."
140039,Heinkele;Martin,2006-09-05,0,hh,o,50,w,"Bodengrube Stirnseite: 2,40m; 122 GON
WZEZ: Baum 12 (verm. Neuer WZEZ; alter Zentralbaum abgestorben: 0,70cm, 316 GON)"
140040,Heinkele;Martin,2006-08-22,0,hh,m,8,no,"Bodengrube Stirnseite: 3,05m; 260 GON
WZEZ: Baum 16"
140041,Heinkele;Martin,2006-08-22,0,hh,o,3,w,"Bodengrube Stirnseite: 3,72m; 340 GON
WZEZ: nicht vorhanden"
140042,Heinkele;Martin,2006-07-27,0,ks,z,0,fla,"Bodengrube Stirnseite: 3,32m; 92 GON
WZEZ: Baum 5"
140043,Heinkele;Martin,2006-08-23,0,hh,u,25,n,"Bodengrube Stirnseite: 2,30m; 190 GON
WZEZ: Baum 12
Grube muss künftig verlegt werden um 3,25m hangparallel, 294 gon westwärts (pinokkio1 alt zu pinokkio2 neu)  wegen Rückegasse und Altbaum an Strinseite."
140044,Heinkele;Martin,2006-07-25,0,ts,t,0,fla,"Bodengrube Stirnseite: 2,90m; 175 GON
WZEZ: kein"
140045,Heinkele;Martin,2006-07-25,0,ksf,z,0,fla,"Bodengrube Stirnseite: 2,40m; 130 GON
WZEZ: Baum 22"
140046,Heinkele;Martin,2006-08-23,0,hh,m,50,w,"Bodengrube Stirnseite: 2,00 m; 300 GON
WZEZ: Baum 10"
140047,Heinkele;Martin,2006-07-26,0,hh,m,25,n,"Bodengrube Stirnseite: 1,25m; 330 GON
WZEZ: Baum 9,47m, 27 GON"
140048,Heinkele;Martin,2006-08-21,0,hh,m,50,s,"Mikrorelief von Hügeln und Senken, ca. 30 cm Höhenunterschied"
140049,Heinkele;Martin,2006-07-31,0,hh,m,5,no,
140050,Heinkele;Martin,2006-08-03,0,hh,m,45,n,"Bodengrube Stirnseite: 1,68m; 165 GON
WZEZ: 6,89m/388 GON GFI"
140051,Heinkele;Martin,2006-08-01,0,hh,m,10,sw,"Bodengrube Stirnseite: 3,20m; 58 GON
WZEZ: Baum 9"
140052,Heinkele;Martin,2006-08-01,0,hh,m,1,no,"Bodengrube Stirnseite: 2,82m; 250 GON
WZEZ: kein"
140053,Heinkele;Martin,2006-08-03,0,hh,m,5,n,
140054,Heinkele;Martin,2006-09-28,0,hh,m,4,so,
140055,Heinkele;Martin,2006-09-05,0,hr,m,15,no,"Bodengrube Stirnseite: 2,85m; 260 GON
WZEZ: Baum 1"
140056,Heinkele;Martin,2006-09-04,0,ksf,z,0,fla,"Bodengrube Stirnseite: 3,01m; 133 GON
WZEZ: Baum 4"
140057,Heinkele;Martin,2006-09-07,0,hh,u,10,s,
140058,Heinkele;Martin,2006-09-04,0,hh,o,2,s,
140059,Heinkele;Martin,2006-09-27,0,hh,m,4,nw,
140060,Heinkele;Martin,2006-09-27,0,ksf,z,0,fla,
140061,Heinkele;Martin,2006-09-25,0,tsf,z,8,sw,
140062,Heinkele;Martin,2006-09-23,0,ksf,z,0,fla,
140063,Heinkele;Martin,2006-09-22,0,ksf,z,0,fla,
140064,Heinkele;Martin,2006-09-22,0,ksf,z,0,fla,
140065,Heinkele;Martin,2006-09-23,0,hh,o,10,sw,
140066,Heinkele;Martin,2006-09-25,0,hr,m,10,s,
140067,Heinkele;Martin,2006-09-24,0,khf,z,0,fla,
140068,Heinkele;Martin,2006-09-26,0,hh,m,15,n,
140089,Heinkele;Martin,2006-10-23,0,ts,t,0,fla,
140102,Heinkele;Martin,2006-10-24,0,ts,t,0,fla,
140175,Heinkele;Martin,2006-09-14,0,hh,m,15,n,
140187,Heinkele;Martin,2006-09-06,0,hh,o,10,sw,"Bodengrube Stirnseite: 2,60m; 100 GON
WZEZ: Baum 7"
140234,Heinkele;Martin,2006-08-02,0,hh,m,5,s,"Bodengrube Stirnseite:2,60m; 80 GON
WZEZ: Baum 43"
140252,Heinkele;Martin,2006-07-31,0,hh,m,15,nw,
140254,Heinkele;Martin,2006-09-26,0,ksf,m,0,fla,
140315,Heinkele;Martin,2006-08-21,19,hh,o,15,n,
140316,Heinkele;Martin,2006-09-28,19,ksf,z,0,fla,
140317,-9,1970-01-01,-9,-9,-9,-9,-9,
