bund_nr,datum,ort,team,x_laenge,y_laenge,distanz,azimut
140001,2006-05-23,z,Conrad,20.0,20.0,-1.0,-1
140001,2006-09-13,z,Conrad,20.0,20.0,-1.0,-1
140002,2006-05-23,z,Conrad,20.0,20.0,-1.0,-1
140002,2006-09-13,z,Conrad,20.0,20.0,-1.0,-1
140003,2006-05-23,z,Conrad,20.0,20.0,-1.0,-1
140004,2006-06-27,z,Conrad,20.0,20.0,-1.0,-1
140005,2006-06-27,z,Conrad,20.0,20.0,-1.0,-1
140006,2006-06-20,z,Conrad,20.0,20.0,-1.0,-1
140006,2008-07-16,z,Kompa,20.0,20.0,14.0,250
140007,2006-06-20,z,Conrad,20.0,20.0,-1.0,-1
140008,2006-06-20,z,Conrad,20.0,20.0,-1.0,-1
140009,2006-06-10,z,Conrad,20.0,20.0,-1.0,-1
140010,2006-06-10,z,Conrad,20.0,20.0,-1.0,-1
140011,2006-06-10,z,Conrad,20.0,20.0,-1.0,-1
140012,2006-06-27,z,Conrad,20.0,20.0,-1.0,-1
140013,2006-06-22,z,Conrad,20.0,20.0,-1.0,-1
140014,2006-06-22,z,Conrad,20.0,20.0,-1.0,-1
140015,2006-06-22,z,Conrad,20.0,20.0,-1.0,-1
140016,2006-06-29,z,Conrad,20.0,20.0,-1.0,-1
140017,2006-07-03,z,Conrad,20.0,20.0,-1.0,-1
140018,2006-07-03,z,Conrad,20.0,20.0,-1.0,-1
140018,2008-07-17,z,Kompa,20.0,20.0,14.0,250
140019,2006-07-03,z,Conrad,20.0,20.0,-1.0,-1
140020,2006-06-22,z,Conrad,20.0,20.0,-1.0,-1
140021,2006-07-07,z,Conrad,20.0,20.0,-1.0,-1
140022,2006-07-07,z,Conrad,20.0,20.0,-1.0,-1
140023,2006-06-02,z,Conrad,20.0,20.0,-1.0,-1
140024,2006-07-07,z,Conrad,20.0,20.0,-1.0,-1
140025,2006-07-03,z,Conrad,20.0,20.0,-1.0,-1
140026,2006-06-02,z,Conrad,20.0,20.0,-1.0,-1
