bund_nr,ld_bze,bwi_tnr,bwi_eck,team,datum,srid_ist,istre,istho,hbi_status,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,geraet,beschreibungbestockung,anmerkung
140001,3,,,,1970-01-01,31468,4691525,5636037,-9,1,7,2,-9,-9,3,-9,-9,-9,-9,,
140002,6,,,,1970-01-01,31468,4699985,5652051,-9,1,8,2,-9,-9,3,-9,-9,-9,-9,,
140003,8,,,,1970-01-01,31468,4692250,5660047,-9,1,6,1,-9,-9,3,-9,-9,-9,-9,,
140004,14,,,,1970-01-01,31468,4676486,5668515,-9,1,6,1,-9,-9,2,-9,-9,-9,-9,,
140005,27,,,,1970-01-01,31468,4660893,5685048,-9,1,7,1,-9,-9,2,-9,-9,-9,-9,,
140006,29,,,,1970-01-01,31468,4685254,5692342,-9,1,1,1,-9,-9,1,-9,-9,-9,-9,,
140007,33,,,,1970-01-01,31468,4692874,5684003,-9,1,6,1,-9,-9,3,-9,-9,-9,-9,,
140008,44,,,,1970-01-01,31468,4701319,5691758,-9,1,2,1,-9,-9,1,-9,-9,-9,-9,,
140009,47,,,,1970-01-01,31468,4685898,5716208,-9,1,2,1,-9,-9,2,-9,-9,-9,-9,begonnene Harzung bei stÃ¤rkeren Kiefern am Stammfuss alt,
140010,50,,,,1970-01-01,31468,4685722,5708291,-9,1,8,1,-9,-9,2,-9,-9,-9,-9,,
140011,56,,,,1970-01-01,31468,4677707,5708413,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Vorfeldbereich Tagebau Nochten; besucht am:11.05.2012,
140012,61,,,,1970-01-01,31468,4669288,5692750,-9,1,2,1,-9,-9,1,-9,-9,-9,-9,gezÃ¤unt,
140013,68,,,,1970-01-01,31468,4669641,5708583,-9,1,2,1,-9,-9,1,-9,-9,-9,-9,,
140014,71,,,,1970-01-01,31468,4661544,5700943,-9,1,2,1,-9,-9,1,-9,-9,-9,-9,,
140015,79,,,,1970-01-01,31468,4645558,5701389,-9,1,2,1,-9,-9,1,-9,-9,-9,-9,,
140016,86,,,,1970-01-01,31468,4651740,5646333,-9,1,6,2,-9,-9,2,-9,-9,-9,-9,,
140017,89,,,,1970-01-01,31468,4628748,5677979,-9,1,6,1,-9,-9,3,-9,-9,-9,-9,,
140018,90,,,,1970-01-01,31468,4636763,5677806,-9,1,2,1,-9,-9,2,-9,-9,-9,-9,,
140019,91,,,,1970-01-01,31468,4645007,5685500,-9,1,5,2,-9,-9,2,-9,-9,-9,-9,,
140020,93,,,,1970-01-01,31468,4653291,5693207,-9,1,2,1,-9,-9,1,-9,-9,-9,-9,,
140021,95,,,,1970-01-01,31468,4628297,5662045,-9,1,2,2,-9,-9,2,-9,-9,-9,-9,,
140022,99,,,,1970-01-01,31468,4636320,5661672,-9,1,8,1,-9,-9,2,-9,-9,-9,-9,,
140023,101,,,,1970-01-01,31468,4612267,5662443,-9,1,8,1,-9,-9,2,-9,-9,-9,-9,,
140024,103,,,,1970-01-01,31468,4612492,5670409,-9,1,2,1,-9,-9,1,-9,-9,-9,-9,,
140025,113,,,,1970-01-01,31468,4605239,5694834,-9,1,2,1,-9,-9,2,-9,-9,-9,-9,,
140026,114,,,,1970-01-01,31468,4627849,5646012,-9,1,8,1,-9,-9,2,-9,-9,-9,-9,,
140027,118,,,,1970-01-01,31468,4643885,5645513,-9,1,1,1,-9,-9,2,-9,-9,-9,-9,,
140028,123,,,,1970-01-01,31468,4651578,5637267,-9,1,3,1,-9,-9,1,-9,-9,-9,-9,,
140029,128,,,,1970-01-01,31468,4660275,5660946,-9,1,6,1,-9,-9,3,-9,-9,-9,-9,,
140030,132,,,,1970-01-01,31468,4659773,5645008,-9,1,2,1,-9,-9,3,-9,-9,-9,-9,,
140031,134,,,,1970-01-01,31468,4667837,5644886,-9,1,1,1,-9,-9,2,-9,-9,-9,-9,,
