bund_nr,team,datum,domstreuart,astreuart,domhumusform_ka6,ahumusform_ka6,domhumusform_ka5,ahumusform_ka5,anmerkung
140001,Heinkele;Martin,2006-10-03,vbn,vgbn,-9,-9,moa,gmo,
140002,Heinkele;Martin,2006-10-03,vb,vbg,-9,-9,muo,-9,
140003,Heinkele;Martin,2006-10-04,vbn,vb,-9,-9,moa,mor,
140004,Heinkele;Martin,2006-10-04,vbn,vgbn,-9,-9,mor,moa,
140005,Heinkele;Martin,2006-10-02,vbn,vgbn,-9,-9,mor,mrr,
140006,Heinkele;Martin,2006-10-24,vn,-9,-9,-9,roa,mra,
140007,Heinkele;Martin,2006-10-25,vbn,-9,-9,-9,mrr,mra,
140008,Heinkele;Martin,2006-10-25,vn,-9,-9,-9,roa,ror,
140009,Heinkele;Martin,2006-10-18,vn,vgn,-9,-9,mrr,mra,
140010,Heinkele;Martin,2006-10-18,vbg,-9,-9,-9,-2,-9,
140011,Heinkele;Martin,2006-10-19,vgn,vbg,-9,-9,ror,mrr,
140012,Heinkele;Martin,2006-10-23,vgn,vn,-9,-9,mra,roa,
140013,Heinkele;Martin,2006-10-19,vn,-9,-9,-9,mra,mrr,
140014,Heinkele;Martin,2006-10-20,vn,-9,-9,-9,mor,mrr,
140015,Heinkele;Martin,2006-10-20,vn,-9,-9,-9,mrr,mra,
140016,Heinkele;Martin,2006-09-21,vbn,-9,-9,-9,moa,mor,
140017,Heinkele;Martin,2006-10-10,vbn,vgbn,-9,-9,mrr,mor,
140018,Heinkele;Martin,2006-10-10,vn,vgn,-9,-9,mor,mrr,
140019,Heinkele;Martin,2006-10-09,vb,-9,-9,-9,mor,muo,
140020,Heinkele;Martin,2006-10-09,vn,-9,-9,-9,muo,mrr,
140021,Heinkele;Martin,2006-10-27,vbn,vgbn,-9,-9,mor,moa,
140022,Heinkele;Martin,2006-10-26,vb,vbg,-9,-9,mor,mrr,
140023,Heinkele;Martin,2006-09-11,vb,vbg,-9,-9,mom,muo,
140024,Heinkele;Martin,2006-09-11,vn,-9,-9,-9,moa,mrr,
140025,Heinkele;Martin,2006-09-24,vn,vgn,-9,-9,moa,gmo,
140026,Heinkele;Martin,2006-09-19,vb,-9,-9,-9,muo,moa,
140027,Heinkele;Martin,2006-09-15,vn,vbn,-9,-9,mra,roa,
140028,Heinkele;Martin,2006-09-15,vn,vgn,-9,-9,mrr,gmo,
140029,Heinkele;Martin,2006-09-19,vbn,-9,-9,-9,moa,mor,
140030,Heinkele;Martin,2006-09-20,vn,-9,-9,-9,mrr,mor,
140031,Heinkele;Martin,2006-09-20,vn,vgn,-9,-9,mra,mrr,
140032,Heinkele;Martin,2006-09-21,vbn,-9,-9,-9,mra,mrr,
140033,Heinkele;Martin,2006-09-12,vg,vbg,-9,-9,mof,-9,
140034,Heinkele;Martin,2006-09-12,vn,-9,-9,-9,mrr,mor,
140035,Heinkele;Martin,2006-09-13,vn,vbn,-9,-9,mrr,mra,
140036,Heinkele;Martin,2006-09-14,vgn,vn,-9,-9,roa,ror,
140037,Heinkele;Martin,2006-09-13,vn,vgn,-9,-9,roa,ror,
140038,Heinkele;Martin,2006-09-06,vbn,vgbn,-9,-9,ror,mrr,
140039,Heinkele;Martin,2006-09-05,vgn,vn,-9,-9,mor,gmo,
140040,Heinkele;Martin,2006-08-22,vgn,vn,-9,-9,mra,gmo,
140041,Heinkele;Martin,2006-08-22,vgbn,vn,-9,-9,mra,gmo,
140042,Heinkele;Martin,2006-07-27,vgn,vn,-9,-9,gmo,mra,
140043,Heinkele;Martin,2006-08-23,vbn,vb,-9,-9,mor,mra,
140044,Heinkele;Martin,2006-07-25,vgn,vn,-9,-9,roa,ror,
140045,Heinkele;Martin,2006-07-25,vbn,-9,-9,-9,roa,ror,
140046,Heinkele;Martin,2006-08-23,vn,-9,-9,-9,mra,roa,
140047,Heinkele;Martin,2006-07-26,vn,vgn,-9,-9,mrr,mor,
140048,Heinkele;Martin,2006-08-21,vn,vgn,-9,-9,mra,gmo,
140049,Heinkele;Martin,2006-07-31,vn,vgn,-9,-9,ror,mra,
140050,Heinkele;Martin,2006-08-03,vn,-9,-9,-9,mra,roa,
140051,Heinkele;Martin,2006-08-01,vgn,vn,-9,-9,gmo,mor,
140052,Heinkele;Martin,2006-08-01,vn,vgn,-9,-9,mor,gmo,
140053,Heinkele;Martin,2006-08-01,vgbn,vbn,-9,-9,gmo,mrr,
140054,Heinkele;Martin,2006-09-28,vn,vgn,-9,-9,mrr,mra,
140055,Heinkele;Martin,2006-09-05,vbn,vn,-9,-9,mor,moa,
140056,Heinkele;Martin,2006-09-04,vn,vgbn,-9,-9,mor,muo,
140057,Heinkele;Martin,2006-09-07,vbn,vn,-9,-9,mrr,mor,
140058,Heinkele;Martin,2006-09-04,vn,-9,-9,-9,mrr,mra,
140059,Heinkele;Martin,2006-09-27,vgbn,vbn,-9,-9,moa,gmo,
140060,Heinkele;Martin,2006-09-27,vb,vbg,-9,-9,mor,muo,
140061,Heinkele;Martin,2006-09-25,vgbn,vbn,-9,-9,gmo,moa,
140062,Heinkele;Martin,2006-09-23,vgbn,vn,-9,-9,gmo,mor,
140063,Heinkele;Martin,2006-09-22,vgbn,vbn,-9,-9,gmo,mor,
140064,Heinkele;Martin,2006-09-22,vn,-9,-9,-9,mor,mrr,
140065,Heinkele;Martin,2006-09-23,vb,-9,-9,-9,moa,-9,
140066,Heinkele;Martin,2006-09-25,vn,vbn,-9,-9,moa,mrr,
140067,Heinkele;Martin,2006-09-24,vbn,-9,-9,-9,moa,mor,
140068,Heinkele;Martin,2006-09-26,vn,-9,-9,-9,mrr,moa,
140089,Heinkele;Martin,2006-10-23,vn,-9,-9,-9,roa,mrr,
140102,Heinkele;Martin,2006-10-24,vgn,vgbn,-9,-9,mrr,mor,
140175,Heinkele;Martin,2006-09-14,vbn,-9,-9,-9,moa,mom,
140187,Heinkele;Martin,2006-09-06,vbn,vgbn,-9,-9,mor,mrr,
140234,Heinkele;Martin,2006-08-02,vn,vgn,-9,-9,mra,mrr,
140252,Heinkele;Martin,2006-07-31,vn,-9,-9,-9,mrr,ror,
140254,Heinkele;Martin,2006-09-26,vb,vbg,-9,-9,mut,-9,
140315,Heinkele;Martin,2006-08-21,vn,vbn,-9,-9,moa,mra,
140316,Heinkele;Martin,2006-09-28,vb,-9,-9,-9,muo,mut,
140317,-9,1970-01-01,-9,-9,-9,-9,-2,-2,
