bund_nr,team,datum,geraet,randtyp_1,randform_1,anfang_dist_1,anfang_azi_1,end_dist_1,end_azi_1,knick_dist_1,knick_azi_1,randtyp_2,randform_2,anfang_dist_2,anfang_azi_2,end_dist_2,end_azi_2,knick_dist_2,knick_azi_2,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,anmerkung
120001,KF,2012-02-29,-9,,,,,,,,,,,,,,,,,1,7,2,3,2,2,1,1,1,
120002,KF,2011-11-14,-9,,,,,,,,,,,,,,,,,1,2,2,2,6,1,1,1,1,
120003,KF,2011-11-24,-9,,,,,,,,,,,,,,,,,1,4,2,5,2,2,1,1,1,
120004,KF,2012-04-24,-9,,,,,,,,,,,,,,,,,1,5,2,6,2,1,2,1,1,
120005,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120006,KF,2011-10-12,-9,,,,,,,,,,,,,,,,,1,6,4,5,6,2,1,1,1,
120007,KF,2012-03-21,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120008,KF,2011-09-23,-9,-9,1,1811,336,1550,217,-2,-2,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120009,KF,2011-11-23,-9,,,,,,,,,,,,,,,,,1,2,1,2,1,1,1,1,1,
120010,KF,2011-12-01,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120011,KF,2011-12-01,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120012,KF,2012-04-14,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,2,
120013,KF,2011-09-14,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120014,KF,2011-09-15,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120015,KF,2011-10-04,-9,2,1,1488,245,2004,102,-2,-2,,,,,,,,,1,5,1,2,-9,1,1,1,1,
120016,KF,2011-10-07,-9,,,,,,,,,,,,,,,,,1,2,1,4,-9,1,1,1,1,
120017,KF,2011-10-13,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120018,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120019,KF,2012-03-28,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,2,
120020,KF,2011-10-31,-9,3,1,1811,80,1750,178,-2,-2,,,,,,,,,1,2,1,5,-1,1,1,1,1,
120021,KF,2011-10-14,-9,,,,,,,,,,,,,,,,,1,2,1,5,-9,1,1,1,1,
120022,KF,2011-11-17,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120023,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120024,KF,2011-10-27,-9,,,,,,,,,,,,,,,,,1,2,2,6,6,1,1,1,1,
120025,KF,2011-10-24,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120026,KF,2012-03-12,-9,,,,,,,,,,,,,,,,,1,2,4,4,4,1,1,1,1,
120027,KF,2012-03-23,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120028,KF,2011-11-09,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120029,KF,2011-11-07,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120030,KF,2011-11-03,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120031,KF,2011-11-10,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120032,KF,2011-11-02,-9,,,,,,,,,,,,,,,,,1,2,4,6,6,1,1,1,1,
120033,KF,2011-11-15,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120034,KF,2012-04-20,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120035,KF,2012-04-21,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120036,KF,2012-03-13,-9,,,,,,,,,,,,,,,,,1,2,1,3,-9,1,1,1,2,
120037,KF,2011-11-10,-9,,,,,,,,,,,,,,,,,1,2,1,3,-9,1,1,1,2,
120038,KF,2011-11-11,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,1,
120039,KF,2011-11-11,-9,3,1,1440,272,1422,214,-2,-2,,,,,,,,,1,2,1,2,-9,1,1,1,2,
120040,KF,2012-04-26,-9,2,1,1261,234,1252,334,-2,-2,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120041,KF,2012-04-24,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,2,
120042,KF,2012-04-17,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120043,KF,2012-04-24,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,2,
120044,KF,2012-04-18,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,2,
120045,KF,2012-04-25,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,1,
120046,KF,2012-04-05,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120047,KF,2012-04-07,-9,2,1,2019,133,1943,223,-2,-2,,,,,,,,,1,2,2,6,6,1,1,1,1,
120048,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120049,KF,2011-09-29,-9,,,,,,,,,,,,,,,,,1,4,4,2,6,1,2,1,1,
120050,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120051,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120052,KF,2011-09-30,-9,,,,,,,,,,,,,,,,,1,4,4,1,6,1,1,1,1,
120053,KF,2011-10-10,-9,,,,,,,,,,,,,,,,,1,3,1,1,-1,1,1,1,1,
120054,KF,2011-10-12,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120055,KF,2011-11-30,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120056,KF,2012-03-20,-9,,,,,,,,,,,,,,,,,1,4,1,2,-9,1,1,1,1,
120057,KF,2012-01-21,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,1,
120058,KF,2012-04-12,-9,1,1,2099,132,1686,47,-2,-2,,,,,,,,,1,2,4,6,6,1,1,1,1,
120059,KF,2012-04-14,-9,,,,,,,,,,,,,,,,,1,3,1,2,-9,2,2,2,2,
120060,KF,2011-09-16,-9,,,,,,,,,,,,,,,,,1,1,1,3,-9,1,1,1,1,
120061,KF,2011-09-23,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120062,KF,2012-04-14,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120063,KF,2012-04-13,-9,,,,,,,,,,,,,,,,,1,3,6,6,6,2,1,1,1,
120064,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120065,KF,2011-09-13,-9,,,,,,,,,,,,,,,,,1,3,1,6,-1,1,1,1,1,
120066,KF,2011-09-28,-9,,,,,,,,,,,,,,,,,1,2,1,3,-9,1,1,1,1,
120067,KF,2011-11-23,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,2,
120068,KF,2011-11-23,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,1,
120069,KF,2011-12-01,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
