bund_nr,lfd_nr,typ,baumgruppe,anzahl,durchmesser,laenge,zersetzung
140040,1,1,1,-9,15,20,1
140040,2,4,1,-9,50,2,1
140040,3,3,1,-9,20,177,2
140040,5,2,1,-9,31,188,1
140040,6,5,1,-9,10,88,2
140039,1,1,4,-9,4,27,1
140039,10,1,4,-9,4,59,1
140039,11,1,4,-9,5,44,3
140039,12,1,4,-9,2,35,3
140039,13,1,4,-9,3,35,1
140039,14,1,4,-9,2,36,3
140039,15,1,4,-9,2,27,4
140039,16,1,4,-9,2,27,4
140039,17,1,4,-9,3,33,4
140039,18,1,4,-9,1,40,4
140039,19,1,4,-9,2,43,4
140039,2,1,4,-9,3,24,3
140039,20,1,4,-9,5,26,4
140039,21,1,4,-9,2,26,4
140039,22,1,4,-9,3,39,3
140039,23,1,4,-9,1,12,5
140039,24,1,1,-9,30,11,3
140039,25,1,4,-9,3,33,4
140039,26,1,4,-9,2,33,4
140039,27,1,4,-9,1,20,5
140039,28,1,4,-9,3,51,1
140039,29,1,4,-9,2,30,1
140039,3,1,4,-9,4,65,1
140039,30,1,1,-9,23,9,5
140039,31,1,4,-9,3,28,1
140039,32,1,4,-9,1,28,3
140039,33,1,4,-9,2,28,1
140039,34,1,4,-9,2,20,3
140039,35,1,1,-9,19,16,4
140039,36,1,1,-9,12,14,4
140039,37,1,4,-9,2,23,4
140039,38,-9,-9,-9,-9,-9,-9
140039,4,1,1,-9,7,12,3
140039,5,1,1,-9,41,11,3
140039,6,1,4,-9,2,25,3
140039,7,1,4,-9,1,10,5
140039,8,1,4,-9,1,20,3
140039,9,1,4,-9,3,48,1
