zwiesel,d_mess,stufe,bhd_hoehe,hoehe,azi,bart,lfd_nr,bund_nr,baumkennzahl,bhd,alter,schi,kransatz,kraft,hori,alter_methode
,540,,130,,157,gki,1,50001,1,,72,1,,2,409,6
,315,,130,,165,gki,2,50001,-9,,72,1,,2,1457,6
,328,,130,,188,gki,3,50001,-9,,72,1,,2,1018,6
,384,,130,,212,gki,4,50001,-9,,72,1,,2,610,6
,362,,130,,218,gki,5,50001,-9,,72,1,,2,1674,6
,273,,130,,238,gki,6,50001,-9,,72,1,,3,1138,6
,364,,130,,243,gki,7,50001,-9,,72,1,,2,1552,6
,368,,130,,272,gki,8,50001,-9,,72,1,,2,1242,6
,343,,130,,274,gki,9,50001,-9,,72,1,,2,1611,6
,323,,130,214,311,gki,10,50001,-9,,72,1,167,2,789,6
,430,,130,236,313,gki,11,50001,-9,,72,1,144,2,1275,6
,366,,130,233,341,gki,12,50001,-9,,72,1,137,2,1366,6
,317,,130,,341,gki,13,50001,-9,,72,1,,2,655,6
,301,,130,,352,gki,14,50001,-9,,72,1,,3,994,6
,248,,130,225,391,gki,15,50001,-9,,72,1,144,2,1110,6
,263,,130,208,20,gki,17,50001,-9,,72,1,160,3,875,6
,365,,130,,20,gki,18,50001,-9,,72,1,,2,587,6
,369,,130,243,41,ela,19,50001,-9,,72,1,141,2,822,6
,364,,130,,64,gki,20,50001,-9,,72,1,,2,1084,6
,395,,130,,66,gki,21,50001,-9,,72,1,,2,1735,6
,359,,130,,80,gki,22,50001,-9,,72,1,,2,1469,6
,424,,130,,89,gki,23,50001,-9,,72,1,,2,803,6
,315,,130,,95,gki,24,50001,-9,,72,1,,2,1582,6
,375,,130,163,142,gfi,25,50001,-9,,46,1,35,3,1383,5
,335,,130,,156,gki,26,50001,-9,,72,1,,2,1658,6
,310,,130,239,252,gki,1,50002,-9,,97,1,131,2,190,6
,311,,130,,265,gki,2,50002,-9,,97,1,,2,1567,6
,289,,130,,287,gki,3,50002,-9,,97,1,,2,484,6
,289,,130,198,297,gki,4,50002,-9,,97,1,144,2,1125,6
,317,,130,,303,gki,5,50002,-9,,97,1,,2,1350,6
,239,,130,,312,gki,6,50002,-9,,97,1,,2,900,6
,314,,130,,337,gki,7,50002,-9,,97,1,,2,440,6
,244,,130,217,339,gki,8,50002,-9,,97,1,133,2,679,6
,266,,130,,342,gki,9,50002,-9,,97,1,,2,1045,6
,349,,130,,362,gki,10,50002,-9,,97,1,,2,1429,6
,251,,130,,391,gki,11,50002,-9,,97,1,,3,1007,6
,389,,130,,398,gki,12,50002,-9,,97,1,,2,1557,6
,350,,130,226,4,gki,13,50002,-9,,97,1,128,2,1246,6
,330,,130,,32,gki,14,50002,-9,,97,1,,2,846,6
,256,,130,,34,gki,15,50002,-9,,97,1,,2,341,6
,289,,130,,41,gki,16,50002,-9,,97,1,,2,960,6
,301,,130,,45,gki,17,50002,-9,,97,1,,2,1374,6
,284,,130,,69,gki,18,50002,-9,,97,1,,3,1126,6
,357,,130,,87,gki,19,50002,-9,,97,1,,2,1155,6
,328,,130,,96,gki,20,50002,-9,,97,1,,2,1580,6
,405,,130,177,110,gki,21,50002,-9,,97,1,116,2,1639,6
,254,,130,,116,gki,22,50002,-9,,97,1,,2,703,6
,379,,130,,123,gki,23,50002,-9,,97,1,,2,1559,6
,294,,130,,127,gki,24,50002,-9,,97,1,,3,1251,6
,336,,130,,13,gki,25,50002,-9,,97,1,,2,926,6
,309,,130,,145,gki,26,50002,-9,,97,1,,2,435,6
,322,,130,,146,gki,27,50002,-9,,97,1,,2,1109,6
,274,,130,,171,gki,28,50002,-9,,97,1,,2,672,6
,291,,130,,190,gki,29,50002,-9,,97,1,,2,1035,6
,339,,130,,210,gki,30,50002,-9,,97,1,,2,1667,6
,327,,130,,225,gki,31,50002,-9,,97,1,,2,845,6
,305,,130,,232,gki,32,50002,-9,,97,1,,2,1708,6
,261,,130,,249,gki,33,50002,-9,,97,1,,2,801,6
,309,,130,,250,gki,34,50002,-9,,97,1,,2,1561,6
,75,,130,74,229,vbe,1,50003,-9,,32,1,19,3,123,6
,154,,130,,230,dgl,2,50003,-9,,32,1,,1,987,6
,113,,130,,247,dgl,3,50003,-9,,32,1,,2,194,6
,151,,130,105,258,dgl,4,50003,-9,,32,1,25,2,554,6
,120,,130,,264,dgl,5,50003,-9,,32,1,,2,932,6
,134,,130,,276,dgl,6,50003,-9,,32,1,,2,943,6
2,78,,130,78,276,vbe,7,50003,-9,,32,1,9,3,327,6
2,87,,130,,276,vbe,8,50003,-9,,32,1,,3,322,6
,165,,130,102,279,dgl,9,50003,-9,,32,1,40,2,574,6
,161,,130,130,296,dgl,10,50003,-9,,32,1,20,1,693,6
,88,,130,77,314,dgl,11,50003,-9,,32,1,27,3,318,6
,151,,130,,320,dgl,12,50003,-9,,32,1,,2,888,6
,94,,130,,330,dgl,13,50003,-9,,32,1,,2,515,6
,120,,130,92,367,vbe,14,50003,-9,,32,1,7,2,1062,6
