bund_nr,pk_nr,lfd_nr,bart,hoehe,grklasse
120001,4,3,bah,60,0
120001,4,9,bah,140,1
120001,4,8,bah,180,1
120001,4,7,bah,120,0
120001,4,5,bah,140,1
120001,4,6,bah,190,1
120001,4,2,bah,190,1
120001,4,10,bah,170,1
120001,3,7,bah,20,0
120001,4,1,bah,90,0
120001,3,10,ei,20,0
120001,3,8,bah,30,0
120001,3,6,bah,30,0
120001,4,4,bah,30,0
120001,3,5,bah,200,1
120001,3,4,bah,100,0
120001,3,3,bah,120,0
120001,3,2,ei,40,0
120001,3,1,ei,30,0
120001,3,9,ei,30,0
120001,2,10,li,370,1
120001,2,9,bah,70,0
120001,2,8,bah,70,0
120001,2,7,bah,110,0
120001,2,6,bah,60,0
120001,2,5,bah,80,0
120001,2,4,bah,80,0
120001,2,3,bah,30,0
120001,2,2,bah,40,0
120001,2,1,bah,30,0
120001,1,10,bah,40,0
120001,1,9,bah,30,0
120001,1,8,bah,80,0
120001,1,7,bah,20,0
120001,1,6,bah,50,0
120001,1,5,bah,70,0
120001,1,4,bah,60,0
120001,1,3,rbu,30,0
120001,1,2,bah,30,0
120001,1,1,bah,30,0
120002,3,6,bi,80,0
120002,4,10,vbe,390,1
120002,1,9,vbe,460,1
120002,1,10,vbe,620,1
120002,2,1,vbe,290,1
120002,2,2,bi,240,1
120002,2,3,vbe,120,0
120002,2,4,vbe,60,0
120002,2,5,vbe,120,0
120002,2,6,vbe,240,1
120002,2,7,vbe,230,1
120002,2,8,vbe,410,1
120002,2,9,vbe,460,1
120002,2,10,vbe,670,1
120002,3,1,vbe,160,1
120002,3,2,vbe,50,0
120002,3,3,vbe,330,1
120002,3,4,vbe,370,1
120002,3,5,vbe,210,1
120002,3,7,sah,410,1
120002,3,8,vbe,600,1
120002,3,9,vbe,490,1
120002,3,10,vbe,50,0
120002,4,1,vbe,200,1
120002,4,2,vbe,40,0
120002,4,3,vbe,50,0
120002,4,4,vbe,40,0
120002,4,5,vbe,90,0
120002,4,6,vbe,380,1
120002,4,7,vbe,340,1
120002,4,8,vbe,310,1
120002,4,9,vbe,100,0
120002,1,7,vbe,240,1
120002,1,8,vbe,440,1
120002,1,1,vbe,40,0
120002,1,2,vbe,90,0
120002,1,3,vbe,210,1
120002,1,4,vbe,210,1
120002,1,5,vbe,180,1
120002,1,6,vbe,330,1
120003,4,6,rbu,520,1
120003,4,7,rbu,550,1
120003,4,8,rbu,440,1
120003,4,9,rbu,50,0
120003,4,5,rbu,40,0
120003,4,4,rbu,100,0
120003,4,3,rbu,70,0
120003,4,2,rbu,80,0
120003,4,1,rbu,650,1
120003,3,10,rbu,260,1
120003,3,9,rbu,80,0
120003,3,8,rbu,710,3
120003,3,7,rbu,1030,3
120003,3,6,rbu,540,1
120003,3,5,rbu,280,1
120003,3,4,rbu,440,1
120003,3,3,rbu,230,1
120003,3,2,rbu,510,1
120003,3,1,rbu,250,1
120003,2,3,ela,20,0
120003,2,2,stk,20,0
120003,2,1,rbu,900,2
120003,1,8,rbu,660,1
120003,1,7,rbu,470,1
120003,1,6,rbu,20,0
120003,1,5,stk,20,0
120003,1,4,stk,20,0
120003,1,3,stk,20,0
120003,1,2,stk,20,0
120003,1,1,bi,20,0
120003,4,10,rbu,30,0
120004,4,1,sah,50,0
120004,1,1,ftk,110,0
120004,1,2,ftk,70,0
120004,1,3,ftk,90,0
120004,1,4,ftk,80,0
120004,1,5,ftk,40,0
120004,1,6,ftk,220,1
120004,1,7,sah,430,1
120004,1,8,sah,480,1
120004,1,9,sah,510,1
120004,1,10,sah,650,1
120004,2,1,stk,100,0
120004,2,2,stk,60,0
120004,2,3,sah,160,1
120004,2,4,stk,130,1
120004,2,5,stk,140,1
120004,2,6,stk,130,1
120004,2,7,stk,320,1
120004,2,8,sah,400,1
120004,2,9,ful,60,0
120004,2,10,stk,80,0
120004,3,1,ful,90,0
120004,3,2,ful,100,0
120004,3,3,ful,90,0
120004,3,4,ful,60,0
120004,3,5,ful,90,0
120004,3,6,ful,80,0
120004,3,7,ful,140,1
120004,3,8,ful,310,1
120004,3,9,ful,960,3
120004,3,10,ful,980,3
120004,4,2,sah,100,0
120004,4,3,sah,60,0
120004,4,4,sah,90,0
120004,4,5,sah,190,1
120004,4,6,sah,180,1
120004,4,7,sah,50,0
120004,4,8,sah,180,1
120004,4,9,sah,260,1
120004,4,10,sah,360,1
120006,2,3,rbu,730,3
120006,4,4,rbu,20,0
120006,4,3,rbu,220,1
120006,4,2,rbu,40,0
120006,4,1,li,20,0
120006,3,2,rbu,140,1
120006,4,5,rbu,30,0
120006,1,5,rbu,480,1
120006,1,6,rbu,90,0
120006,2,1,hbu,410,2
120006,2,2,hbu,90,0
120006,1,1,rbu,180,1
120006,1,2,rbu,30,0
120006,1,3,rbu,30,0
120006,1,4,rbu,270,1
120006,4,6,rbu,30,0
120006,3,1,rbu,80,0
120006,4,7,rbu,190,1
120006,4,8,rbu,160,1
120006,4,9,rbu,540,1
120006,4,10,rbu,220,1
120008,3,2,gki,30,0
120008,2,2,sei,40,0
120008,3,1,gki,70,0
120008,2,1,sei,60,0
120008,3,3,sei,60,0
120008,3,4,sei,20,0
120009,4,8,stk,350,1
120009,2,11,-9,-9,-9
120009,4,10,stk,410,1
120009,1,1,stk,40,0
120009,1,2,stk,60,0
120009,1,3,stk,140,1
120009,1,4,stk,120,0
120009,1,5,stk,70,0
120009,1,6,stk,200,1
120009,1,7,stk,130,1
120009,1,8,tei,20,0
120009,1,9,stk,390,1
120009,1,10,stk,330,1
120009,2,1,stk,130,1
120009,2,2,stk,40,0
120009,2,3,stk,200,1
120009,2,4,stk,40,0
120009,2,5,stk,220,1
120009,2,6,stk,310,1
120009,2,7,stk,300,1
120009,2,8,stk,310,1
120009,2,9,stk,360,1
120009,2,10,stk,350,1
120009,3,1,stk,40,0
120009,3,2,stk,60,0
120009,3,3,stk,150,1
120009,3,4,stk,60,0
120009,3,5,stk,30,0
120009,3,6,rbu,20,0
120009,3,7,rbu,20,0
120009,3,8,rbu,20,0
120009,3,9,stk,380,1
120009,3,10,stk,390,1
120009,4,1,stk,50,0
120009,4,2,stk,90,0
120009,4,3,stk,90,0
120009,4,4,stk,160,1
120009,4,5,stk,210,1
120009,4,6,stk,680,1
120009,4,7,stk,230,1
120009,4,9,stk,50,0
120010,4,9,rbu,60,0
120010,1,2,hbu,30,0
120010,1,1,sei,20,0
120010,3,2,rbu,30,0
120010,3,3,rbu,60,0
120010,3,4,tei,40,0
120010,3,5,tei,60,0
120010,3,6,tei,40,0
120010,3,7,rbu,30,0
120010,3,8,rbu,40,0
120010,3,9,hbu,30,0
120010,3,10,rbu,40,0
120010,4,1,rbu,40,0
120010,4,2,hbu,30,0
120010,4,3,hbu,40,0
120010,4,4,hbu,40,0
120010,4,5,hbu,30,0
120010,4,6,hbu,20,0
120010,4,7,hbu,20,0
120010,4,8,hbu,30,0
120010,1,3,hbu,30,0
120010,4,10,rbu,50,0
120010,2,3,hbu,40,0
120010,2,2,hbu,50,0
120010,2,1,rbu,40,0
120010,1,4,hbu,50,0
120010,2,5,hbu,50,0
120010,2,6,hbu,70,0
120010,2,7,hbu,70,0
120010,2,8,rbu,40,0
120010,2,9,hbu,40,0
120010,2,10,rbu,30,0
120010,2,4,hbu,90,0
120010,3,1,rbu,30,0
120011,4,9,vbe,30,0
120011,4,8,vbe,30,0
120011,4,7,vbe,30,0
120011,4,6,vbe,40,0
120011,4,5,vbe,20,0
120011,4,4,vbe,40,0
120011,4,3,vbe,70,0
120011,4,2,tei,50,0
120011,3,8,vbe,70,0
120011,3,3,rbu,30,0
120011,3,9,rbu,80,0
120011,3,4,vbe,70,0
120011,3,5,vbe,50,0
120011,4,10,tei,30,0
120011,1,1,rbu,50,0
120011,1,2,rbu,60,0
120011,4,1,vbe,60,0
120011,3,10,tei,40,0
120011,2,1,tei,30,0
120011,3,1,tei,40,0
120011,3,2,tei,40,0
120011,3,6,vbe,60,0
120011,3,7,bi,110,0
120013,2,9,sei,20,0
120013,4,10,sei,30,0
120013,4,9,slb,50,0
120013,4,8,slb,60,0
120013,4,7,slb,50,0
120013,4,6,slb,40,0
120013,4,5,slb,60,0
120013,4,4,slb,30,0
120013,4,3,slb,60,0
120013,4,2,slb,40,0
120013,4,1,sei,30,0
120013,3,10,sei,40,0
120013,3,9,tei,40,0
120013,3,8,slb,50,0
120013,3,7,slb,60,0
120013,3,6,slb,40,0
120013,3,5,slb,40,0
120013,3,4,sei,30,0
120013,3,3,sei,40,0
120013,3,2,slb,90,0
120013,3,1,stk,330,1
120013,2,10,stk,550,3
120013,2,8,slb,30,0
120013,2,7,tei,50,0
120013,2,6,slb,150,1
120013,2,5,slb,110,0
120013,2,4,slb,100,0
120013,2,3,slb,40,0
120013,2,2,slb,70,0
120013,2,1,tei,80,0
120013,1,10,tei,20,0
120013,1,9,tei,30,0
120013,1,8,sei,50,0
120013,1,7,slb,20,0
120013,1,6,ei,30,0
120013,1,5,slb,80,0
120013,1,4,slb,50,0
120013,1,3,slb,50,0
120013,1,2,slb,30,0
120013,1,1,slb,30,0
120014,2,7,vbe,50,0
120014,2,9,vbe,40,0
120014,1,6,bi,40,0
120014,1,7,sei,40,0
120014,2,1,bi,40,0
120014,2,2,sei,20,0
120014,2,3,sei,30,0
120014,2,4,sei,20,0
120014,2,5,sei,20,0
120014,2,6,vbe,40,0
120014,2,8,vbe,30,0
120014,2,10,vbe,40,0
120014,3,1,bi,40,0
120014,3,2,bi,40,0
120014,3,3,bi,30,0
120014,3,4,bi,40,0
120014,3,5,bi,30,0
120014,3,6,bi,40,0
120014,3,7,sei,30,0
120014,3,8,slb,30,0
120014,1,1,slb,30,0
120014,3,9,slb,20,0
120014,1,2,slb,20,0
120014,1,3,sei,30,0
120014,4,5,bi,20,0
120014,4,4,vbe,20,0
120014,4,3,vbe,30,0
