bund_nr,otprobe,utprobe,pr_art,probennr,lfd_nr
50001,0,5,ftg,271_33,1
50001,5,10,ftg,271_34,2
50001,10,30,ftg,271_35,3
50001,30,60,ftg,271_36,4
50001,60,90,ftg,271_37,5
50002,0,5,ftg,263_33,1
50002,5,10,ftg,263_34,2
50002,10,30,ftg,263_35,3
50002,30,60,ftg,263_36,4
50002,60,90,ftg,263_37,5
50003,0,5,ftg,670_33,1
50003,5,10,ftg,670_34,2
50003,10,30,ftg,670_35,3
50003,30,60,ftg,670_36,4
50003,60,90,pts,670_37,5
50004,0,5,ftg,658_33,1
50004,5,10,ftg,658_34,2
50004,10,30,ftg,658_35,3
50004,30,60,ftg,658_36,4
50004,60,90,pts,658_37,5
50005,0,5,ftg,256_32,1
50005,5,10,ftg,256_33,2
50005,10,30,ftg,256_34,3
50005,30,60,ftg,256_35,4
50005,60,90,ftg,256_36,5
50006,0,5,ftg,251_33,1
50006,5,10,ftg,251_34,2
50006,10,30,ftg,251_35,3
50006,30,60,ftg,251_36,4
50006,60,90,ftg,251_37,5
50007,0,5,ftg,268_32,1
50007,5,10,ftg,268_33,2
50007,10,30,ftg,268_34,3
50007,30,60,ftg,268_35,4
50007,60,90,ftg,268_36,5
50008,0,5,ftg,769_33,1
50008,5,10,ftg,769_34,2
50008,10,30,ftg,769_35,3
50008,30,60,ftg,769_36,4
50008,60,90,ftg,769_37,5
50009,0,5,ftg,668_33,1
50009,5,10,ftg,668_34,2
50009,10,30,ftg,668_35,3
50009,30,60,ftg,668_36,4
50009,60,90,pts,668_37,5
50010,0,5,ftg,673_32,1
50010,5,10,ftg,673_33,2
50010,10,30,ftg,673_34,3
50010,30,60,ftg,673_35,4
50010,60,90,pts,673_36,5
50010,90,140,pts,673_37,6
50011,0,5,ftg,675_33,1
50011,5,10,ftg,675_34,2
50011,10,30,ftg,675_35,3
50011,30,60,pts,675_36,4
50012,0,5,ftg,258_33,1
50012,5,10,ftg,258_34,2
50012,10,30,ftg,258_35,3
50012,30,60,ftg,258_36,4
50012,60,90,ftg,258_37,5
50013,0,5,ftg,254_33,1
50013,5,10,ftg,254_34,2
50013,10,30,ftg,254_35,3
50013,30,60,ftg,254_36,4
50013,60,90,ftg,254_37,5
50014,0,5,ftg,266_33,1
50014,5,10,ftg,266_34,2
50014,10,30,ftg,266_35,3
50014,30,60,ftg,266_36,4
50014,60,90,ftg,266_37,5
50015,5,10,ftg,655_33,1
50015,10,30,ftg,655_34,2
50015,30,42,ftg,655_35,3
50015,0,5,ftg,655_32,4
50016,0,5,ftg,652_33,1
50016,5,10,ftg,652_34,2
50016,10,30,ftg,652_35,3
50016,30,60,ftg,652_36,4
50016,60,80,ftg,652_37,5
50017,0,5,ftg,678_32,1
50017,5,10,ftg,678_33,2
50017,10,30,ftg,678_34,3
50017,30,60,ftg,678_35,4
50018,0,5,ftg,765_33,1
50018,5,10,ftg,765_34,2
50018,10,30,ftg,765_35,3
50018,30,60,ftg,765_36,4
50018,60,90,ftg,765_37,5
50019,0,5,ftg,763_33,1
50019,5,10,ftg,763_34,2
50019,10,30,ftg,763_35,3
50019,30,60,ftg,763_36,4
50019,60,90,ftg,763_37,5
50020,0,5,ftg,764_32,1
50020,5,10,ftg,764_33,2
50020,10,30,ftg,764_34,3
50020,30,60,pts,764_35,4
50020,60,90,pts,764_36,5
50021,0,5,ftg,762_32,1
50021,5,10,ftg,762_33,2
50021,10,30,ftg,762_34,3
50021,30,60,ftg,762_35,4
50022,0,5,ftg,756_32,1
50022,5,10,ftg,756_33,2
50022,10,30,ftg,756_34,3
50022,30,60,ftg,756_35,4
50022,60,90,ftg,756_36,5
50023,0,5,ftg,754_32,1
50023,5,10,ftg,754_33,2
50023,10,30,ftg,754_34,3
50023,30,60,ftg,754_35,4
50023,60,80,ftg,754_36,5
50024,0,5,ftg,297_33,1
50024,5,10,ftg,297_34,2
50024,10,30,ftg,297_35,3
50024,30,60,ftg,297_36,4
50024,60,90,ftg,297_37,5
50025,0,5,ftg,162_32 A,1
50025,5,10,ftg,162_33 A,2
50025,10,30,ftg,162_34 A,3
50025,30,60,ftg,162_35 A,4
50025,60,90,ftg,162_36 A,5
50026,0,5,ftg,179_32,1
50026,5,10,ftg,179_33,2
50026,10,30,ftg,179_34,3
50026,30,60,ftg,179_35,4
50026,60,90,ftg,179_36,5
50027,0,5,ftg,170_33,1
50027,5,10,ftg,170_34,2
50027,10,30,ftg,170_35,3
50027,30,60,ftg,170_36,4
50027,60,90,ftg,170_37,5
50028,0,5,ftg,770_33,1
50028,5,10,ftg,770_34,2
50028,10,30,ftg,770_35,3
50028,30,60,ftg,770_36,4
50028,60,90,pts,770_38,6
50029,0,5,ftg,293_32,1
50029,5,10,ftg,293_33,2
50029,10,30,pts,293_34,3
50029,30,60,pts,293_35,4
50029,60,90,pts,293_36,5
50030,0,5,ftg,300_33,1
50030,5,10,ftg,300_34,2
50030,10,30,ftg,300_35,3
50030,30,60,pts,300_36,4
50030,60,90,pts,300_37,5
50031,0,5,ftg,159_33 A,1
50031,5,10,ftg,159_34 A,2
50031,10,30,ftg,159_35 A,3
50031,30,60,ftg,159_36 A,4
50031,60,90,ftg,159_37 A,5
50032,0,5,ftg,771_32,1
50032,5,10,ftg,771_33,2
50032,10,30,ftg,771_34,3
50032,30,60,ftg,771_35,4
50032,60,90,ftg,771_36,5
50033,0,5,ftg,274_32,1
50033,5,10,ftg,274_33,2
50033,10,30,ftg,274_34,3
50033,30,60,ftg,274_35,4
50033,60,90,ftg,274_36,5
50034,0,5,ftg,563_33,1
50034,5,10,ftg,563_34,2
50034,10,30,ftg,563_35,3
50034,30,60,ftg,563_36,4
50034,60,90,ftg,563_37,5
50035,0,5,ftg,183_32,1
50035,5,10,ftg,183_33,2
50035,10,30,ftg,183_34,3
50035,30,60,ftg,183_35,4
50035,60,90,ftg,183_36,5
50036,0,5,ftg,567_33,1
50036,5,10,ftg,567_34,2
50036,10,30,ftg,567_35,3
50036,30,60,ftg,567_36,4
50036,60,90,ftg,567_37,5
50037,0,5,ftg,565_33,1
50037,5,10,ftg,565_34,2
50037,10,30,ftg,565_35,3
50037,30,60,ftg,565_36,4
50038,0,5,ftg,289_33,1
50038,5,10,ftg,289_34,2
50038,10,30,ftg,289_35,3
50038,30,60,ftg,289_36,4
50038,60,90,ftg,289_37,5
50039,0,5,ftg,290_32,1
50039,5,10,ftg,290_33,2
50039,10,30,ftg,290_34,3
50039,30,60,pts,290_35,4
50040,0,5,ftg,207_32,1
50040,5,10,ftg,207_33,2
50040,10,20,ftg,207_34,3
50040,20,30,ftg,207_35,4
50040,30,45,ftg,207_36,5
50040,45,60,ftg,207_37,6
50040,60,90,ftg,207_38,7
50041,0,5,ftg,566_32,1
50041,5,10,ftg,566_33,2
50041,10,30,ftg,566_34,3
50041,30,60,ftg,566_35,4
50042,0,5,ftg,302_32,1
50042,5,10,ftg,302_33,2
50042,10,30,ftg,302_34,3
50042,30,60,ftg,302_35,4
50042,60,90,ftg,302_36,5
50043,0,5,pts,286_33,1
50043,5,10,pts,286_34,2
50043,10,30,pts,286_35,3
50043,30,60,pts,286_36,4
50043,60,90,pts,286_37,5
50044,0,5,ftg,562_32,1
50044,5,10,ftg,562_33,2
50044,10,30,ftg,562_34,3
50044,30,60,pts,562_35,4
50044,60,90,pts,562_36,5
50045,0,5,ftg,213_33,1
50045,5,10,ftg,213_34,2
50045,10,30,ftg,213_35,3
50045,30,60,ftg,213_36,4
50045,60,90,ftg,213_37,5
50046,0,5,ftg,577_33,1
50046,5,10,ftg,577_34,2
50046,10,30,pts,577_35,3
50046,30,60,pts,577_36,4
50046,60,90,pts,577_37,5
50047,0,5,ftg,309_33,1
50047,5,10,ftg,309_34,2
50047,10,30,ftg,309_35,3
50047,30,60,pts,309_36,4
50047,60,90,pts,309_37,5
50048,0,5,ftg,312_33,1
50048,5,10,ftg,312_34,2
50048,10,30,ftg,312_35,3
50048,30,60,ftg,312_36,4
50049,0,5,ftg,554_33,1
50049,5,10,ftg,554_34,2
50049,10,30,ftg,554_35,3
50049,30,60,ftg,554_36,4
50049,60,90,ftg,554_37,5
50050,0,5,ftg,276_33,1
50050,5,10,ftg,276_34,2
50050,10,30,ftg,276_35,3
50050,30,60,ftg,276_36,4
50050,60,90,ftg,276_37,5
50051,0,5,ftg,218_33,1
50051,5,10,ftg,218_34,2
50051,10,30,ftg,218_35,3
50051,30,60,ftg,218_36,4
50051,60,90,ftg,218_37,5
50052,0,5,ftg,579_32,1
50052,5,10,ftg,579_33,2
50052,10,30,ftg,579_34,3
50052,30,60,ftg,579_35,4
50052,60,90,ftg,579_36,5
50053,0,5,ftg,364_33,1
50053,5,10,ftg,364_34,2
50053,10,30,ftg,364_35,3
50053,30,60,ftg,364_36,4
50054,0,5,ftg,587_33,1
50054,5,10,ftg,587_34,2
50054,10,30,ftg,587_35,3
50054,30,60,pts,587_36,4
50055,0,5,ftg,585_33,1
50055,5,10,ftg,585_34,2
50055,10,30,ftg,585_35,3
50055,30,60,ftg,585_36,4
50056,0,5,ftg,580_33,1
50056,5,10,ftg,580_34,2
50056,10,30,pts,580_35,3
50056,30,60,pts,580_36,4
50056,60,90,pts,580_37,5
50057,0,5,ftg,228_33,1
50057,5,10,ftg,228_34,2
50057,10,30,ftg,228_35,3
50057,30,50,ftg,228_36,4
50058,0,5,ftg,211_32,1
50058,5,10,ftg,211_33,2
50058,10,30,ftg,211_34,3
50058,30,60,ftg,211_35,4
50058,60,90,ftg,211_36,5
50059,0,5,ftg,320_33,1
50059,5,10,ftg,320_34,2
50059,10,30,ftg,320_35,3
50059,30,60,pts,320_36,4
50059,60,90,pts,320_37,5
50060,0,5,ftg,373_33,1
50060,5,10,ftg,373_34,2
50060,10,30,ftg,373_35,3
50060,30,60,ftg,373_36,4
50060,60,90,ftg,373_37,5
50061,0,5,ftg,595_33,1
50061,5,10,ftg,595_34,2
50061,10,30,ftg,595_35,3
50061,30,60,ftg,595_36,4
50062,0,5,ftg,583_32,1
50062,5,10,ftg,583_33,2
50062,10,30,ftg,583_34,3
50062,30,60,ftg,583_35,4
50062,60,90,ftg,583_36,5
50063,0,5,ftg,221_33,1
50063,5,10,ftg,221_34,2
50063,10,30,ftg,221_35,3
50063,30,60,ftg,221_36,4
50063,60,90,ftg,221_37,5
50064,0,5,ftg,171_33 A,1
50064,5,10,ftg,171_34 A,2
50064,10,30,ftg,171_35 A,3
50064,30,60,ftg,171_36 A,4
50064,60,90,ftg,171_37 A,5
50065,0,5,pts,379_33,2
50065,5,10,pts,379_34,3
50065,10,30,pts,379_35,4
50065,30,60,pts,379_36,5
50065,60,90,pts,379_37,6
50066,0,5,ftg,356_33,1
50066,5,10,ftg,356_34,2
50066,10,30,ftg,356_35,3
50066,30,60,ftg,356_36,4
50066,60,90,ftg,356_37,5
50067,0,5,ftg,351_32,1
50067,5,10,ftg,351_33,2
50067,10,30,ftg,351_34,3
50067,30,60,ftg,351_35,4
50067,60,90,ftg,351_36,5
50068,0,5,ftg,371_32,1
50068,5,10,ftg,371_33,2
50068,10,30,ftg,371_34,3
50068,30,60,ftg,371_35,4
50069,0,5,ftg,175_32,1
50069,5,10,ftg,175_33,2
50069,10,30,ftg,175_34,3
50069,30,60,ftg,175_35,4
50069,60,90,ftg,175_36,5
50070,0,1,pts,180_32,1
50070,1,5,pts,180_33,2
50070,5,10,pts,180_34,3
50070,10,30,pts,180_35,4
50070,30,60,pts,180_36,5
50070,60,90,pts,180_37,6
50071,0,5,ftg,391_32,1
50071,5,10,ftg,391_33,2
50071,10,30,ftg,391_34,3
50071,30,60,ftg,391_35,4
50071,60,90,ftg,391_36,5
50072,0,5,ftg,389_33,1
50072,5,10,ftg,389_34,2
50072,10,30,ftg,389_35,3
50072,30,60,ftg,389_36,4
50072,60,90,ftg,389_37,5
50072,90,110,phg,389_38,6
50073,0,5,ftg,376_32,1
50073,5,10,ftg,376_33,2
50073,10,30,ftg,376_34,3
50073,30,60,ftg,376_35,4
50074,0,5,ftg,322_33,1
50074,5,10,ftg,322_34,2
50074,10,30,ftg,322_35,3
50074,30,60,ftg,322_36,4
50075,0,5,ftg,323_33,1
50075,5,10,ftg,323_34,2
50075,10,30,ftg,323_35,3
50075,30,60,pts,323_36,4
50076,0,5,ftg,404_33,1
50076,5,10,ftg,404_34,2
50076,10,30,ftg,404_35,3
50076,30,60,ftg,404_36,4
50077,0,5,ftg,195_32,1
50077,5,10,ftg,195_33,2
50077,10,30,ftg,195_34,3
50077,30,60,ftg,195_35,4
50077,60,90,ftg,195_36,5
50078,0,5,ftg,194_32,1
50078,5,10,ftg,194_33,2
50078,10,30,ftg,194_34,3
50078,30,60,ftg,194_35,4
50078,60,90,ftg,194_36,5
50079,0,5,ftg,392_33,1
50079,5,10,ftg,392_34,2
50079,10,30,ftg,392_35,3
50079,30,60,ftg,392_36,4
50080,0,5,ftg,386_33,1
50080,5,10,ftg,386_34,2
50080,10,30,ftg,386_35,3
50080,30,60,ftg,386_36,4
50080,60,90,ftg,386_37,5
50081,0,5,ftg,380_33,1
50081,5,10,ftg,380_34,2
50081,10,30,ftg,380_35,3
50081,30,60,ftg,380_36,4
50081,60,90,ftg,380_37,5
50082,0,5,ftg,361_33,1
50082,5,10,ftg,361_34,2
50082,10,30,ftg,361_35,3
50082,30,60,ftg,361_36,4
50082,60,90,ftg,361_37,5
50083,0,5,ftg,363_33,1
50083,5,10,ftg,363_34,2
50083,10,30,ftg,363_35,3
50083,30,60,ftg,363_36,4
50084,0,5,ftg,328_33,1
50084,5,10,ftg,328_34,2
50084,10,30,ftg,328_35,3
50084,30,60,pts,328_36,4
50085,0,5,ftg,411_33,1
50085,5,10,ftg,411_34,2
50085,10,30,ftg,411_35,3
50085,30,60,ftg,411_36,4
50086,0,5,ftg,229_32,1
50086,5,10,ftg,229_33,2
50086,10,30,ftg,229_34,3
50086,30,60,ftg,229_35,4
50087,0,1,ftg,193_32,1
50087,1,5,ftg,193_33,2
50087,5,10,ftg,193_34,3
50087,10,30,ftg,193_35,4
50087,30,60,ftg,193_36,5
50087,60,90,ftg,193_37,6
50088,0,5,ftg,394_33,1
50088,5,10,ftg,394_34,2
50088,10,30,ftg,394_35,3
50088,30,60,ftg,394_36,4
50089,0,5,ftg,40_33 A,1
50089,5,10,ftg,40_34 A,2
50089,10,30,ftg,40_35 A,3
50089,30,60,ftg,40_36 A,4
50090,0,5,ftg,369_33,1
50090,5,10,ftg,369_34,2
50090,10,30,ftg,369_35,3
50090,30,60,ftg,369_36,4
50090,60,90,ftg,369_37,5
50091,0,5,ftg,331_33,1
50091,5,10,ftg,331_34,2
50091,10,30,ftg,331_35,3
50091,30,60,ftg,331_36,4
50092,0,5,ftg,416_33,1
50092,5,10,ftg,416_34,2
50092,10,30,ftg,416_35,3
50092,30,60,ftg,416_36,4
50093,0,5,ftg,417_33,1
50093,5,10,ftg,417_34,2
50093,10,30,ftg,417_35,3
50093,30,60,ftg,417_36,4
50093,60,90,ftg,417_37,5
50094,0,5,ftg,73_33 A,1
50094,5,10,ftg,73_34 A,2
50094,10,30,ftg,73_35 A,3
50094,30,60,ftg,73_36 A,4
50094,60,90,ftg,73_37 A,5
50095,0,5,ftg,49_33,1
50095,5,10,ftg,49_34,2
50095,10,30,ftg,49_35,3
50095,30,60,ftg,49_36,4
50096,0,5,ftg,52_33 A,1
50096,5,10,ftg,52_34 A,2
50096,10,30,ftg,52_35 A,3
50096,30,60,ftg,52_36 A,4
50097,0,5,ftg,17_33 A,1
50097,5,10,ftg,17_34 A,2
50097,10,30,ftg,17_35 A,3
50097,30,60,ftg,17_36 A,4
50098,0,5,ftg,20/33 A,1
50098,5,10,ftg,20/34 A,2
50098,10,30,ftg,20/35 A,3
50098,30,60,ftg,20/36 A,4
50099,0,5,ftg,419_33,1
50099,5,10,ftg,419_34,2
50099,10,30,ftg,419_35,3
50099,30,60,ftg,419_36,4
50099,60,90,ftg,419_37,5
50100,0,5,ftg,420_33,1
50100,5,10,ftg,420_34,2
50100,10,30,ftg,420_35,3
50100,30,60,ftg,420_36,4
50100,60,90,ftg,420_37,5
50101,0,5,ftg,71_33,1
50101,5,10,ftg,71_34,2
50101,10,30,ftg,71_35,3
50101,30,60,ftg,71_36,4
50101,60,90,ftg,71_37,5
50102,0,5,ftg,914_33,1
50102,5,10,ftg,914_34,2
50102,10,30,ftg,914_35,3
50102,30,60,ftg,914_36,4
50103,0,5,ftg,54_33 A,1
50103,5,10,ftg,54_34 A,2
50103,10,30,ftg,54_35 A,3
50103,30,60,ftg,54_36 A,4
50104,0,5,ftg,58_33 A,1
50104,5,10,ftg,58_34 A,2
50104,10,30,ftg,58_35 A,3
50104,30,60,ftg,58_36 A,4
50105,0,5,ftg,15_33,1
50105,5,10,ftg,15_34,2
50105,10,30,ftg,15_35,3
50105,30,60,ftg,15_36,4
50105,60,90,ftg,15_37,5
50106,0,5,ftg,19_33 A,1
50106,5,10,ftg,19_34 A,2
50106,10,30,ftg,19_35 A,3
50106,30,60,ftg,19_36 A,4
50106,60,90,ftg,19_37 A,5
50107,0,5,ftg,423_33,1
50107,5,10,ftg,423_34,2
50107,10,30,ftg,423_35,3
50107,30,60,pts,423_36,4
50108,0,5,ftg,69_32 A,1
50108,5,10,ftg,69_33 A,2
50108,10,30,ftg,69_34 A,3
50108,30,60,ftg,69_35 A,4
50108,60,90,ftg,69_36 A,5
50109,0,5,ftg,911_33,1
50109,5,10,ftg,911_34,2
50109,10,30,ftg,911_35,3
50109,30,60,ftg,911_36,4
50109,60,90,ftg,911_37,5
50110,0,5,ftg,66_32,1
50110,5,10,ftg,66_33,2
50110,10,30,ftg,66_34,3
50110,30,60,ftg,66_35,4
50110,60,90,ftg,66_36,5
50111,0,5,ftg,5_33,1
50111,5,10,ftg,5_34,2
50111,10,30,ftg,5_35,3
50111,30,60,ftg,5_36,4
50112,0,5,ftg,29_33,1
50112,5,10,ftg,29_34,2
50112,10,30,ftg,29_35,3
50113,0,5,ftg,863_32,1
50113,5,10,ftg,863_33,2
50113,10,30,ftg,863_34,3
50113,30,40,ftg,863_35,4
50114,0,5,ftg,37_33 A,1
50114,5,10,ftg,37_34 A,2
50114,10,30,ftg,37_35 A,3
50114,30,60,ftg,37_36 A,4
50115,0,5,ftg,31_32 A,1
50115,5,10,ftg,31_33 A,2
50115,10,30,ftg,31_34 A,3
50115,30,60,ftg,31_35 A,4
50116,0,5,ftg,862_32,1
50116,5,10,ftg,862_33,2
50116,10,30,ftg,862_34,3
50116,30,45,ftg,862_35,4
50117,0,5,ftg,859_33,1
50117,5,10,ftg,859_34,2
