bnr,bart,bund_nr,quirl,nadeljg,trieb,probe_nr,anmerkung
1,gki,50001,5-10,0,-2,106001,
1,gki,50001,5-10,+1,-2,106002,
2,gki,50001,5-10,0,-2,106003,
2,gki,50001,5-10,+1,-2,106004,
3,gki,50001,5-10,0,-2,106005,
3,gki,50001,5-10,+1,-2,106006,
1,gki,50002,5-10,0,-2,106013,
1,gki,50002,5-10,+1,-2,106014,
2,gki,50002,5-10,0,-2,106015,
2,gki,50002,5-10,+1,-2,106016,
3,gki,50002,5-10,0,-2,106017,
3,gki,50002,5-10,+1,-2,106018,
1,dgl,50003,4-6,0,-9,309001,
1,dgl,50003,4-6,+1,-9,309002,
1,dgl,50003,4-6,+2,-9,309003,
2,dgl,50003,4-6,0,-9,309004,
2,dgl,50003,4-6,+1,-9,309005,
2,dgl,50003,4-6,+2,-9,309006,
3,dgl,50003,4-6,0,-9,309007,
3,dgl,50003,4-6,+1,-9,309008,
3,dgl,50003,4-6,+2,-9,309009,
1,gfi,50004,7-10,0,-9,109010,
1,gfi,50004,7-10,+1,-9,109011,
1,gfi,50004,7-10,+2,-9,109012,
2,gfi,50004,7-10,0,-9,109013,
2,gfi,50004,7-10,+1,-9,109014,
2,gfi,50004,7-10,+2,-9,109015,
6,gfi,50004,7-10,0,-9,109016,
6,gfi,50004,7-10,+1,-9,109017,
6,gfi,50004,7-10,+2,-9,109018,
1,bah,50005,-2,-2,1,108007,
2,bah,50005,-2,-2,1,108008,
3,bah,50005,-2,-2,1,108009,
1,rei,50006,-2,-2,1,107010,
2,rei,50006,-2,-2,1,107011,
3,rei,50006,-2,-2,1,107012,
1,sbi,50007,-2,-2,1,107016,
2,sbi,50007,-2,-2,1,107017,
3,sbi,50007,-2,-2,1,107018,
1,gfi,50008,7-10,0,-9,109028,
1,gfi,50008,7-10,+1,-9,109029,
1,gfi,50008,7-10,+2,-9,109030,
2,gfi,50008,7-10,0,-9,109031,
2,gfi,50008,7-10,+1,-9,109032,
2,gfi,50008,7-10,+2,-9,109033,
3,gfi,50008,7-10,0,-9,109034,
3,gfi,50008,7-10,+1,-9,109035,
3,gfi,50008,7-10,+2,-9,109036,
2,gfi,50009,7-10,0,-9,109046,
2,gfi,50009,7-10,+1,-9,109047,
2,gfi,50009,7-10,+2,-9,109048,
3,gfi,50009,7-10,0,-9,109049,
3,gfi,50009,7-10,+1,-9,109050,
3,gfi,50009,7-10,+2,-9,109051,
4,gfi,50009,7-10,0,-9,109052,
4,gfi,50009,7-10,+1,-9,109053,
4,gfi,50009,7-10,+2,-9,109054,
4,gfi,50010,7-10,0,-9,109064,
4,gfi,50010,7-10,+1,-9,109065,
4,gfi,50010,7-10,+2,-9,109066,
5,gfi,50010,7-10,0,-9,109067,
5,gfi,50010,7-10,+1,-9,109068,
5,gfi,50010,7-10,+2,-9,109069,
6,gfi,50010,7-10,0,-9,109070,
6,gfi,50010,7-10,+1,-9,109071,
6,gfi,50010,7-10,+2,-9,109072,
1,tei,50011,-2,-2,1,107025,
2,tei,50011,-2,-2,1,107026,
3,tei,50011,-2,-2,1,107027,
1,sei,50012,-2,-2,1,107028,
11,sbi,50012,-2,-2,1,107382,
12,sbi,50012,-2,-2,1,107383,
13,sbi,50012,-2,-2,1,107384,
2,sei,50012,-2,-2,1,107029,
3,tei,50012,-2,-2,1,107030,
1,sei,50013,-2,-2,1,107031,
2,sei,50013,-2,-2,1,107032,
2,sei,50013,-2,-2,2,107392,
3,sei,50013,-2,-2,1,107033,
3,sei,50013,-2,-2,2,107393,
1,sei,50014,-2,-2,1,107037,
2,sei,50014,-2,-2,1,107038,
3,sei,50014,-2,-2,1,107039,
1,gfi,50015,7-10,0,-9,109091,
1,gfi,50015,7-10,+1,-9,109092,
1,gfi,50015,7-10,+2,-9,109093,
2,gfi,50015,7-10,0,-9,109094,
2,gfi,50015,7-10,+1,-9,109095,
2,gfi,50015,7-10,+2,-9,109096,
3,gfi,50015,7-10,0,-9,109097,
3,gfi,50015,7-10,+1,-9,109098,
3,gfi,50015,7-10,+2,-9,109099,
1,rbu,50016,-2,-2,1,108019,
2,rbu,50016,-2,-2,1,108020,
3,rbu,50016,-2,-2,1,108021,
1,tei,50017,-2,-2,1,107049,
2,tei,50017,-2,-2,1,107050,
3,tei,50017,-2,-2,1,107051,
1,ta,50018,4-6,0,-2,309055,
1,ta,50018,4-6,+1,-2,309056,
1,ta,50018,4-6,+2,-2,309057,
2,ta,50018,4-6,0,-2,309058,
2,ta,50018,4-6,+1,-2,309059,
2,ta,50018,4-6,+2,-2,309060,
3,ta,50018,4-6,0,-2,309061,
3,ta,50018,4-6,+1,-2,309062,
3,ta,50018,4-6,+2,-2,309063,
1,gfi,50019,7-10,0,-9,109118,
1,gfi,50019,7-10,+1,-9,109119,
1,gfi,50019,7-10,+2,-9,109120,
2,gfi,50019,7-10,0,-9,109121,
2,gfi,50019,7-10,+1,-9,109122,
2,gfi,50019,7-10,+2,-9,109123,
3,gfi,50019,7-10,0,-9,109124,
3,gfi,50019,7-10,+1,-9,109125,
3,gfi,50019,7-10,+2,-9,109126,
1,gki,50020,5-10,0,-2,106067,
1,gki,50020,5-10,+1,-2,106068,
2,gki,50020,5-10,0,-2,106069,
2,gki,50020,5-10,+1,-2,106070,
3,gki,50020,5-10,0,-2,106071,
3,gki,50020,5-10,+1,-2,106072,
1,gki,50021,5-10,0,-2,106073,
1,gki,50021,5-10,+1,-2,106074,
1,gki,50021,5-10,+2,-2,106339,
2,gki,50021,5-10,0,-2,106075,
2,gki,50021,5-10,+1,-2,106076,
2,gki,50021,5-10,+2,-2,106340,
3,gki,50021,5-10,0,-2,106077,
3,gki,50021,5-10,+1,-2,106078,
3,gki,50021,5-10,+2,-2,106341,
1,gki,50022,5-10,0,-2,106079,
1,gki,50022,5-10,+1,-2,106080,
2,gki,50022,5-10,0,-2,106081,
2,gki,50022,5-10,+1,-2,106082,
3,gki,50022,5-10,0,-2,106083,
3,gki,50022,5-10,+1,-2,106084,
