bund_nr,bnr,hori,azi,kraft,alter,bhd,oberhoehe
50001,1,490,24,,,,
50001,2,1290,311,,,,
50001,3,1370,340,,,,
50002,1,1890,323,,,,
50002,2,460,147,,,,
50002,3,1540,2,,,,
50003,1,250,11,,,,
50003,2,530,257,,,,
50003,3,640,298,,,,
50004,1,220,210,,,,
50004,2,560,256,,,,
50004,6,1110,37,,,,
50005,1,690,198,,,,
50005,2,1100,174,,,,
50005,3,410,8,,,,
50006,1,2020,131,,,,
50006,2,880,142,,,,
50006,3,650,157,,,,
50007,1,1160,170,,,,
50007,2,180,201,,,,
50007,3,380,330,,,,
50008,1,380,160,,,,
50008,2,780,241,,,,
50008,3,280,8,,,,
50009,2,680,356,,,,
50009,3,820,69,,,,
50009,4,250,278,,,,
50010,4,2760,202,,,,
50010,5,2360,210,,,,
50010,6,1980,213,,,,
50011,1,1130,154,,,,
50011,2,790,350,,,,
50011,3,1470,374,,,,
50012,1,270,207,,,,
50012,11,1860,228,,,,
50012,12,1630,217,,,,
50012,13,1310,203,,,,
50012,2,270,25,,,,
50012,3,600,328,,,,
50013,1,530,32,,,,
50013,2,520,264,,,,
50013,3,620,138,,,,
50014,1,470,111,,,,
50014,2,260,266,,,,
50014,3,670,398,,,,
50015,1,880,236,,,,
50015,2,750,172,,,,
50015,3,790,83,,,,
50016,1,500,197,,,,
50016,2,300,74,,,,
50016,3,1770,102,,,,
50017,1,820,223,,,,
50017,2,310,330,,,,
50017,3,240,117,,,,
50018,1,430,277,,,,
50018,2,290,333,,,,
50018,3,540,160,,,,
50019,1,350,53,,,,
50019,2,230,192,,,,
50019,3,440,311,,,,
50020,1,900,256,,,,
50020,2,180,59,,,,
50020,3,880,374,,,,
50021,1,1570,211,,,,
50021,2,400,354,,,,
50021,3,680,112,,,,
50022,1,1230,244,,,,
50022,2,280,214,,,,
50022,3,1480,132,,,,
50023,1,1230,392,,,,
50023,2,970,29,,,,
50023,3,620,106,,,,
50024,1,1790,384,,,,
50024,2,2210,74,,,,
50024,3,1510,117,,,,
50025,1,740,107,,,,
50025,2,1220,223,,,,
50025,3,1570,178,,,,
50026,1,1490,41,,,,
50026,2,1660,93,,,,
50026,3,2010,143,,,,
50027,1,360,242,,,,
50027,2,680,308,,,,
50027,3,950,9,,,,
50028,1,1400,300,,,,
50028,11,730,280,,,,
50028,12,2140,341,,,,
50028,13,2010,377,,,,
50028,2,1020,369,,,,
50028,3,1850,99,,,,
50029,1,110,247,,,,
50029,2,990,306,,,,
50029,3,840,123,,,,
50030,1,1180,26,,,,
50030,3,2270,223,,,,
50030,5,3100,251,,,,
50031,1,1060,96,,,,
50031,11,630,238,,,,
50031,12,1110,382,,,,
50031,13,1950,10,,,,
50031,2,350,345,,,,
50031,3,810,171,,,,
50032,1,530,106,,,,
50032,2,290,234,,,,
50032,3,1190,326,,,,
50033,1,100,0,,,,
50033,2,670,0,,,,
50033,3,1270,72,,,,
50034,1,1280,290,,,,
50034,2,1030,51,,,,
50034,3,880,131,,,,
50035,1,750,241,,,,
50035,2,370,182,,,,
50035,3,1480,88,,,,
50036,1,2720,333,,,,
50036,2,680,215,,,,
50036,3,1620,44,,,,
50037,1,920,34,,,,
50037,2,780,344,,,,
50037,3,290,219,,,,
50038,1,390,118,,,,
50038,2,400,234,,,,
50038,3,1000,17,,,,
50039,1,660,231,,,,
50039,2,620,74,,,,
50039,3,1020,48,,,,
50040,1,460,49,,,,
50040,11,1750,113,,,,
50040,12,1920,27,,,,
50040,13,1700,388,,,,
50040,2,370,277,,,,
50040,3,890,238,,,,
50041,1,1010,52,,,,
50041,2,1590,143,,,,
50041,3,1190,193,,,,
50042,1,1100,121,,,,
50042,2,690,124,,,,
50042,3,780,211,,,,
50043,1,490,91,,,,
50043,11,780,244,,,,
50043,12,210,352,,,,
50043,13,720,90,,,,
50043,2,460,389,,,,
50043,3,1690,31,,,,
50044,1,170,322,,,,
50044,2,90,362,,,,
50044,3,200,113,,,,
50045,1,980,264,,,,
50045,2,1100,182,,,,
50045,3,240,161,,,,
50046,1,950,246,,,,
50046,2,780,164,,,,
50046,3,1250,142,,,,
50047,1,1830,214,,,,
50047,2,1130,167,,,,
50047,3,750,127,,,,
50048,1,1420,74,,,,
50048,2,1500,56,,,,
50048,3,2580,53,,,,
50049,1,540,372,,,,
50049,2,280,302,,,,
50049,6,370,167,,,,
50050,1,290,87,,,,
50050,2,530,183,,,,
50050,3,650,228,,,,
50051,1,1130,344,,,,
50051,2,1190,23,,,,
50051,3,1270,94,,,,
50052,1,580,349,,,,
50052,2,320,241,,,,
50052,3,610,307,,,,
50054,1,870,241,,,,
50054,3,790,328,,,,
50054,5,2360,328,,,,
50055,1,1080,338,,,,
50055,11,380,339,,,,
50055,12,1190,378,,,,
50055,13,980,123,,,,
50055,2,470,397,,,,
50055,3,840,223,,,,
50056,1,500,357,,,,
50056,2,1060,261,,,,
50056,3,1840,192,,,,
50057,1,800,221,,,,
50057,2,300,314,,,,
50057,3,1120,23,,,,
50058,1,1400,312,,,,
50058,2,2170,300,,,,
50058,3,2100,323,,,,
50059,1,1130,317,,,,
50059,2,630,232,,,,
50059,3,1740,133,,,,
50060,1,370,79,,,,
50060,2,540,60,,,,
50060,3,450,119,,,,
50061,1,320,360,,,,
50061,2,880,4,,,,
50061,3,220,104,,,,
50062,1,840,203,,,,
50062,11,170,126,,,,
50062,12,550,383,,,,
50062,13,480,227,,,,
50062,2,860,144,,,,
50062,3,650,357,,,,
50063,1,850,141,,,,
50063,2,750,204,,,,
50063,3,810,274,,,,
50064,1,2500,189,,,,
50064,2,2760,159,,,,
50064,3,2400,311,,,,
50065,1,150,333,,,,
50065,2,700,213,,,,
50065,3,1270,219,,,,
50067,1,420,201,,,,
50067,2,440,112,,,,
50067,3,1100,90,,,,
50068,1,830,357,,,,
50068,2,590,79,,,,
50068,3,1220,191,,,,
50069,1,210,7,,,,
50069,2,1180,23,,,,
50069,3,330,120,,,,
50070,1,1060,292,,,,
50070,2,550,384,,,,
50070,3,500,157,,,,
50072,1,350,352,,,,
50072,2,980,31,,,,
50072,3,270,81,,,,
50073,1,530,130,,,,
50073,11,230,14,,,,
50073,12,1780,222,,,,
50073,13,1960,209,,,,
50073,2,240,186,,,,
50073,3,880,237,,,,
50074,1,480,181,,,,
50074,2,250,122,,,,
50074,3,400,319,,,,
50076,1,1560,332,,,,
50076,2,1070,339,,,,
50076,3,1070,384,,,,
50077,1,700,59,,,,
50077,2,1320,40,,,,
50077,3,970,230,,,,
50078,1,850,278,,,,
50078,11,770,384,,,,
50078,12,1240,133,,,,
50078,13,1240,168,,,,
50078,2,840,72,,,,
50078,3,610,149,,,,
50079,1,520,389,,,,
50079,2,420,83,,,,
50079,3,240,221,,,,
50080,1,440,284,,,,
50080,2,360,394,,,,
50080,6,680,236,,,,
50081,1,320,381,,,,
50081,3,570,166,,,,
50081,5,680,43,,,,
50082,1,280,211,,,,
50082,2,420,300,,,,
50082,3,640,44,,,,
50083,1,400,114,,,,
50083,2,330,320,,,,
50083,3,910,281,,,,
50085,1,270,341,,,,
50085,2,390,206,,,,
50085,6,410,102,,,,
50086,1,1480,120,,,,
50086,11,520,213,,,,
50086,12,330,357,,,,
50086,13,800,17,,,,
50086,2,1870,151,,,,
50086,3,1570,296,,,,
50087,1,970,339,,,,
50087,2,860,252,,,,
50087,3,560,66,,,,
50088,1,160,100,,,,
50088,2,620,187,,,,
50088,3,490,247,,,,
50089,1,900,133,,,,
50089,2,2010,116,,,,
50089,6,2870,19,,,,
50090,1,270,130,,,,
50090,2,890,250,,,,
50090,3,880,194,,,,
50091,1,360,241,,,,
50091,2,320,27,,,,
50091,3,690,341,,,,
50092,2,500,197,,,,
50092,3,670,0,,,,
50092,4,1590,11,,,,
50093,4,1750,170,,,,
50093,5,2860,170,,,,
50093,6,2700,199,,,,
50094,1,470,359,,,,
50094,2,350,150,,,,
50094,3,690,66,,,,
50095,1,8850,326,,,,
50095,2,9600,330,,,,
50095,3,10900,328,,,,
50096,1,170,52,,,,
50096,11,750,9,,,,
50096,12,880,127,,,,
50096,13,1150,258,,,,
50096,2,1070,376,,,,
50096,3,1600,171,,,,
50097,1,680,222,,,,
50097,11,2390,58,,,,
50097,12,1800,24,,,,
50097,13,1260,121,,,,
50097,2,350,287,,,,
50097,3,390,8,,,,
50098,1,230,224,,,,
50098,2,130,60,,,,
50098,3,380,317,,,,
50099,1,830,90,,,,
50099,2,450,308,,,,
50099,3,1710,367,,,,
50100,1,1430,96,,,,
50100,2,380,262,,,,
50100,3,1090,307,,,,
50101,1,1150,331,,,,
50101,2,240,88,,,,
50101,3,1000,77,,,,
50102,1,310,353,,,,
50102,2,330,49,,,,
50102,3,520,93,,,,
50103,1,890,126,,,,
50103,11,1020,241,,,,
50103,12,1160,316,,,,
50103,13,1050,342,,,,
50103,2,1400,99,,,,
50103,3,1680,111,,,,
50104,1,1390,132,,,,
50104,2,670,154,,,,
50104,3,900,227,,,,
50105,2,660,370,,,,
50105,3,1080,10,,,,
50105,4,1230,298,,,,
50106,1,510,144,,,,
50106,2,340,16,,,,
50106,3,1420,57,,,,
50107,1,810,102,,,,
50107,2,270,38,,,,
50107,3,1240,262,,,,
50108,1,930,253,,,,
50108,12,330,107,,,,
50108,13,2050,61,,,,
50108,14,1430,350,,,,
50108,3,1300,136,,,,
50108,5,1800,22,,,,
50109,1,910,41,,,,
50109,2,330,367,,,,
50109,6,1380,103,,,,
50110,1,680,162,,,,
50110,2,700,60,,,,
50110,3,1740,382,,,,
50111,1,190,201,,,,
50111,2,710,319,,,,
50111,3,1320,18,,,,
50112,1,610,220,,,,
50112,2,180,9,,,,
50112,3,670,93,,,,
50113,1,1860,208,,,,
50113,2,1230,291,,,,
50113,3,1850,320,,,,
50114,1,1100,4,,,,
50114,2,1210,318,,,,
50114,3,820,183,,,,
50115,1,10000,329,,,,
50115,2,10200,322,,,,
50115,3,12400,338,,,,
50116,1,220,124,,,,
50116,2,390,359,,,,
50116,3,810,94,,,,
50117,1,350,397,,,,
50117,2,800,107,,,,
50117,3,1010,237,,,,
50118,1,850,398,,,,
50118,2,380,284,,,,
50118,3,1580,151,,,,
50119,1,1620,286,,,,
50119,2,850,14,,,,
50119,6,1210,241,,,,
50120,4,790,217,,,,
50120,5,1120,274,,,,
50120,6,1560,389,,,,
50121,1,300,240,,,,
50121,2,800,139,,,,
50121,3,430,84,,,,
50122,1,600,307,,,,
50122,2,1100,333,,,,
50122,3,800,352,,,,
50123,1,1380,121,,,,
50123,2,2830,111,,,,
50123,3,3660,114,,,,
50124,1,630,116,,,,
50124,2,380,340,,,,
50124,3,1450,1,,,,
50125,1,1880,243,,,,
50125,2,810,202,,,,
50125,3,980,100,,,,
50126,1,540,176,,,,
50126,2,460,201,,,,
50126,3,370,294,,,,
50127,1,440,10,,,,
50127,2,740,140,,,,
50127,3,580,313,,,,
50128,1,230,388,,,,
50128,2,840,42,,,,
50128,3,730,83,,,,
50129,1,800,122,,,,
50129,2,930,163,,,,
50129,3,740,273,,,,
50130,1,2470,201,,,,
50130,2,2790,213,,,,
50130,3,3130,233,,,,
50131,1,590,338,,,,
50131,2,210,161,,,,
50131,3,930,179,,,,
50132,1,1920,327,,,,
50132,11,1320,168,,,,
50132,12,2320,146,,,,
50132,13,2800,150,,,,
50132,2,2260,7,,,,
50132,3,560,36,,,,
50133,1,1650,39,,,,
50133,11,570,150,,,,
50133,12,1330,160,,,,
50133,13,1890,186,,,,
50133,2,940,330,,,,
50133,3,1050,258,,,,
50134,1,350,137,,,,
50134,2,730,234,,,,
50134,3,370,328,,,,
50135,1,1100,42,,,,
50135,2,440,22,,,,
50135,3,220,271,,,,
50136,1,510,328,,,,
50136,2,480,2,,,,
50136,3,600,116,,,,
50137,1,440,281,,,,
50137,2,1110,294,,,,
50137,3,1140,309,,,,
50138,1,990,191,,,,
50138,2,1150,291,,,,
50138,3,260,43,,,,
50139,1,250,196,,,,
50139,2,350,0,,,,
50139,3,800,44,,,,
50140,1,2240,313,,,,
50140,2,2310,301,,,,
50140,6,640,269,,,,
50141,1,300,317,,,,
50141,2,200,64,,,,
50141,3,850,119,,,,
50142,1,620,247,,,,
50142,2,860,166,,,,
50142,3,1830,164,,,,
50143,1,830,64,,,,
50143,2,870,137,,,,
50143,3,1170,213,,,,
50144,1,1340,200,,,,
50144,2,850,256,,,,
50144,3,300,110,,,,
50145,1,190,391,,,,
50145,2,400,82,,,,
50145,3,380,277,,,,
50146,1,870,261,,,,
50146,2,750,80,,,,
50146,3,1760,57,,,,
