bund_nr,lfd_nr,zwiesel,bart,baumkennzahl,d_mess,bhd_hoehe,hoehe,kransatz,kraft,schi,hori,azi,alter,alter_methode
50001,1,,gki,-9,443,130,-9,-9,2,1,409,157,61,6
50001,2,,gki,-9,315,130,-9,-9,2,1,1457,165,61,6
50001,3,,gki,-9,328,130,-9,-9,2,1,1018,188,61,6
50001,4,,gki,-9,384,130,-9,-9,2,1,610,212,61,6
50001,5,,gki,-9,362,130,-9,-9,2,1,1674,218,61,6
50001,6,,gki,-9,273,130,-9,-9,3,1,1138,238,61,6
50001,7,,gki,-9,364,130,-9,-9,2,1,1552,243,61,6
50001,8,,gki,-9,368,130,-9,-9,2,1,1242,272,61,6
50001,9,,gki,-9,343,130,-9,-9,2,1,1611,274,61,6
50001,10,,gki,-9,323,130,214,167,2,1,789,311,61,6
50001,11,,gki,-9,430,130,236,144,2,1,1275,313,61,6
50001,12,,gki,-9,366,130,233,137,2,1,1366,341,61,6
50001,13,,gki,-9,317,130,-9,-9,2,1,655,341,61,6
50001,14,,gki,-9,301,130,-9,-9,3,1,994,352,61,6
50001,15,,gki,-9,248,130,225,144,2,1,1110,391,61,6
50001,17,,gki,-9,263,130,208,160,3,1,875,20,61,6
50001,18,,gki,-9,365,130,-9,-9,2,1,587,20,61,6
50001,19,,ela,-9,369,130,243,141,2,1,822,41,61,6
50001,20,,gki,-9,364,130,-9,-9,2,1,1084,64,61,6
50001,21,,gki,-9,395,130,-9,-9,2,1,1735,66,61,6
50001,22,,gki,-9,359,130,-9,-9,2,1,1469,80,61,6
50001,23,,gki,-9,424,130,-9,-9,2,1,803,89,61,6
50001,24,,gki,-9,315,130,-9,-9,2,1,1582,95,61,6
50001,25,,gfi,-9,375,130,163,35,3,1,1383,142,35,5
50001,26,,gki,-9,335,130,-9,-9,2,1,1658,156,61,6
50002,1,,gki,-9,310,130,239,131,2,1,190,252,86,6
50002,2,,gki,-9,311,130,-9,-9,2,1,1567,265,86,6
50002,3,,gki,-9,289,130,-9,-9,2,1,484,287,86,6
50002,4,,gki,-9,289,130,198,144,2,1,1125,297,86,6
50002,5,,gki,-9,317,130,-9,-9,2,1,1350,303,86,6
50002,6,,gki,-9,239,130,-9,-9,2,1,900,312,86,6
50002,7,,gki,-9,314,130,-9,-9,2,1,440,337,86,6
50002,8,,gki,-9,244,130,217,133,2,1,679,339,86,6
50002,9,,gki,-9,266,130,-9,-9,2,1,1045,342,86,6
50002,10,,gki,-9,349,130,-9,-9,2,1,1429,362,86,6
50002,11,,gki,-9,251,130,-9,-9,3,1,1007,391,86,6
50002,12,,gki,-9,389,130,-9,-9,2,1,1557,398,86,6
50002,13,,gki,-9,350,130,226,128,2,1,1246,4,86,6
50002,14,,gki,-9,330,130,-9,-9,2,1,846,32,86,6
50002,15,,gki,-9,256,130,-9,-9,2,1,341,34,86,6
50002,16,,gki,-9,289,130,-9,-9,2,1,960,41,86,6
50002,17,,gki,-9,301,130,-9,-9,2,1,1374,45,86,6
50002,18,,gki,-9,284,130,-9,-9,3,1,1126,69,86,6
50002,19,,gki,-9,357,130,-9,-9,2,1,1155,87,86,6
50002,20,,gki,-9,328,130,-9,-9,2,1,1580,96,86,6
50002,21,,gki,-9,405,130,177,116,2,1,1639,110,86,6
50002,22,,gki,-9,254,130,-9,-9,2,1,703,116,86,6
50002,23,,gki,-9,379,130,-9,-9,2,1,1559,123,86,6
50002,24,,gki,-9,294,130,-9,-9,3,1,1251,127,86,6
50002,25,,gki,-9,336,130,-9,-9,2,1,926,13,86,6
50002,26,,gki,-9,309,130,-9,-9,2,1,435,145,86,6
50002,27,,gki,-9,322,130,-9,-9,2,1,1109,146,86,6
50002,28,,gki,-9,274,130,-9,-9,2,1,672,171,86,6
50002,29,,gki,-9,291,130,-9,-9,2,1,1035,190,86,6
50002,30,,gki,-9,339,130,-9,-9,2,1,1667,210,86,6
50002,31,,gki,-9,327,130,-9,-9,2,1,845,225,86,6
50002,32,,gki,-9,305,130,-9,-9,2,1,1708,232,86,6
50002,33,,gki,-9,261,130,-9,-9,2,1,801,249,86,6
50002,34,,gki,-9,309,130,-9,-9,2,1,1561,250,86,6
50003,1,,vbe,-9,75,130,74,19,3,1,123,229,21,6
50003,2,,dgl,-9,154,130,-9,-9,1,1,987,230,21,6
50003,3,,dgl,-9,113,130,-9,-9,2,1,194,247,21,6
50003,4,,dgl,-9,151,130,105,25,2,1,554,258,21,6
50003,5,,dgl,-9,120,130,-9,-9,2,1,932,264,21,6
50003,6,,dgl,-9,134,130,-9,-9,2,1,943,276,21,6
50003,7,2,vbe,-9,78,130,78,9,3,1,327,276,21,6
50003,8,2,vbe,-9,87,130,-9,-9,3,1,322,276,21,6
50003,9,,dgl,-9,165,130,102,40,2,1,574,279,21,6
50003,10,,dgl,-9,161,130,130,20,1,1,693,296,21,6
50003,11,,dgl,-9,88,130,77,27,3,1,318,314,21,6
50003,12,,dgl,-9,151,130,-9,-9,2,1,888,320,21,6
50003,13,,dgl,-9,94,130,-9,-9,2,1,515,330,21,6
50003,14,,vbe,-9,120,130,92,7,2,1,1062,367,21,6
50003,15,,dgl,-9,138,130,-9,-9,2,1,514,383,21,6
50003,16,1,dgl,-9,109,130,-9,-9,2,1,287,398,21,6
50003,17,1,dgl,-9,95,130,-9,-9,3,1,290,398,21,6
50003,18,,dgl,-9,145,130,-9,-9,2,1,835,6,21,6
50003,19,,dgl,-9,119,130,-9,-9,2,1,677,26,21,6
50003,20,,vbe,-9,107,130,83,20,2,1,1109,33,21,6
50003,21,,dgl,-9,144,130,111,30,2,1,1026,56,21,6
50003,22,,dgl,-9,105,130,-9,-9,2,1,1097,81,21,6
50003,23,,vbe,-9,112,130,77,15,2,1,679,107,21,6
50003,24,,dgl,-9,102,130,-9,-9,2,1,985,109,21,6
50003,25,,dgl,-9,85,130,-9,-9,3,1,334,110,21,6
50003,26,,dgl,-9,100,130,-9,-9,2,1,589,132,21,6
50003,27,,dgl,-9,115,130,-9,-9,2,1,1094,142,21,6
50003,28,,dgl,-9,151,130,-9,-9,1,1,1144,165,21,6
50003,29,,dgl,-9,112,130,-9,-9,2,1,919,171,21,6
50003,30,,dgl,-9,99,130,-9,-9,3,1,462,184,21,6
50003,31,,dgl,-9,181,130,-9,-9,1,1,1227,185,21,6
50003,32,,dgl,-9,155,130,-9,-9,2,1,975,194,21,6
50003,33,,dgl,-9,141,130,-9,-9,2,1,874,197,21,6
50003,34,,dgl,-9,92,130,-9,-9,2,1,322,197,21,6
50003,35,,dgl,-9,130,130,-9,-9,2,1,1256,208,21,6
50003,36,,dgl,-9,113,130,-9,-9,2,1,1182,212,21,6
50003,37,,dgl,-9,134,130,-9,-9,2,1,691,215,21,6
50003,38,,dgl,-9,79,130,-9,-9,3,1,250,223,21,6
50004,1,,gfi,-9,282,130,257,182,3,1,166,350,98,6
50004,2,,gfi,-9,448,130,-9,-9,2,1,1379,379,98,6
50004,3,,gfi,-9,390,130,-9,-9,2,1,1090,380,98,6
50004,4,,gfi,-9,320,130,290,182,2,1,585,11,98,6
50004,5,,gfi,-9,417,160,-9,-9,2,1,1558,14,98,6
50004,6,,gfi,-9,488,130,-9,-9,1,1,1171,36,98,6
50004,7,,gfi,-9,388,130,-9,-9,2,1,1656,48,98,6
50004,8,,gfi,-9,452,140,319,180,2,1,847,62,98,6
50004,9,,gfi,-9,507,130,-9,-9,2,1,1391,68,98,6
50004,10,,gfi,-9,230,130,245,183,4,1,297,79,98,6
50004,11,,gfi,-9,430,130,-9,-9,2,1,1410,92,98,6
50004,12,,gfi,-9,350,130,-9,-9,3,1,1103,111,98,6
50004,13,,gfi,-9,384,130,-9,-9,2,1,819,125,98,6
50004,14,,gfi,-9,425,130,317,209,2,1,1479,129,98,6
50004,15,,gfi,-9,470,130,-9,-9,1,1,450,146,98,6
50004,16,,gfi,-9,467,130,-9,-9,2,1,1318,156,98,6
50004,17,,gfi,-9,480,130,-9,-9,2,1,1547,157,98,6
50004,18,,gfi,-9,310,130,-9,-9,3,1,952,173,98,6
50004,19,,gfi,-9,376,130,-9,-9,2,1,1508,181,98,6
50004,20,,gfi,-9,320,130,-9,-9,2,1,1755,194,98,6
50004,21,,gfi,-9,300,130,-9,-9,2,1,810,200,98,6
50004,22,,gfi,-9,375,130,322,176,2,1,213,201,98,6
50004,23,,gfi,-9,360,130,-9,-9,2,1,1441,219,98,6
50004,24,,gfi,-9,369,150,-9,-9,2,1,1339,238,98,6
50004,25,,gfi,-9,465,130,-9,-9,1,1,555,251,98,6
50004,26,,gfi,-9,364,130,-9,-9,2,1,1330,256,98,6
50004,27,,gfi,-9,564,130,342,193,1,1,1728,273,98,6
50004,28,,gfi,-9,412,130,-9,-9,2,1,424,297,98,6
50004,29,,gfi,-9,539,130,324,175,1,1,1406,299,98,6
50004,30,,gfi,-9,368,130,-9,-9,2,1,1760,307,98,6
50004,31,,gfi,-9,482,130,-9,-9,2,1,1736,317,98,6
50004,32,,gfi,-9,342,130,-9,-9,3,1,982,327,98,6
50004,33,,gfi,-9,440,130,-9,-9,2,1,1760,335,98,6
50004,34,,gfi,-9,419,130,-9,-9,2,1,996,341,98,6
50005,1,,bah,-9,238,130,-9,-9,2,1,212,282,53,6
50005,2,,bah,-9,128,130,-9,-9,4,1,671,294,53,6
50005,3,,bah,-9,202,130,206,132,2,1,1255,298,53,6
50005,4,,sei,-9,435,130,234,74,1,1,1770,306,80,5
50005,5,,bah,-9,154,130,165,116,3,1,681,307,53,6
50005,6,,bah,-9,102,130,-9,-9,4,1,559,313,53,6
50005,7,1,bah,-9,287,130,-9,-9,2,1,398,315,53,6
50005,8,1,bah,-9,243,130,-9,-9,2,1,398,316,53,6
50005,9,,bah,-9,312,130,-9,-9,2,1,1046,327,53,6
50005,10,2,bah,-9,185,130,-9,-9,3,1,791,333,53,6
50005,11,2,bah,-9,145,130,-9,-9,4,1,791,334,53,6
50005,12,3,bah,-9,120,130,-9,-9,4,1,575,355,53,6
50005,13,3,bah,-9,115,130,171,112,4,1,575,356,53,6
50005,14,,bah,-9,309,130,-9,-9,2,1,1127,357,53,6
50005,15,,bah,-9,190,130,-9,-9,3,1,887,361,53,6
50005,16,4,bah,-9,268,130,212,84,2,1,1224,364,53,6
50005,17,4,bah,-9,147,130,-9,-9,4,1,1224,365,53,6
50005,18,,bah,-9,221,130,-9,-9,4,1,1053,366,53,6
50005,19,,bah,-9,188,130,-9,-9,2,1,927,382,53,6
50005,20,,bah,-9,146,130,-9,-9,4,1,433,390,53,6
50005,21,,bah,-9,252,130,-9,-9,2,1,1219,5,53,6
50005,22,,bah,-9,130,130,-9,-9,4,1,732,7,53,6
50005,23,,bah,-9,303,130,-9,-9,1,1,415,12,53,6
50005,24,,bah,-9,150,130,-9,-9,4,1,275,14,53,6
50005,25,,bah,-9,337,130,239,110,2,1,1756,14,53,6
50005,26,,bah,-9,208,130,-9,-9,2,1,997,23,53,6
50005,27,,bah,-9,155,130,-9,-9,4,1,1050,32,53,6
50005,28,,bah,-9,322,130,-9,-9,2,1,1678,48,53,6
50005,29,,bah,-9,111,130,-9,-9,4,1,750,44,53,6
50005,30,5,bah,-9,241,140,-9,-9,2,1,1099,52,53,6
50005,31,5,bah,-9,280,130,-9,-9,2,1,1099,53,53,6
50005,32,,bah,-9,245,130,-9,-9,2,1,1136,64,53,6
50005,33,,bah,-9,222,130,-9,-9,2,1,866,76,53,6
50005,34,,bah,-9,144,130,-9,-9,4,1,844,91,53,6
50005,35,,bah,-9,156,130,-9,-9,3,1,1121,93,53,6
50005,36,,bah,-9,137,130,-9,-9,4,1,1113,102,53,6
50005,37,6,bah,-9,155,130,-9,-9,3,1,371,105,53,6
50005,38,6,bah,-9,250,130,-9,-9,3,1,371,106,53,6
50005,39,,bah,-9,182,130,-9,-9,3,1,512,106,53,6
50005,40,,bah,-9,125,130,-9,-9,4,1,857,110,53,6
50005,41,,bah,-9,105,130,-9,-9,4,1,642,140,53,6
50005,42,,bah,-9,269,130,-9,-9,2,1,841,140,53,6
50005,43,,bah,-9,156,130,-9,-9,3,1,769,167,53,6
50005,44,,bah,-9,372,130,247,85,2,1,1111,168,53,6
50005,45,,bah,-9,128,130,-9,-9,4,1,1237,179,53,6
50005,46,,bah,-9,190,130,-9,-9,3,1,538,189,53,6
50005,47,,bah,-9,365,130,-9,-9,1,1,697,191,53,6
50005,48,,bah,-9,201,130,-9,-9,3,1,1022,192,53,6
50005,49,,bah,-9,165,130,-9,-9,3,1,1174,195,53,6
50005,50,,bah,-9,297,130,-9,-9,2,1,1188,209,53,6
50005,51,,bah,-9,182,130,-9,-9,3,1,1058,212,53,6
50005,52,,bah,-9,249,130,-9,-9,2,1,730,220,53,6
50005,53,,bah,-9,119,140,-9,-9,4,1,596,222,53,6
50005,54,,bah,-9,243,130,-9,-9,2,1,1245,218,53,6
50005,55,,bah,-9,228,130,-9,-9,2,1,1076,222,53,6
50005,56,,bah,-9,315,130,-9,-9,2,1,1472,227,53,6
50005,57,,bah,-9,205,130,-9,-9,3,1,1067,239,53,6
50005,58,,bah,-9,144,130,-9,-9,4,1,320,247,53,6
50005,59,,bah,-9,160,130,-9,-9,4,1,854,255,53,6
50005,60,,bah,-9,315,130,-9,-9,2,1,978,262,53,6
50005,61,,bah,-9,178,130,-9,-9,2,1,1086,262,53,6
50006,1,1,hbu,-9,227,130,164,28,3,1,245,176,68,6
50006,2,1,hbu,-9,129,130,138,56,3,1,245,177,68,6
50006,3,1,hbu,-9,94,130,132,60,4,1,250,177,68,6
50006,4,1,hbu,-9,93,130,125,60,4,1,250,178,68,6
50006,5,2,rei,-9,426,140,269,150,1,1,574,178,68,6
50006,6,2,rei,-9,434,140,-9,-9,1,1,574,179,68,6
50006,7,3,rei,-9,396,130,247,145,1,1,395,202,68,6
50006,8,3,rei,-9,511,130,282,127,1,1,405,202,68,6
50006,9,3,rei,-9,440,130,-9,-9,1,1,395,204,68,6
50006,10,,rbu,-9,245,130,123,95,4,1,945,203,68,6
50006,11,,rei,-9,173,130,-9,-9,2,1,1173,207,68,6
50006,12,,rbu,-9,320,130,147,76,4,1,1677,210,68,6
