bund_nr,ort,lfd_nr,schicht,deckung_bze2,deckung,art,frequenz_epi,anz_flechten
50001,z,1,bs,25.0,-9.0,026.007.007,,
50001,z,2,ks,95.0,-9.0,015.001.001,,
50001,z,3,ks,1.0,-9.0,019.003.009,,
50001,z,4,ks,1.0,-9.0,080.009.076,,
50001,z,5,ks,1.0,-9.0,144.005.132,,
50001,z,6,ks,1.0,-9.0,189.001.012,,
50001,z,7,ks,1.0,-9.0,193.083.004,,
50001,z,8,ks,1.0,-9.0,080.009.007,,
50001,z,9,ks,1.0,-9.0,019.003.017,,
50001,z,10,ms,1.0,-9.0,315.004.006,,
50002,z,1,bs,65.0,-9.0,026.007.007,,
50002,z,2,ks,1.0,-9.0,026.007.007,,
50002,z,3,ks,1.0,-9.0,034.001.001,,
50002,z,4,ks,1.0,-9.0,132.003.001,,
50002,z,5,ks,1.0,-9.0,132.018.006,,
50002,z,6,ks,1.0,-9.0,144.005.118,,
50002,z,7,ks,70.0,-9.0,193.113.001,,
50002,z,8,ks,1.0,-9.0,193.074.005,,
50002,z,9,ms,25.0,-9.0,357.005.003,,
50002,z,10,ms,1.0,-9.0,334.008.004,,
50002,z,11,ms,1.0,-9.0,334.004.006,,
50003,z,1,bs,1.0,-9.0,026.004.001,,
50003,z,2,ks,5.0,-9.0,193.074.005,,
50003,z,3,ks,5.0,-9.0,193.083.001,,
50003,z,4,ks,1.0,-9.0,189.001.012,,
50003,z,5,ks,10.0,-9.0,019.003.009,,
50003,z,6,ks,1.0,-9.0,164.006.017,,
50003,z,7,ks,1.0,-9.0,189.002.022,,
50003,z,8,ks,1.0,-9.0,018.001.001,,
50003,z,9,ks,1.0,-9.0,132.018.006,,
50003,z,10,ks,1.0,-9.0,123.005.001,,
50003,z,11,ks,1.0,-9.0,080.009.076,,
50003,z,12,ks,1.0,-9.0,080.009.007,,
50003,z,13,ks,1.0,-9.0,026.002.001,,
50003,z,14,ms,2.0,-9.0,357.005.021,,
50003,z,15,ms,2.0,-9.0,374.003.004,,
50003,z,16,ms,1.0,-9.0,334.011.017,,
50003,z,17,ss,20.0,-9.0,080.028.002,,
50003,z,18,ss,40.0,-9.0,026.002.001,,
50003,z,19,ss,1.0,-9.0,036.004.014,,
50003,z,20,ss,1.0,-9.0,164.001.002,,
50004,z,1,bs,30.0,-9.0,026.004.001,,
50004,z,2,ks,1.0,-9.0,080.009.076,,
50004,z,3,ks,1.0,-9.0,080.028.002,,
50004,z,4,ks,1.0,-9.0,132.003.001,,
50004,z,5,ks,20.0,-9.0,132.018.006,,
50004,z,6,ks,1.0,-9.0,193.074.005,,
50004,z,7,ks,1.0,-9.0,193.113.001,,
50004,z,8,ks,1.0,-9.0,018.001.001,,
50004,z,9,ks,1.0,-9.0,019.003.009,,
50004,z,10,ks,1.0,-9.0,080.009.007,,
50004,z,11,ks,1.0,-9.0,026.004.001,,
50004,z,12,ms,6.0,-9.0,374.003.004,,
50004,z,13,ms,1.0,-9.0,334.008.004,,
50004,z,14,ms,1.0,-9.0,334.011.017,,
50004,z,15,ms,1.0,-9.0,334.013.001,,
50004,z,16,ms,2.0,-9.0,357.005.999,,
