id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,,2020-04-01
-1,nicht erhoben,Merkmal nicht erhoben,2005-12-31,
ah,Ah,Ahorn,1986-12-31,
sah,SAh,Spitz-Ahorn,1986-12-31,
bah,BAh,Berg-Ahorn,1986-12-31,
er,Er,Erle,1986-12-31,
ser,SEr,Schwarz-Erle,1986-12-31,
wer,WEr,Grau-Erle,1989-12-31,
bi,Bi,Birke,1986-12-31,
sbi,SBi,Sand-Birke,1986-12-31,
mbi,MBi,Moor-Birke,1986-12-31,
hbu,HBu,Hainbuche,1986-12-31,
eka,EKa,Edel-Kastanie,1986-12-31,
rbu,RBu,Rot-Buche,1986-12-31,
ges,GEs,Gewoehnliche Esche,1986-12-31,
kir,Kir,Vogel-Kirsche,1986-12-31,
pa,Pa,Pappel,1986-12-31,
eis,Eis,Eiche,,1899-12-31
tei,TEi,Trauben-Eiche,1986-12-31,
sei,SEi,Stiel-Eiche,1986-12-31,
rei,REi,Rot-Eiche,1986-12-31,
rob,Rob,Robinie,1989-12-31,
wei,Wei,Weide,1991-12-31,
vbe,Vbe,Vogelbeere,1986-12-31,
li,Li,Linde,1986-12-31,
wli,WLi,Winter-Linde,1986-12-31,
sli,SLi,Sommer-Linde,1986-12-31,
ul,Ul,Ulme,1986-12-31,
as,As,Aspe/Zitterpappel,1986-12-31,
bpa,BPa,Balsampappel,,
bul,BUl,Bergulme,1988-12-31,
bwe,BWe,Bruchweide,2008-12-31,
els,Els,Elsbeere,1986-12-31,
es,Es,Esche,,2014-12-31
fah,FAh,Feldahorn,1989-12-31,
ful,FUl,Feldulme,,
flu,FLu,Flatterulme,2014-12-31,
gpa,GPa,Graupappel,,
ger,GEr,Gruenerle,2005-12-31,
hi,Hi,Hickory,,
hbi,HBi,Hybridbirke,,
jbi,JBi,Japanbirke,,
me,Me,Mehlbeere,1986-12-31,
mi,Mi,Mispel,,
nu,Nu,Walnussbaum,2004-12-31,
pl,Pl,Platane,,
rka,RKa,Rosskastanie,2015-12-31,
swe,SWe,Salweide,1986-12-31,
snu,SNu,Schwarznuss,,
spa,SPa,Schwarzpappel,1989-12-31,
sp,Sp,Speierling,2005-12-31,
spi,SPi,Spirke,2005-12-31,
sue,SuE,Sumpfeiche,,
ftk,FTk,Fruehbl. Traubenkirsche,2009-12-31,
stk,STk,Spaetbl. Traubenkirsche,1991-12-31,
tu,Tu,Tulpenbaum,,
wes,WEs,Weißesche,,
wap,WAp,Wildapfel,2013-12-31,
wbi,WBi,Wildbirne,,
wzw,WZw,Wildzwetschge,,
zei,ZEi,Zerreiche,2005-12-31,
ash,AsH,Aspenhybriden,,1899-12-31
edl,Edl,Edellaubholz,,
ei,Ei,Eiche,1986-12-31,
wpa,WPa,Weisspappel,,
wwe,WWE,Weißweide,2003-12-31,
wde,WDe,Eingriffeliger Weißdorn,,
wds,WDs,Weißdorn,,1899-12-31
hpa,HPa,Hybrid Pappel,2005-12-31,
slb,sLb,sonstige Laubbaeume,1986-12-31,
ta,Ta,Tanne,2004-12-31,
wta,WTa,Weiß-Tanne,1986-12-31,
kta,KTa,Kuesten-Tanne,2004-12-31,
lae,Lae,Laerche,1986-12-31,
ela,ELa,Europaeische Laerche,1986-12-31,
