bund_nr,pk_nr,pk_richtung,pk_dist,pk_aufnahme,pk_maxdist
130010,1,N,1600,2,500
130010,2,O,1600,1,300
130010,3,S,1600,1,500
130010,4,W,1600,1,480
130013,1,N,1600,1,499
130013,2,O,1600,1,493
130013,3,S,1600,1,461
130013,4,W,1600,1,229
130014,1,N,1600,1,305
130014,2,O,1600,1,477
130014,3,S,1600,1,474
130014,4,W,1600,1,500
130017,1,N,1600,1,300
130017,2,O,1600,1,488
130017,3,S,1600,1,200
130017,4,W,1600,1,487
130022,1,N,1600,1,415
130022,2,O,1600,1,301
130022,3,S,1600,1,390
130022,4,W,1600,1,470
130023,1,N,1600,1,305
130023,2,O,1600,1,350
130023,3,S,1600,1,370
130023,4,W,1600,1,430
130026,1,N,1600,1,484
130026,2,O,1600,1,333
130026,3,S,1600,1,247
130026,4,W,1600,2,500
130027,1,N,1600,1,480
130027,2,O,1600,2,500
130027,3,S,1600,1,224
130027,4,W,1600,1,51
130028,1,N,1600,1,471
130028,2,O,1600,1,450
130028,3,S,1600,1,420
130028,4,W,1600,1,480
130029,1,N,1600,1,470
130029,2,O,1600,1,470
130029,3,S,1600,1,490
130029,4,W,1600,1,480
130032,1,N,1600,1,470
130032,2,O,1600,2,500
130032,3,S,1600,2,500
130032,4,W,1600,2,500
130033,1,N,1600,1,440
130033,2,O,1600,1,410
130033,3,S,1600,1,230
130033,4,W,1600,1,300
130036,1,N,1600,1,452
130036,2,O,1600,1,265
130036,3,S,1600,2,500
130036,4,W,1600,2,500
130037,1,N,1600,2,500
130037,2,O,1600,1,380
130037,3,S,1600,1,458
130037,4,W,1600,1,420
130039,1,N,1600,1,212
130039,2,O,1600,1,174
130039,3,S,1600,1,315
130039,4,W,1600,1,183
130042,1,N,1600,1,100
130042,2,O,1600,1,150
130042,3,S,1600,1,400
130042,4,W,1600,1,350
130044,1,N,1600,1,433
130044,2,O,1600,1,477
130044,3,S,1600,1,499
130044,4,W,1600,1,346
130046,1,N,1600,1,100
130046,2,O,1600,1,440
130046,3,S,1600,2,500
130046,4,W,1600,1,470
130047,1,N,1600,1,200
130047,2,O,1600,1,265
130047,3,S,1600,1,150
130047,4,W,1600,1,150
130048,1,N,1600,1,474
130048,2,O,1600,1,415
130048,3,S,1600,1,217
130048,4,W,1600,1,395
130050,1,N,1600,1,200
130050,2,O,1600,1,480
130050,3,S,1600,1,270
130050,4,W,1600,1,205
130051,1,N,1600,1,300
130051,2,O,1600,1,150
130051,3,S,1600,1,400
130051,4,W,1600,1,350
130052,1,N,1600,1,500
130052,2,O,1600,1,463
130052,3,S,1600,1,415
130052,4,W,1600,1,453
130056,1,N,1600,1,390
130056,2,O,1600,2,500
130056,3,S,1600,2,500
130056,4,W,1600,1,480
130057,1,N,1600,2,500
130057,2,O,1600,2,500
130057,3,S,1600,2,500
130057,4,W,1600,2,500
130059,1,N,1600,1,451
130059,2,O,1600,1,398
130059,3,S,1600,1,393
130059,4,W,1600,1,482
130060,1,N,1600,2,500
130060,2,O,1600,2,500
130060,3,S,1600,2,500
130060,4,W,1600,2,500
130061,1,N,1600,1,497
130061,2,O,1600,1,428
130061,3,S,1600,1,329
130061,4,W,1600,1,242
130064,1,N,1600,1,400
130064,2,O,1600,1,279
130064,3,S,1600,1,265
130064,4,W,1600,1,393
130068,1,N,1600,2,-2
130068,2,O,1600,2,-2
130068,3,S,1600,2,-2
130068,4,W,1600,2,-2
130069,1,N,1600,2,-2
130069,2,O,1600,1,500
130069,3,S,1600,1,500
130069,4,W,1600,1,500
130070,1,N,1600,1,477
130070,2,O,1600,1,492
130070,3,S,1600,1,492
130070,4,W,1600,1,474
130071,1,N,1600,1,453
130071,2,O,1600,1,493
130071,3,S,1600,1,434
130071,4,W,1600,1,431
130072,1,N,1600,1,104
130072,2,O,1600,1,37
130072,3,S,1600,1,70
130072,4,W,1600,1,56
130073,1,N,1600,1,287
130073,2,O,1600,1,384
130073,3,S,1600,1,500
130073,4,W,1600,1,150
130074,1,N,1600,1,307
130074,2,O,1600,1,317
130074,3,S,1600,1,242
130074,4,W,1600,1,409
130075,1,N,1600,2,-2
130075,2,O,1600,1,478
130075,3,S,1600,1,437
130075,4,W,1600,2,-2
130076,1,N,1600,1,481
130076,2,O,1600,1,439
130076,3,S,1600,1,397
130076,4,W,1600,1,475
130077,1,N,1600,1,493
130077,2,O,1600,1,433
130077,3,S,1600,1,498
130077,4,W,1600,1,452
130078,1,N,1600,1,412
130078,2,O,1600,1,256
130078,3,S,1600,1,346
130078,4,W,1600,1,349
130079,1,N,1600,1,491
130079,2,O,1600,1,214
130079,3,S,1600,1,226
130079,4,W,1600,1,373
130080,1,N,1600,1,360
130080,2,O,1600,1,402
130080,3,S,1600,1,219
130080,4,W,1600,1,336
130081,1,N,1600,1,127
130081,2,O,1600,1,128
130081,3,S,1600,1,162
130081,4,W,1600,1,159
130082,1,N,1600,1,273
130082,2,O,1600,1,500
130082,3,S,1600,1,500
130082,4,W,1600,1,462
130083,1,N,1600,1,428
130083,2,O,1600,1,406
130083,3,S,1600,1,276
130083,4,W,1600,1,466
130084,1,N,1600,1,340
130084,2,O,1600,1,202
130084,3,S,1600,1,169
130084,4,W,1600,1,147
130088,1,N,1600,1,360
130088,2,O,1600,1,483
130088,3,S,1600,1,460
130088,4,W,1600,1,401
