bund_nr,ort,lfd_nr,gewicht,laenge,durchmesser
140052,1,1,-9,9,5
140052,2,1,-9,1,2
140042,1,1,-9,3,4
140044,2,1,-9,10,6
140044,3,1,-9,5,6
140044,3,2,-9,6,3
140044,3,3,-9,4,4
140044,3,4,-9,5,3
140044,3,5,-9,5,3
140044,3,6,-9,2,2
140045,2,1,-9,9,3
140045,2,2,-9,10,2
140045,2,3,-9,11,3
140045,2,4,-9,10,3
140045,2,5,-9,1,4
140045,2,6,-9,3,4
140045,2,7,-9,4,3
140047,1,1,-9,7,3
140047,3,1,-9,6,2
140047,3,2,-9,3,3
140047,3,3,-9,4,2
140049,1,1,-9,4,3
140049,2,1,-9,3,2
140049,2,2,-9,4,3
140050,1,1,-9,2,9
140050,1,2,-9,2,2
140050,3,1,-9,2,2
140315,2,1,-9,3,2
140315,3,1,-9,10,2
140315,3,2,-9,5,3
140315,3,3,-9,3,2
140053,1,1,-9,3,2
140058,1,1,-9,4,5
140058,2,1,-9,6,3
140058,2,2,-9,3,2
140058,3,1,-9,6,2
140058,3,2,-9,3,3
140058,3,3,-9,1,3
140058,3,4,-9,4,3
140058,3,5,-9,6,2
140058,3,6,-9,3,2
140054,2,1,-9,10,2
140054,3,1,-9,1,3
140054,3,2,-9,2,3
140056,2,1,-9,5,3
140056,2,2,-9,4,2
140056,2,3,-9,7,3
140252,1,1,-9,1,2
140046,1,1,-9,11,2
140046,1,2,-9,5,3
140046,1,3,-9,4,4
140046,1,4,-9,7,2
140046,1,5,-9,8,5
140046,1,6,-9,3,2
140046,1,7,-9,7,3
140046,2,1,-9,3,2
140046,2,2,-9,3,2
140046,2,3,-9,4,3
140046,2,4,-9,3,2
140046,2,5,-9,4,2
140046,2,6,-9,4,2
140046,3,1,-9,5,2
140046,3,2,-9,9,3
140043,2,1,-9,7,6
140043,2,2,-9,10,4
140043,2,3,-9,10,2
140055,1,1,-9,10,2
140055,1,2,-9,10,2
140055,1,3,-9,10,3
140055,1,4,-9,9,2
140055,2,1,-9,10,8
140055,2,2,-9,3,2
140055,2,3,-9,2,2
140055,2,4,-9,1,2
140055,2,5,-9,4,3
140055,3,1,-9,7,3
140055,3,2,-9,5,4
140055,3,3,-9,3,4
140055,3,4,-9,7,3
140055,3,5,-9,1,4
140055,3,6,-9,2,2
140055,3,7,-9,6,5
140055,3,8,-9,8,3
140055,3,9,-9,6,5
140055,3,10,-9,6,4
140055,3,11,-9,4,4
140055,3,12,-9,7,3
140055,3,13,-9,8,2
140055,3,14,-9,9,4
140055,3,15,-9,6,3
140055,3,16,-9,7,3
140055,3,17,-9,4,4
140055,3,18,-9,4,2
140055,3,19,-9,8,4
140055,3,20,-9,7,4
140038,3,1,-9,4,2
140057,1,1,-9,3,3
140068,1,1,-9,1,7
140068,1,2,-9,8,6
140068,3,1,-9,2,2
140254,1,1,-9,1,7
140254,1,2,-9,2,4
140254,2,1,-9,10,4
140254,2,2,-9,2,3
140254,2,3,-9,3,3
140059,1,1,-9,11,7
140059,1,2,-9,10,4
140059,2,1,-9,10,3
140064,2,1,-9,3,3
140064,2,2,-9,4,3
140062,1,1,-9,10,3
140062,1,2,-9,6,2
140062,3,1,-9,11,9
140062,3,2,-9,6,3
140060,1,1,-9,10,2
140061,2,1,-9,7,2
140061,2,2,-9,2,4
140067,2,1,-9,2,3
140067,3,1,-9,5,3
140067,3,2,-9,3,2
140067,3,3,-9,2,3
