bund_nr,datum,ort,b1,b2,ss,ks,ms,bos,ls
140001,2006-05-23,z,25.0,5.0,25.0,80.0,1.0,-9.0,-9.0
140001,2006-09-13,z,-9.0,-9.0,30.0,85.0,-9.0,-9.0,-9.0
140002,2006-05-23,z,40.0,5.0,0.5,35.0,5.0,-9.0,-9.0
140002,2006-09-13,z,-9.0,-9.0,-9.0,20.0,-9.0,-9.0,-9.0
140003,2006-05-23,z,70.0,0.0,2.0,15.0,8.0,-9.0,-9.0
140004,2006-06-27,z,80.0,0.0,0.0,2.0,2.0,-9.0,-9.0
140005,2006-06-27,z,60.0,1.0,3.0,30.0,5.0,-9.0,-9.0
140006,2006-06-20,z,20.0,2.0,0.0,5.0,70.0,-9.0,-9.0
140006,2008-07-16,z,40.0,0.5,0.5,10.0,90.0,-9.0,-9.0
140007,2006-06-20,z,25.0,30.0,10.0,15.0,1.0,-9.0,-9.0
140008,2006-06-20,z,25.0,0.5,0.1,15.0,65.0,-9.0,-9.0
140009,2006-06-10,z,40.0,5.0,15.0,50.0,30.0,-9.0,-9.0
140010,2006-06-10,z,10.0,20.0,20.0,40.0,0.001,-9.0,-9.0
140011,2006-06-10,z,25.0,30.0,4.0,60.0,0.5,-9.0,-9.0
140012,2006-06-27,z,15.0,2.0,10.0,80.0,15.0,-9.0,-9.0
140013,2006-06-22,z,15.0,2.0,0.0,20.0,15.0,-9.0,-9.0
140014,2006-06-22,z,15.0,0.0,0.01,10.0,15.0,-9.0,-9.0
140015,2006-06-22,z,25.0,1.0,15.0,45.0,80.0,-9.0,-9.0
140016,2006-06-29,z,60.0,30.0,5.0,1.0,1.0,-9.0,-9.0
140017,2006-07-03,z,70.0,5.0,1.0,20.0,15.0,-9.0,-9.0
140018,2006-07-03,z,60.0,10.0,5.0,65.0,1.0,-9.0,-9.0
140018,2008-07-17,z,70.0,3.0,0.5,75.0,1.0,-9.0,-9.0
140019,2006-07-03,z,50.0,10.0,15.0,20.0,0.01,-9.0,-9.0
