bund_nr;alter;bhd_hoehe;alter_methode;hoehe;kransatz;kraft;lfd_nr;schi;baumkennzahl;bart;zwiesel;bhd;hori;d_mess;azi
140040;126;130;1;305;156;2;1;1;1;gfi;;;342;575;93
140040;126;130;1;;;2;3;1;1;gfi;;;1660;553;101
140039;110;130;1;;;2;11;1;7;gfi;;;282;400;151
140039;110;130;1;;;2;12;1;7;gfi;;;941;417;154
140039;110;130;1;;;2;14;1;7;gfi;;;1031;396;171
140039;110;130;1;;;2;16;1;7;gfi;;;932;403;240
140039;110;130;1;;;2;18;1;7;gfi;;;1714;401;299
140039;110;130;1;;;2;19;1;7;gfi;;;1168;318;297
140039;110;130;1;;;2;20;1;7;gfi;;;944;303;291
140039;110;130;1;;;2;21;1;7;gfi;;;815;291;319
140039;110;130;1;;;2;22;1;7;gfi;;;1444;355;324
140039;110;130;1;;;2;23;1;7;gfi;;;1226;335;339
140039;110;130;1;;;2;24;1;7;gfi;;;1336;418;374
140039;110;130;1;;;2;28;1;7;gfi;;;1471;384;5
140039;110;130;1;;;2;29;1;7;gfi;;;1772;468;390
140039;110;130;1;;;2;3;1;7;gfi;;;1323;389;25
140039;110;130;1;;;2;30;1;7;gfi;;;1772;479;148
140039;110;130;1;;;2;41;1;0;gfi;;;1770;338;314
140039;110;130;1;;;2;46;1;0;gfi;;;1460;344;126
140039;110;130;1;;;2;48;1;0;gfi;;;1070;439;158
140039;110;130;1;;;2;5;1;7;gfi;;;1360;350;71
140039;110;130;1;;;2;7;1;7;gfi;;;697;416;86
140039;110;130;1;;;2;8;1;7;gfi;;;1436;442;116
140039;110;130;1;;;2;9;1;7;gfi;;;1318;319;132
140039;110;130;1;;;3;25;1;7;gfi;;;921;234;365
140039;110;130;1;;;3;27;1;7;gfi;;;1106;205;399
140039;110;130;1;;;3;4;1;7;gfi;;;1089;287;65
140039;110;130;1;;;3;6;1;7;gfi;;;1151;249;105
140039;110;130;1;201;138;3;1;1;7;gfi;;;266;229;372
140039;110;130;1;225;130;3;34;1;0;gfi;;;1430;322;275
140039;110;130;1;250;140;2;39;1;0;gfi;;;670;322;325
140039;110;130;1;250;148;2;38;1;0;gfi;;;1010;347;297
140039;110;130;1;256;132;2;42;1;0;gfi;;;1100;365;344
140039;110;130;1;256;138;2;36;1;0;gfi;;;787;345;289
140039;110;130;1;262;142;2;35;1;0;gfi;;;1380;329;289
140039;110;130;1;266;182;2;10;1;7;gfi;;;903;280;126
140039;110;130;1;269;204;2;13;1;7;gfi;;;1542;310;168
140039;110;130;1;271;149;2;2;1;7;gfi;;;735;434;10
140039;110;130;1;272;146;2;47;1;0;gfi;;;1030;440;141
140039;110;130;1;274;167;2;15;1;7;gfi;;;368;370;216
140039;110;130;1;275;172;2;17;1;7;gfi;;;1372;463;231
140039;110;130;1;280;128;2;31;1;0;gfi;;;321;402;187
140039;110;130;1;280;130;2;40;1;0;gfi;;;1320;388;327
140039;110;130;1;283;195;2;45;1;0;gfi;;;410;443;125
140039;110;130;1;299;164;1;43;1;0;gfi;;;1780;501;391
140039;110;130;1;305;175;1;32;1;0;gfi;;;1249;530;223
140039;110;130;1;328;185;2;33;1;0;gfi;;;789;443;230
140039;110;140;1;;;2;49;1;0;gfi;;;1590;347;159
140039;110;140;1;;;3;26;1;7;gfi;;;823;208;379
140039;110;150;1;280;140;2;37;1;0;gfi;;;1570;427;298
140039;15;130;5;72;11;0;44;2;0;gfi;;;271;76;39
