bund_nr,pk_nr,pk_richtung,pk_dist,pk_aufnahme,pk_maxdist
140001,1,n,1000,1,-9
140001,2,o,1000,1,-9
140001,3,s,1000,1,-9
140001,4,w,1000,1,-9
140002,1,n,1000,1,-9
140002,2,o,1000,1,-9
140002,3,s,1000,1,-9
140002,4,w,1000,1,-9
140003,1,n,1000,1,-9
140003,2,o,1000,1,-9
140003,3,s,1000,1,-9
140003,4,w,1000,1,-9
140004,1,n,1000,1,-9
140004,2,o,1000,1,-9
140004,3,s,1000,2,-9
140004,4,w,1000,1,-9
140005,1,n,1000,1,-9
140005,2,o,1000,1,-9
140005,3,s,1000,1,-9
140005,4,w,1000,1,-9
140006,1,n,1000,1,-9
140006,2,o,1000,1,-9
140006,3,s,1000,1,-9
140006,4,w,1000,1,-9
140007,1,n,1000,1,-9
140007,2,o,1000,1,-9
140007,3,s,1000,1,-9
140007,4,w,1000,1,-9
140008,1,n,1000,1,-9
140008,2,o,1000,1,-9
140008,3,s,1000,1,-9
140008,4,w,1000,1,-9
140009,1,n,1000,1,-9
140009,2,o,1000,1,-9
140009,3,s,1000,1,-9
140009,4,w,1000,1,-9
140010,1,n,1000,1,-9
140010,2,o,1000,1,-9
140010,3,s,1000,1,-9
140010,4,w,500,1,-9
140011,1,n,1000,3,-9
140011,2,o,1000,3,-9
140011,3,s,1000,3,-9
140011,4,w,1000,3,-9
140012,1,n,1000,1,-9
140012,2,o,1000,1,-9
140012,3,s,1000,1,-9
140012,4,w,1000,1,-9
140013,1,n,1000,1,-9
140013,2,o,1000,1,-9
140013,3,s,1000,1,-9
140013,4,w,1000,1,-9
140014,1,n,1000,1,-9
140014,2,o,1000,1,-9
140014,3,s,1000,1,-9
140014,4,w,1000,1,-9
140015,1,n,1000,1,-9
140015,2,o,1000,1,-9
140015,3,s,1000,1,-9
140015,4,w,1000,1,-9
140016,1,n,1000,1,-9
140016,2,o,1000,1,-9
140016,3,s,1000,1,-9
140016,4,w,1000,1,-9
140017,1,n,1000,1,-9
140017,2,o,1000,1,-9
140017,3,s,1000,1,-9
140017,4,w,1000,1,-9
140018,1,n,1000,1,-9
140018,2,o,1000,1,-9
140018,3,s,1000,1,-9
140018,4,w,1000,1,-9
140019,1,n,1000,1,-9
140019,2,o,1000,1,-9
140019,3,s,1000,1,-9
140019,4,w,1000,1,-9
140020,1,n,1000,1,-9
140020,2,o,1000,1,-9
140020,3,s,1000,1,-9
140020,4,w,1000,1,-9
140021,1,n,1000,1,-9
140021,2,o,1000,1,-9
140021,3,s,1000,1,-9
140021,4,w,1000,1,-9
140022,1,n,1000,1,-9
140022,2,o,1000,1,-9
140022,3,s,1000,1,-9
140022,4,w,1000,1,-9
140023,1,n,1000,1,-9
140023,2,o,1000,1,-9
140023,3,s,1000,1,-9
140023,4,w,1000,2,-9
140024,1,n,1000,1,-9
140024,2,o,1000,1,-9
140024,3,s,1000,1,-9
140024,4,w,1000,1,-9
140025,1,n,1000,2,-9
140025,2,o,1000,1,-9
140025,3,s,1000,1,-9
140025,4,w,1000,1,-9
140026,1,n,1000,1,-9
140026,2,o,1000,1,-9
140026,3,s,1000,1,-9
140026,4,w,1000,1,-9
140027,1,n,1000,1,-9
140027,2,o,1000,1,-9
140027,3,s,1000,1,-9
140027,4,w,1000,1,-9
140028,1,n,1000,1,-9
140028,2,o,1000,1,-9
140028,3,s,1000,1,-9
140028,4,w,1000,1,-9
140029,1,n,1000,1,-9
140029,2,o,1000,1,-9
140029,3,s,1000,1,-9
140029,4,w,1000,1,-9
140030,1,n,1000,1,-9
140030,2,o,1000,1,-9
140030,3,s,130,1,-9
140030,4,w,1000,1,-9
140031,1,n,1000,1,-9
140031,2,o,1000,1,-9
140031,3,s,1000,1,-9
140031,4,w,1000,1,-9
140032,1,n,1000,1,-9
140032,2,o,1000,1,-9
140032,3,s,1000,1,-9
140032,4,w,1000,1,-9
140033,1,n,1000,1,-9
140033,2,o,1000,1,-9
140033,3,s,1000,1,-9
140033,4,w,1000,1,-9
140034,1,n,1000,1,-9
140034,2,o,1000,1,-9
140034,3,s,1000,1,-9
140034,4,w,1000,1,-9
140035,1,n,1000,1,-9
140035,2,o,1000,1,-9
140035,3,s,1000,1,-9
140035,4,w,1000,1,-9
140036,1,n,1000,1,-9
140036,2,o,1000,1,-9
140036,3,s,1000,1,-9
140036,4,w,1000,1,-9
140037,1,n,1000,1,-9
140037,2,o,1000,1,-9
140037,3,s,1000,1,-9
140037,4,w,1000,1,-9
140038,1,n,1000,1,-9
140038,2,o,1000,1,-9
140038,3,s,1000,1,-9
140038,4,w,1000,1,-9
140039,1,n,1000,1,-9
140039,2,o,1000,1,-9
140039,3,s,1000,1,-9
140039,4,w,1000,1,-9
140040,1,n,1000,1,-9
140040,2,o,1000,1,-9
140040,3,s,1000,1,-9
140040,4,w,1000,1,-9
140041,1,n,1000,1,-9
140041,2,o,1000,1,-9
140041,3,s,1000,1,-9
140041,4,w,1000,1,-9
140042,1,n,1000,1,-9
140042,2,o,1000,1,-9
140042,3,s,1000,1,-9
140042,4,w,1000,1,-9
140043,1,n,1000,1,-9
140043,2,o,1000,1,-9
140043,3,s,1000,1,-9
140043,4,w,1000,1,-9
140044,1,n,1000,2,-9
140044,2,o,1000,2,-9
140044,3,s,1000,1,-9
140044,4,w,1000,1,-9
140045,1,n,1000,1,-9
140045,2,o,1000,1,-9
140045,3,s,1000,1,-9
140045,4,w,1000,1,-9
140046,1,n,1000,1,-9
140046,2,o,1000,1,-9
140046,3,s,1000,2,-9
140046,4,w,1000,1,-9
140047,1,n,1000,1,-9
140047,2,o,1000,1,-9
140047,3,s,1000,1,-9
140047,4,w,1000,1,-9
140048,1,n,1000,1,-9
140048,2,o,1000,1,-9
140048,3,s,1000,1,-9
140048,4,w,1000,1,-9
140049,1,n,1000,1,-9
140049,2,o,1000,1,-9
140049,3,s,1000,2,-9
140049,4,w,1000,1,-9
140050,1,n,1000,2,-9
140050,2,o,1000,1,-9
140050,3,s,1000,1,-9
140050,4,w,1000,2,-9
140051,1,n,1000,1,-9
140051,2,o,1000,1,-9
140051,3,s,1000,1,-9
140051,4,w,1000,1,-9
140052,1,n,1000,1,-9
140052,2,o,1000,1,-9
140052,3,s,1000,1,-9
140052,4,w,1000,1,-9
140053,1,n,1000,1,-9
140053,2,o,1000,1,-9
140053,3,s,1000,1,-9
140053,4,w,1000,1,-9
140054,1,n,1000,2,-9
140054,2,o,1000,1,-9
140054,3,s,1000,2,-9
140054,4,w,1000,2,-9
140055,1,n,1000,1,-9
140055,2,o,1000,1,-9
140055,3,s,1000,1,-9
140055,4,w,1000,1,-9
140056,1,n,1000,1,-9
140056,2,o,1000,1,-9
140056,3,s,1000,1,-9
140056,4,w,500,1,-9
140057,1,n,1000,1,-9
140057,2,o,1000,1,-9
140057,3,s,1000,1,-9
140057,4,w,1000,1,-9
140058,1,n,1000,1,-9
140058,2,o,1000,2,-9
140058,3,s,1000,2,-9
140058,4,w,1000,1,-9
140059,1,n,1000,1,-9
140059,2,o,1000,1,-9
140059,3,s,1000,1,-9
140059,4,w,1000,1,-9
140060,1,n,1000,1,-9
140060,2,o,1000,1,-9
140060,3,s,1000,1,-9
140060,4,w,1000,1,-9
140061,1,n,1000,1,-9
140061,2,o,1000,1,-9
140061,3,s,1000,1,-9
140061,4,w,1000,1,-9
140062,1,n,1000,1,-9
140062,2,o,1000,1,-9
140062,3,s,1000,1,-9
140062,4,w,1000,1,-9
140063,1,n,1000,1,-9
140063,2,o,1000,1,-9
140063,3,s,1000,1,-9
140063,4,w,1000,1,-9
140064,1,n,1000,1,-9
140064,2,o,1000,1,-9
140064,3,s,1000,2,-9
140064,4,w,1000,1,-9
140065,1,n,1000,1,-9
140065,2,o,1000,1,-9
140065,3,s,1000,1,-9
140065,4,w,1000,1,-9
140066,1,n,1000,1,-9
140066,2,o,1000,1,-9
140066,3,s,1000,2,-9
140066,4,w,1000,1,-9
140067,1,n,1000,1,-9
140067,2,o,1000,1,-9
140067,3,s,1000,1,-9
140067,4,w,1000,1,-9
140068,1,n,1000,2,-9
140068,2,o,1000,2,-9
140068,3,s,1000,2,-9
140068,4,w,1000,2,-9
140089,1,n,1000,1,-9
140089,2,o,1000,1,-9
140089,3,s,1000,1,-9
140089,4,w,1000,1,-9
140102,1,n,1000,1,-9
140102,2,o,1000,1,-9
140102,3,s,1000,1,-9
140102,4,w,1000,1,-9
140175,1,n,1000,1,-9
140175,2,o,1000,1,-9
140175,3,s,1000,1,-9
140175,4,w,1000,1,-9
140187,1,n,1000,1,-9
140187,2,o,1000,1,-9
140187,3,s,1000,1,-9
140187,4,w,1000,1,-9
140234,1,n,1000,1,-9
140234,2,o,1000,1,-9
140234,3,s,1000,1,-9
140234,4,w,1000,1,-9
140252,1,n,1000,1,-9
