Baumartengruppe;Einheit;1 - 20 Jahre;21 - 40 Jahre;41 - 60 Jahre;1 - 60 Jahre;61 - 80 Jahre;81 - 100 Jahre;101 - 120 Jahre;61 - 120 Jahre;121 - 140 Jahre;141 - 160 Jahre;> 160 Jahre;>120 Jahre;alle Baumaltersklassen;Bemerkung
Eiche;[kg/ha];15007,17791;68913,83483;108646,4503;76964,67463;125962,2886;135125,3683;146086,7093;134933,9624;143619,4986;152491,8644;155497,0116;150564,9229;127861,093;"Kohlenstoffmasse [kg/ha] nach Baumartengruppe und Baumaltersklasse Filter:Jahr=2017 ; ; Basis:Deutschland, bestockter Holzboden, begehbar, ohne Lücken im Hauptbestand bzw. Plenterwald, Bäume ab 20 cm Höhe (jung und alt) im Hauptbestand oder Plenterwald, bestandesintern, Baumvolumen: BDat3.0 (Spline-Funktion, 2013), Raster: 64km²: SH, NI, HE, RP, BW, BY, SL, BE, BB, MV, SN, TH / 16km²: NW / 4 km²: ST (Inventurnetz für CI 2017 (Zustandsrechnungen, terrestrisch)); ideelle Fläche (gemäß Standflächenanteil) (77Z1JI_L668of_2017_bi/2019-2-14 8:9:56.480)"
Buche;[kg/ha];20233,84013;63710,81596;112200,5553;70152,45347;138656,4717;146880,2359;177099,8524;154898,3405;167522,8338;164061,45;156626,4065;163237,029;137163,6713;
andere Lb hoher Lebensdauer;[kg/ha];16674,45902;70289,42925;107702,1862;66337,0859;149579,4197;146337,3494;150298,5247;148742,0137;150386,6977;121812,7836;154183,8523;143191,4616;100952,3806;
andere Lb niedriger Lebensdauer;[kg/ha];11847,32634;46899,80632;66777,42934;43409,59443;72380,71872;74000,51327;77137,98114;73166,95576;130998,6937;77262,01284;19095,92288;116784,6122;52859,46394;
alle Laubbäume;[kg/ha];15249,35721;58627,58715;93085,39057;59047,69318;117559,5505;133822,8992;158946,0123;133760,2838;157315,482;156696,4808;155669,9663;156623,2261;108833,8835;
Fichte;[kg/ha];15246,90517;83278,48197;125438,5323;88870,8573;141156,3614;143298,2434;160540,9152;146864,0363;161603,6315;157524,8386;159000,821;160145,6605;118126,7438;
Tanne;[kg/ha];9101,161329;65776,25425;115767,037;63639,10048;148679,4896;146795,2909;149427,7599;148246,3551;177743,4306;217370,293;178805,3351;186201,4813;128055,9332;
Douglasie;[kg/ha];11385,18823;73568,61491;129411,2485;92196,86672;143971,8532;153363,9148;134363,8819;143715,0687;260936,7555;;;260936,7555;100230,5187;
Kiefer;[kg/ha];15625,52679;73214,78477;85355,55017;75799,57953;97755,11516;104799,1623;109507,034;103009,739;103541,5547;114576,2025;112564,7516;107092,3952;94750,41846;
Lärche;[kg/ha];13649,80828;69270,70642;108393,8904;85667,1394;111138,8807;108856,3745;128662,0286;113174,8664;137957,2319;114488,8012;104162,9664;124095,2404;100262,5418;
alle Nadelbäume;[kg/ha];14593,65269;78219,53741;110394,9972;84315,23015;118563,139;123012,443;133216,9232;123687,9032;127903,6849;136095,814;141895,0147;131830,8089;107086,2337;
alle Baumarten;[kg/ha];14964,49238;69819,41172;104335,5223;73637,58967;118174,4089;127547,8181;143743,6724;127746,3168;143055,3204;150073,5248;152720,8387;147373,2199;107867,3347;
Eiche;SE95 ±;3787,005533;7438,882417;8441,247076;6706,087838;10059,54195;15384,70124;11146,1474;7251,072225;10235,49578;11527,12185;11615,13696;6708,804214;4530,846082;
Buche;SE95 ±;2961,506693;7124,688661;8265,519511;5723,66644;7695,006695;7754,656417;10601,30942;5541,526756;9580,044338;13257,51077;14888,01247;7311,68278;4362,818898;
andere Lb hoher Lebensdauer;SE95 ±;3555,326271;7611,079084;9028,009542;5331,296582;11435,15679;16094,22927;18386,73419;8714,44449;16795,43898;29738,92003;29783,52704;13881,35123;5438,219624;
andere Lb niedriger Lebensdauer;SE95 ±;1757,534089;3595,629853;6019,089857;3047,494844;6198,599714;8479,37841;16528,2803;5103,323047;13100,00169;72512,62623;3402,254062;27282,01916;2942,260216;
alle Laubbäume;SE95 ±;1481,836466;3213,428515;4281,989097;2665,115567;5049,346764;6498,003188;7792,604842;3904,629906;7144,327974;9522,434823;10169,21415;5353,650924;2773,979333;
Fichte;SE95 ±;2162,721088;4889,244161;5186,582576;3989,875657;5856,392459;7360,087908;8654,445883;4332,33342;15456,63902;23680,8249;31093,48622;12755,833;3286,422064;
Tanne;SE95 ±;4141,653596;15108,26804;22492,90094;11875,70763;24715,12212;22386,58749;24135,19362;14753,44861;20307,44701;27994,26486;25652,70062;17139,38204;11531,4266;
Douglasie;SE95 ±;3578,787737;10489,37844;11050,39462;9556,439401;21414,30948;29430,46621;44807,0332;17572,33094;76420,05866;;;76420,05866;8860,541704;
Kiefer;SE95 ±;4456,682828;4137,62013;4138,744164;3343,934836;4137,689895;5301,770143;5840,344127;3022,808435;6858,683543;11050,9896;20263,34543;5921,224353;2361,519753;
Lärche;SE95 ±;6766,201023;13320,48532;11007,97009;9481,053295;8133,454611;13502,22672;14979,42364;6502,342174;24217,0825;33499,26345;49278,58166;19979,11032;5714,012486;
alle Nadelbäume;SE95 ±;1762,079585;3268,393366;3582,599132;2711,264575;3777,171428;4757,789875;5621,723;2842,388066;7948,913792;12397,5366;18922,23289;6771,958955;2111,330183;
alle Baumarten;SE95 ±;1155,511567;2427,291099;2873,671972;2103,848084;3126,470441;4029,167735;4892,858518;2427,151769;5731,740358;7878,348325;9279,264167;4393,571151;1823,484678;
;;;;;;;;;;;;;;;
