Zielmerkmale;Einheit;Eiche;Buche;andere Lb hoher Lebensdauer;andere Lb niedriger Lebensdauer;alle Laubbäume;Fichte;Tanne;Douglasie;Kiefer;Lärche;alle Nadelbäume;alle Baumarten
absorbiertes Kohlendioxid [kg/ha];[kg/ha];494789,45;529631,0575;405705,0669;171229,7272;412808,0103;397786,4556;130297,2214;247507,5489;372890,7901;354353,94;379267,8491;398935,0556
absorbiertes Kohlendioxid [kg];[1000 kg];73549726,69;85155890,88;27228016,08;21613268,78;207546902,6;99243000,39;677390,7102;4203400,442;19695771,97;10686071,34;134505634,8;342052537,4
Anteil an der Holzbodenfläche [%];[%];16,92854773;18,31050501;7,643013678;14,37475195;57,25681822;28,4124683;0,592056498;1,934066427;6,01520483;3,434312996;40,38810901;97,64492716
Biomasse [kg/ha];[kg/ha];270067,5688;289084,9271;221443,2443;93461,16035;225320,1958;217121,0823;71119,24613;135095,3674;203532,4508;193414,6077;207013,1972;217748,0149
Biomasse [kg];[1000 kg];40145148,35;46480062,23;14861683,3;11797023,86;113283917,9;54169133,6;369735,564;2294313,565;10750409,63;5832705,844;73416298,19;186700215,9
flächengewogenes Alter [a];[a];103,4052469;93,87009119;54,9851254;39,18246562;77,76889923;55,96906057;15,24136989;36,68226637;84,04679226;59,83630646;58,95903979;69,98872395
Grundfläche [m²/ha];[m²/ha];27,59390164;28,64434099;26,14316703;18,08063648;25,34779829;34,4628854;13,3399764;22,84868166;32,7058512;27,92181508;32,77918194;28,42158352
Grundfläche [m²];[m²];4101793,043;4605535,006;1754541,983;2282206,847;12744076,89;8598080,958;69352,02446;388037,2903;1727495,032;842023,9605;11624989,27;24369066,16
Kohlenstoffmasse [kg/ha];[kg/ha];135033,7844;144542,4636;110721,6222;46730,58017;112660,0979;108560,5412;35559,62306;67547,68369;101766,2254;96707,30384;103506,5986;108874,0074
Kohlenstoffmasse [kg];[1000 kg];20072574,17;23240031,11;7430841,651;5898511,932;56641958,94;27084566,8;184867,782;1147156,783;5375204,814;2916352,922;36708149,1;93350107,96
oberirdische Biomasse [kg/ha];[kg/ha];217189,8546;266766,2048;202812,0722;73840,06098;195135,8998;188537,3439;62581,93695;116631,3223;165425,9919;159428,6258;177330,2903;187771,1046
oberirdische Biomasse [kg];[1000 kg];32284953,62;42891581,8;13611292,58;9320373,921;98108201,8;47037830,05;325351,7017;1980740,199;8737659,124;4807807,892;62889388,94;160997590,7
oberirdische Kohlenstoffmasse [kg/ha];[kg/ha];108594,9273;133383,1024;101406,0361;36920,03049;97567,94988;94268,67195;31290,96848;58315,66113;82712,99594;79714,31289;88665,14517;93885,55228
oberirdische Kohlenstoffmasse [kg];[1000 kg];16142476,81;21445790,9;6805646,288;4660186,96;49054100,9;23518915,02;162675,8509;990370,0993;4368829,562;2403903,946;31444694,47;80498795,33
Stammzahl;[-];81079398,24;239074115,5;116453027,2;363703971,1;800310511,7;484103381,3;27896627,21;22062538,57;27820574,55;17244241,36;579127362,7;1379437876
Stammzahl [1/ha];[1/ha];545,4436429;1486,932675;1735,182726;2881,421242;1591,806892;1940,3864;5365,962298;1299,101743;526,7138571;571,8251987;1632,975373;1608,835092
unterirdische Biomasse [kg/ha];[kg/ha];52877,71422;22318,72247;18631,17256;19621,09953;30184,29576;28583,73895;8537,312325;18464,04412;38106,45894;33985,98055;29682,90708;29976,91031
unterirdische Biomasse [kg];[1000 kg];7860194,733;3588480,45;1250390,758;2476649,964;15175715,91;7131303,684;44383,87862;313573,3499;2012750,505;1024897,911;10526909,33;25702625,26
unterirdische Kohlenstoffmasse [kg/ha];[kg/ha];26438,85711;11159,36124;9315,586279;9810,549767;15092,14788;14291,86948;4268,656163;9232,02206;19053,22947;16992,99027;14841,45354;14988,45515
unterirdische Kohlenstoffmasse [kg];[1000 kg];3930097,367;1794240,225;625195,379;1238324,982;7587857,957;3565651,842;22191,93931;156786,6749;1006375,252;512448,9555;5263454,667;12851312,63
Vorrat [m³/ha];[m³/ha];344,0482659;374,5580195;272,8458328;176,0911339;302,133708;395,8977193;127,166565;232,32296;337,8858659;334,1768082;370,2369344;330,3027142
Vorrat [m³];[1000 m³];51142,27056;60222,71802;18311,4566;22226,89405;151903,3393;98771,78308;661,1150174;3945,521812;17846,84187;10077,59985;131302,8616;283206,201
Vorrat (FAO-Definition) [m³/ha];[m³/ha];334,9396848;368,7217303;269,5640221;175,94276;297,098915;383,6283177;125,6933545;228,4421461;326,3474347;321,744115;358,6224826;322,546428
Vorrat (FAO-Definition) [m³];[1000 m³];49788,29333;59284,33951;18091,20499;22208,16574;149372,0035;95710,71298;653,4560734;3879,614268;17237,39183;9702,673456;127183,8485;276555,8519
Waldfläche (gemäß Standflächenanteil) [ha];[ha];148648,5346;160783,4164;67112,83222;126223,8113;502768,5932;249488,1336;5198,811631;16982,91814;52819,14302;30156,49083;354645,497;857414,0895
Zugehörige Holzbodenfläche des Auswertungsgebietes [ha];[ha];878093,839;878093,839;878093,839;878093,839;878093,839;878093,839;878093,839;878093,839;878093,839;878093,839;878093,839;878093,839
