Zielmerkmale;Einheit;stehend, ganzer Baum;stehend, Bruchstück (Höhe ab 130 cm);stehend;liegend, ganzer Baum mit Wurzelanlauf;liegend, Stammstück mit Wurzelanlauf;liegend, Teilstück ohne Wurzelanlauf;liegend;Wurzelstock (Höhe < 130 cm);Abfuhrrest (aufgeschichtet);alle Totholztypen;Bemerkung
Anteil der Fläche mit Totholz an der Gesamtfläche Wald+Nichtwald [%];[%];1,733230656;2,400025364;3,85072572;0,724588757;2,167593199;14,04762304;15,00231016;18,61721746;0,07742727;24,07139415;"alle Zielmerkmale nach Totholztyp Filter:Jahr=2017 ; ; Basis:Deutschland, Holzboden, begehbar, Totholz ab 10 cm am dicken Ende, Stöcke ab 10 cm Höhe o. 10 cm Schnittfläche, bestandesübergreifend, Totholzvolumen: Kegelform ohne Spitze, Raster: 64km²: SH, NI, HE, RP, BW, BY, SL, BE, BB, MV, SN, TH / 16km²: NW / 4 km²: ST (Inventurnetz für CI 2017 (Zustandsrechnungen, terrestrisch)); reeller Flächenbezug (gemäß Trakteckenanteil) (77Z1JI_L200of_2017_ab10cm/2019-2-14 12:31:1.057)"
Totholz-Kohlendioxid [t/ha];[t/ha];1,266002983;1,89002797;3,156030954;0,975042921;1,058926117;3,353310176;5,387279219;2,804945413;0,0434897;11,39174528;
Totholz-Kohlendioxid [t];[t];13697578,63;20449246,25;34146824,88;10549522,6;11457100,77;36281296,67;58287920,11;30348238,41;470538,8494;123253522,2;
Totholz-Kohlenstoff [t/ha];[t/ha];0,345505967;0,515809162;0,861315129;0,266099804;0,288992442;0,915154771;1,470247019;0,76550007;0,011868812;3,108931028;
Totholz-Kohlenstoff [t];[t];3738218,009;5580821,411;9319039,421;2879079,302;3126767,281;9901559,953;15907406,56;8282363,905;128415,1635;33637225,03;
Totholzmasse [t/ha];[t/ha];0,691011934;1,031618324;1,722630258;0,532199607;0,577984885;1,830309542;2,940494038;1,531000141;0,023737623;6,217862056;
Totholzmasse [t];[t];7476436,017;11161642,82;18638078,84;5758158,604;6253534,562;19803119,91;31814813,12;16564727,81;256830,327;67274450,06;
Totholzvorrat [m³/ha];[m³/ha];1,893714997;3,383740863;5,277455865;1,548916796;2,090866163;6,99830604;10,638089;6,181121014;0,080580961;22,17724684;
Totholzvorrat [m³];[1000 m³];20489,13821;36610,54292;57099,68118;16758,5779;22622,22448;75718,50034;115099,3027;66876,92863;871,8494806;239947,762;
Waldfläche mit Totholz [ha];[ha];619123,5096;857307,7801;1375509,263;258828,7557;774281,198;5017920,521;5358942,209;6650215,291;27657,62485;8598489,747;
Zugehörige Fläche des Auswertungsgebietes [ha];[ha];10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;10819546,89;
Anteil der Fläche mit Totholz an der Gesamtfläche Wald+Nichtwald [%];SE95 ±;0,001772596;0,002141344;0,002755227;0,001086623;0,002036544;0,006021715;0,006229814;0,00739954;0,000338901;0,008436445;
Totholz-Kohlendioxid [t/ha];SE95 ±;0,228235055;0,347840828;0,437157704;0,403719322;0,248348516;0,30766222;0,632754025;0,155168606;0,036059105;0,843422544;
Totholz-Kohlendioxid [t];SE95 ±;2504211,662;3813989,924;4841713,9;4382841,965;2711912,848;3536532,336;7110505,326;1959311,954;390463,0721;9956547,074;
Totholz-Kohlenstoff [t/ha];SE95 ±;0,062287826;0,094929539;0,119305085;0,110179388;0,06777701;0,083964362;0,172685448;0,042347198;0,009840921;0,230179174;
Totholz-Kohlenstoff [t];SE95 ±;683426,5658;1040879,266;1321356,308;1196125,181;740110,4931;965158,0871;1940534,158;534717,5149;106561,6121;2717249,853;
Totholzmasse [t/ha];SE95 ±;0,124575652;0,189859078;0,23861017;0,220358777;0,135554019;0,167928723;0,345370897;0,084694396;0,019681843;0,460358348;
Totholzmasse [t];SE95 ±;1366853,132;2081758,532;2642712,616;2392250,363;1480220,986;1930316,174;3881068,315;1069435,03;213123,2241;5434499,705;
Totholzvorrat [m³/ha];SE95 ±;0,341714704;0,653513519;0,766574534;0,560262953;0,440176019;0,565022975;1,020342831;0,305451478;0,056678314;1,455625554;
Totholzvorrat [m³];SE95 ±;3753121,462;7166289,994;8489610,203;6087527,261;4817107,316;6607614,383;11672244,36;3998856,619;613995,1197;17611506,28;
Waldfläche mit Totholz [ha];SE95 ±;63318,51575;76490,47442;98418,86249;38815,0038;72746,93735;215100,3736;222533,7995;264317,3505;12105,81535;301356,3833;
Zugehörige Fläche des Auswertungsgebietes [ha];SE95 ±;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;343693,2947;
