MoMoK_Nr;Name;Bundeland;Datum_Aufnahme;Nr_PK;BNr;ZW;St;Baumart (Code);Baumart;Schi;Kraft;Alt;Alt-Meth;BHD [mm];BHD Hoehe [cm];Permanent-Maßband;BHD Stufen;Hoehe [dm];Kronenansatz [dm];Distanz [cm];Azimut [Gon];Azimut [°];Bemerkung
33300;Buchenhorst;MV;;;1;;0;511;RER;1;3;;1;160;130;;;128;87;49;2;1;
33300;Buchenhorst;MV;;;2;;0;511;RER;1;2(1);;1;254;130;;;169;73;46;60;54;
33300;Buchenhorst;MV;;;3;;0;511;RER;1;4;;1;129;130;;;105;92;77;92;83;
33300;Buchenhorst;MV;;;4;;0;511;RER;1;4;;1;106;130;;;74;59;124;97;87;
33300;Buchenhorst;MV;;;5;;0;511;RER;1;4;;1;102;130;;;89;81;109;99;89;
33300;Buchenhorst;MV;;;6;;0;511;RER;1;4;;1;82;130;;;60;44;117;100;90;
33300;Buchenhorst;MV;;;7;;0;511;RER;1;3;;1;173;130;;;142;98;106;101;91;
33300;Buchenhorst;MV;;;8;;0;511;RER;1;3;;1;157;130;;;124;100;67;103;93;
33300;Buchenhorst;MV;;;9;;0;511;RER;1;3;;1;143;130;;;116;103;96;116;104;
33300;Buchenhorst;MV;;;10;;0;511;RER;1;4;;1;86;130;;;85;72;114;116;104;
33300;Buchenhorst;MV;;;11;;0;511;RER;1;4;;1;115;130;;;107;96;119;117;105;
33300;Buchenhorst;MV;;;12;;0;511;RER;1;4;;1;81;130;;;83;73;126;124;112;
33300;Buchenhorst;MV;;;13;;0;511;RER;1;2;;1;201;130;;;155;91;106;131;118;
33300;Buchenhorst;MV;;;14;;0;511;RER;1;4;;1;128;130;;;113;103;120;131;118;
33300;Buchenhorst;MV;;;15;1;0;511;RER;1;4;;1;146;130;;;133;100;19;135;122;
33300;Buchenhorst;MV;;;16;1;0;511;RER;1;2;;1;181;130;;;143;89;21;135;122;
33300;Buchenhorst;MV;;;17;;0;511;RER;1;1;;1;257;130;;;177;97;88;135;122;
33300;Buchenhorst;MV;;;18;;0;511;RER;1;4;;1;96;130;;;96;77;100;149;134;
33300;Buchenhorst;MV;;;19;;0;511;RER;1;4;;1;104;130;;;115;98;93;151;136;
33300;Buchenhorst;MV;;;20;;0;511;RER;1;4;;1;101;130;;;102;88;122;156;140;
33300;Buchenhorst;MV;;;21;;0;511;RER;1;1;;1;267;130;;;170;95;97;162;146;
33300;Buchenhorst;MV;;;22;;0;511;RER;1;2;;1;197;130;;;157;121;63;166;149;
33300;Buchenhorst;MV;;;23;;0;511;RER;1;4;;1;109;130;;;103;85;63;176;158;
33300;Buchenhorst;MV;;;24;;0;511;RER;1;4;;1;100;130;;;71;62;111;178;160;
33300;Buchenhorst;MV;;;25;;0;511;RER;1;3;;1;164;130;;;137;106;59;185;167;
33300;Buchenhorst;MV;;;26;;0;511;RER;1;2;;1;232;130;;;166;128;96;190;171;
33300;Buchenhorst;MV;;;27;;0;511;RER;1;4;;1;130;130;;;112;88;75;191;172;
33300;Buchenhorst;MV;;;28;;0;511;RER;1;2;;1;198;130;;;161;126;89;209;188;
33300;Buchenhorst;MV;;;29;;0;511;RER;1;3;;1;155;130;;;135;101;124;213;192;
33300;Buchenhorst;MV;;;30;;0;511;RER;1;1;;1;272;130;;;177;111;113;215;194;
33300;Buchenhorst;MV;;;31;;0;511;RER;1;4;;1;115;130;;;110;98;85;217;195;
33300;Buchenhorst;MV;;;32;;0;511;RER;1;2;;1;230;130;;;169;101;87;227;204;
33300;Buchenhorst;MV;;;33;;0;511;RER;1;2;;1;193;130;;;173;125;119;233;210;
33300;Buchenhorst;MV;;;34;;0;511;RER;1;1;;1;278;130;;;188;121;51;236;212;
33300;Buchenhorst;MV;;;35;;0;511;RER;1;2;;1;196;130;;;161;115;82;236;212;
33300;Buchenhorst;MV;;;36;;0;511;RER;1;4;;1;130;130;;;123;103;109;236;212;
33300;Buchenhorst;MV;;;37;;0;511;RER;1;3;;1;151;130;;;150;128;120;240;216;
33300;Buchenhorst;MV;;;38;;0;511;RER;1;3;;1;161;130;;;160;126;111;249;224;
33300;Buchenhorst;MV;;;39;;0;511;RER;1;3;;1;170;130;;;177;136;98;254;229;
33300;Buchenhorst;MV;;;40;;0;511;RER;1;4;;1;132;130;;;139;102;48;262;236;
33300;Buchenhorst;MV;;;41;;0;511;RER;1;2;;1;244;130;;;173;119;28;276;248;
33300;Buchenhorst;MV;;;42;;0;511;RER;1;3;;1;164;130;;;129;93;67;279;251;
33300;Buchenhorst;MV;;;43;;0;511;RER;1;2;;1;253;130;;;173;109;46;282;254;
33300;Buchenhorst;MV;;;44;;0;511;RER;1;4;;1;127;130;;;102;82;104;282;254;
33300;Buchenhorst;MV;;;45;;0;511;RER;1;2;;1;225;130;;;167;102;81;298;268;
33300;Buchenhorst;MV;;;46;;0;511;RER;1;2;;1;262;130;;;169;77;118;308;277;
33300;Buchenhorst;MV;;;47;;0;511;RER;1;3;;1;155;130;;;144;120;65;311;279;
33300;Buchenhorst;MV;;;48;;0;511;RER;1;4;;1;135;130;;;116;104;118;315;284;
33300;Buchenhorst;MV;;;49;;0;511;RER;1;4;;1;98;130;;;90;83;112;318;286;
33300;Buchenhorst;MV;;;50;;0;511;RER;1;2;;1;207;130;;;164;128;118;331;298;
33300;Buchenhorst;MV;;;51;;0;511;RER;1;2;;1;227;130;;;175;126;87;333;300;
33300;Buchenhorst;MV;;;52;;0;511;RER;1;3;;1;170;130;;;146;109;73;334;301;
33300;Buchenhorst;MV;;;53;;0;511;RER;1;3;;1;177;130;;;146;100;107;335;302;
33300;Buchenhorst;MV;;;54;;0;511;RER;1;2;;1;226;130;;;172;114;39;338;304;
33300;Buchenhorst;MV;;;55;;0;511;RER;1;4;;1;110;130;;;85;72;116;342;308;
33300;Buchenhorst;MV;;;56;;0;511;RER;1;4;;1;129;130;;;103;83;52;346;311;
33300;Buchenhorst;MV;;;57;;0;511;RER;1;4;;1;104;130;;;100;74;114;349;314;
33300;Buchenhorst;MV;;;58;;0;511;RER;1;3;;1;167;130;;;110;105;103;351;316;
33300;Buchenhorst;MV;;;59;;0;511;RER;1;3;;1;156;130;;;93;84;86;365;328;
33300;Buchenhorst;MV;;;60;;0;511;RER;1;3;;1;159;130;;;113;88;57;381;342;
32020;Postluch/Britz;BB;09.02.2022;MB;1;;0;511;RER;1;1;;;375;130;;7;;;168;63;57;
32020;Postluch/Britz;BB;09.02.2022;MB;2;;0;511;RER;1;3;;;340;130;;6;;;700;119;107;
32020;Postluch/Britz;BB;09.02.2022;MB;3;;0;511;RER;1;1;;;404;130;;8;;;1059;108;97;
32020;Postluch/Britz;BB;09.02.2022;MB;4;;0;511;RER;1;1;;;402;130;;8;279;193;1250;131;118;
32020;Postluch/Britz;BB;09.02.2022;MB;5;;0;511;RER;1;2;;;374;130;;7;;;876;189;170;
32020;Postluch/Britz;BB;09.02.2022;MB;6;;0;511;RER;1;1;;;399;130;;7;;;1183;184;166;
32020;Postluch/Britz;BB;09.02.2022;MB;7;;0;511;RER;1;2;;;352;130;;7;304;203;206;237;213;
32020;Postluch/Britz;BB;09.02.2022;MB;8;1;0;511;RER;1;3;;;322;130;;6;250;212;977;240;216;
32020;Postluch/Britz;BB;09.02.2022;MB;9;1;0;511;RER;1;3;;;325;130;;6;;;974;248;223;
32020;Postluch/Britz;BB;09.02.2022;MB;10;1;0;511;RER;1;4;;;263;130;;5;181;156;1041;245;221;
32020;Postluch/Britz;BB;09.02.2022;MB;11;;0;511;RER;1;1;;;450;130;;9;247;154;378;312;281;
32020;Postluch/Britz;BB;09.02.2022;MB;12;;0;511;RER;1;2;;;307;130;;6;;;1015;291;262;
32020;Postluch/Britz;BB;09.02.2022;MB;13;;0;511;RER;1;1;;;369;130;;7;;;823;338;304;
32020;Postluch/Britz;BB;09.02.2022;MB;14;;0;511;RER;2;;;;101;130;;2;113;12;831;342;308;
32020;Postluch/Britz;BB;09.02.2022;MB;15;;0;511;RER;2;;;;79;130;;1;81;22;864;340;306;
32020;Postluch/Britz;BB;09.02.2022;MB;16;;0;511;RER;1;2;;;357;130;;7;;;1176;365;329;
32020;Postluch/Britz;BB;09.02.2022;MB;17;;0;511;RER;1;2;;;374;130;;7;;;1206;363;327;
32020;Postluch/Britz;BB;09.02.2022;MB;18;;0;511;RER;1;3;;;394;130;;7;;;604;14;13;
32020;Postluch/Britz;BB;09.02.2022;MB;19;;0;;STK;2;;;;119;130;;2;91;23;633;34;31;
32020;Postluch/Britz;BB;09.02.2022;MB;20;;0;511;RER;1;1;;;444;130;;8;;;726;41;37;
32020;Postluch/Britz;BB;09.02.2022;MB;21;;0;511;RER;2;;;;79;130;;1;73;17;693;43;39;
32020;Postluch/Britz;BB;09.02.2022;MB;22;;0;511;RER;1;2;;;348;130;;6;;;982;52;47;
32020;Postluch/Britz;BB;09.02.2022;MB;23;;0;511;RER;2;;;;95;130;;1;91;22;1035;52;47;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;1;;0;511;GFI;1;4;41;1;114;130;0;2;98;63;1010;2;2;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;2;;0;511;GFI;1;2;50;2;233;130;0;4;175;117;520;5;5;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;3;;0;511;GFI;1;2;41;1;206;130;0;4;160;119;310;15;14;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;4;;0;511;GFI;1;2;41;1;228;130;0;4;179;115;530;20;18;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;5;;0;511;GFI;1;3;41;1;142;130;0;2;132;91;680;22;20;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;6;;0;511;GFI;1;4;41;1;121;130;0;2;107;77;1210;27;24;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;7;;0;511;GFI;1;1;41;1;259;130;0;5;174;101;920;28;25;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;8;;0;511;GFI;1;2;41;1;175;130;0;3;142;103;720;34;31;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;9;;0;511;GFI;1;3;41;1;121;130;0;2;129;94;990;43;39;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;10;;0;511;GFI;1;4;41;1;78;130;0;1;81;70;440;44;40;
