bund_nr,status,pk_dist,pk_azi
130001,1,-9,-9
130002,1,-9,-9
130003,1,-9,-9
130004,2,-9,-9
130005,-1,-9,-9
130006,1,-9,-9
130007,-1,-9,-9
130008,1,-9,-9
130009,1,-9,-9
130010,1,-9,-9
130011,1,-9,-9
130012,1,-9,-9
130013,1,-9,-9
130014,1,-9,-9
130015,1,-9,-9
130016,-1,-9,-9
130017,1,-9,-9
130018,-1,-9,-9
130019,1,-9,-9
130020,1,-9,-9
130021,1,-9,-9
130022,1,-9,-9
130023,1,-9,-9
130024,1,-9,-9
130025,1,-9,-9
130026,1,-9,-9
130027,1,-9,-9
130028,1,-9,-9
130029,1,-9,-9
130030,1,-9,-9
130031,-1,-9,-9
130032,1,-9,-9
130033,1,-9,-9
130034,1,-9,-9
130035,1,-9,-9
130036,1,-9,-9
130037,1,-9,-9
130038,-1,-9,-9
130039,1,-9,-9
130040,1,-9,-9
130041,1,-9,-9
130042,1,-9,-9
130043,1,-9,-9
130044,1,-9,-9
130045,-1,-9,-9
130046,-1,-9,-9
130047,1,-9,-9
130048,1,-9,-9
130049,1,-9,-9
130050,1,-9,-9
130051,1,-9,-9
130052,1,-9,-9
130053,1,-9,-9
130054,1,-9,-9
130055,1,-9,-9
130056,1,-9,-9
130057,1,-9,-9
130058,1,-9,-9
130059,1,-9,-9
130060,1,-9,-9
130061,1,-9,-9
130062,-1,-9,-9
130063,1,-9,-9
130064,1,-9,-9
130065,-1,-9,-9
130066,-1,-9,-9
130068,1,-9,-9
130069,1,-9,-9
130070,1,-9,-9
130071,1,-9,-9
130072,1,-9,-9
130073,1,-9,-9
130074,1,-9,-9
130075,1,-9,-9
130076,1,-9,-9
130077,1,-9,-9
130078,1,-9,-9
130079,1,-9,-9
130080,1,-9,-9
130081,1,-9,-9
130082,1,-9,-9
130083,1,-9,-9
130084,1,-9,-9
130085,-1,-9,-9
130086,-1,-9,-9
130087,-1,-9,-9
130088,1,-9,-9
