bund_nr,ld_standort_methode,ld_standort,ld_wh_stufe,ld_n_stufe,vornachnutz,egart,vorbesttyp,histnutz,anzkalk,kulissekalk
130001,-9,StL,57,R2lf,-9,-9,-9,-9,-1,-9
130002,-9,ZkS,67,M2lm,-9,-9,-9,-9,-1,-9
130003,-9,BaSG,34,NM1f,-9,-9,-9,-9,-1,-9
130004,-9,AhSG,34,NM1f,-9,-9,-9,-9,-1,-9
130005,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
130006,-9,CoLU/S,35,NK2f,-9,-9,-9,-9,-1,-9
130007,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
130008,-9,SstLB,47,K2f,-9,-9,-9,-9,-1,-9
130009,-9,M.K,34,OK3,-9,-9,-9,-9,-1,-9
130010,sea95,WgS,7,K2f,53,5,99,0,0,-9
130011,-9,WhLB,45,K2f,-9,-9,-9,-9,-1,-9
130012,-9,BgSU,35,K2f,-9,-9,-9,-9,-1,-9
130013,sea95,JhtL,7,K2f,53,2,99,0,0,-9
130014,sea95,SwS/FtS,6,Z2f,53,2,99,7,0,-9
130015,-9,s SwS/NbS,67,A2lm,-9,-9,-9,-9,-1,-9
130016,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
130017,sea95,SoS,7,K2m,53,4,99,0,0,-9
130018,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
130019,-9,DgL,7,R2f,-9,-9,-9,-9,-1,-9
130020,-9,RbLB,5,R2lf,-9,-9,-9,-9,-1,-9
130021,-9,KdS / BäS ///l,57,Z2f,-9,-9,-9,-9,-1,-9
130022,sea95,BiS,7,Z2f,52,2,99,0,0,-9
130023,sea95,WbSB,56,A1f,53,2,99,0,0,-9
130024,-9,MbS/L,57,M2f,-9,-9,-9,-9,-1,-9
130025,-9,WlS,7,K2m,-9,-9,-9,-9,-1,-9
130026,sea95,PkS,7,K2f,53,3,99,0,0,-9
130027,sea95,BgS,7,M2f,53,3,99,0,0,-9
130028,sea95,JaS,7,M2f,53,3,99,7,0,-9
130029,sea95,DiS,7,A2f,52,4,99,0,0,-9
130030,-9,DgL,7,R2f,53,-9,-9,-9,0,-9
130031,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
130032,sea95,MuS,7,K3m,53,1,99,0,0,-9
130033,sea95,BrS,6,A2f,52,1,99,0,0,-9
130034,-9,FhSG,34,NR1f,-9,-9,-9,-9,-1,-9
130035,-9,LzS,7,M2f,-9,-9,-9,-9,-1,-9
130036,sea95,PkS,7,K2f,53,2,99,7,0,-9
130037,sea95,oFtS,7,M2f,53,2,99,0,0,-9
130038,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
130039,sea95,KrS,7,M2f,52,4,99,7,0,-9
130040,-9,PkS,7,K2f,-9,-9,-9,-9,-1,-9
130041,-9,BgS,57,M2f,-9,-9,-9,-9,-1,-9
130042,sea95,BäS,7,Z2m,52,2,99,0,0,-9
130043,-9,LzS,7,M2m,-9,-9,-9,-9,-1,-9
130044,sea95,PkS,7,K2f,52,2,99,7,0,-9
130045,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
130046,sea95,KbS,7,K2f,53,4,99,7,0,-9
130047,sea95,KbS,7,K2f,53,3,99,7,0,-9
130048,sea95,ZaS,6,M2f,53,2,99,0,0,-9
130049,-9,KdS / MuSB //L,57,Z2+f,-9,-9,-9,-9,-1,-9
130050,sea95,LeS,7,M2f,51,2,99,7,0,-9
130051,sea95,DaS/FtS,7,Z2f,52,2,99,0,0,-9
130052,sea95,LxS/L,7,M2+f,52,2,99,7,0,-9
130053,-9,NhSG,35,NR2f,-9,-9,-9,-9,-1,-9
130054,-9,SnLu,35,NR2f,-9,-9,-9,-9,-1,-9
130055,-9,DiSU/L,35,NZ2f,-9,-9,-9,-9,-1,-9
130056,sea95,BgS,7,M2f,51,2,99,0,0,-9
130057,sea95,BoS,7,M2f,51,2,99,0,0,-9
130058,-9,M.A,23,OA2,-9,-9,-9,-9,-1,-9
130059,sea95,NeS,7,M2f,52,2,99,0,0,-9
130060,sea95,GtSB,45,A1f,52,2,99,0,0,-9
130061,sea95,DiS,7,A2f,52,3,99,0,0,-9
130062,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
130063,-9,KöSU,56,Z2f,-9,-9,-9,-9,-1,-9
130064,sea95,sBäS,7,Z2f,53,4,99,7,0,-9
130065,-9,sTsSg,45,NA2f,-9,-9,-9,-9,-1,-9
130066,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
130068,sea95,MüS,56,A1f,52,2,99,0,0,-9
130069,sea95,DiSG,45,OK4<->OZ4,51,2,99,9,0,-9
130070,sea95,AhLG,34,NR1f,51,4,99,0,0,-9
130071,sea95,JhtL,7,K2f,52,2,99,0,0,-9
130072,sea95,TstLU,36,NR2w,51,2,99,0,0,-9
130073,sea95,LytLU,37,WM2,52,2,99,0,0,-9
130074,sea95,CoLU,34,NK1,51,2,2,0,0,-9
130075,sea95,M.K,23,OK2,51,2,99,9,0,-9
130076,sea95,LeS,7,M2,52,2,99,0,0,-9
130077,sea95,SfSB,67,Z2f,52,4,99,7,0,-9
130078,sea95,MuS,7,K2f,52,2,99,0,0,-9
130079,sea95,MuS,7,K2f,52,2,99,7,0,-9
130080,sea95,WhS,7,M2f,52,4,99,7,0,-9
130081,sea95,GäS,7,K2f,53,4,99,0,0,-9
130082,sea95,NeS,7,M2f,52,2,99,0,0,-9
130083,sea95,NeS,6,M2f,52,3,99,7,0,-9
130084,sea95,KnS,7,M2f,52,2,99,0,0,-9
130085,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
130086,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
130087,-9,-9,-9,-9,-9,-9,-9,-9,-1,-9
130088,sea95,FtS,7,M2f,53,4,99,0,0,-9
