bnr,bart,bund_nr,quirl,nadeljg,trieb,probe_nr,anmerkung
bah1,bah,130010,-2,-2,1,130010;BAH,
bah2,bah,130010,-2,-2,1,130010;BAH,
bah3,bah,130010,-2,-2,1,130010;BAH,
ela1,ela,130010,7-15,0,1,130010;ELÄ,
ela2,ela,130010,7-15,0,1,130010;ELÄ,
gki1,gki,130010,7-15,0,-2,130010;GKI;0,
gki1,gki,130010,7-15,+1,-2,130010;GKI;1,
gki2,gki,130010,7-15,0,-2,130010;GKI;0,
gki2,gki,130010,7-15,+1,-2,130010;GKI;1,
gki3,gki,130010,7-15,0,-2,130010;GKI;0,
gki3,gki,130010,7-15,+1,-2,130010;GKI;1,
rbu1,rbu,130010,-2,-2,1,130010;RBU,
rbu2,rbu,130010,-2,-2,1,130010;RBU,
rbu3,rbu,130010,-2,-2,1,130010;RBU,
rbu1,rbu,130013,-2,-2,1,130013;RBU,aufgrund Ortschaft nur ein Baum!
gki1,gki,130014,7-15,0,-2,130014;GKI;0,
gki1,gki,130014,7-15,+1,-2,130014;GKI;1,
gki2,gki,130014,7-15,0,-2,130014;GKI;0,
gki2,gki,130014,7-15,+1,-2,130014;GKI;1,
gki3,gki,130014,7-15,0,-2,130014;GKI;0,
gki3,gki,130014,7-15,+1,-2,130014;GKI;1,
bah1,bah,130017,-2,-2,1,130017;BAH,
bah2,bah,130017,-2,-2,1,130017;BAH,
bah3,bah,130017,-2,-2,1,130017;BAH,
gfi1,gfi,130017,7-15,0,1,130017;GFI;0,
gfi1,gfi,130017,7-15,+1,1,130017;GFI;1,
gfi2,gfi,130017,7-15,0,1,130017;GFI;0,
gfi2,gfi,130017,7-15,+1,1,130017;GFI;1,
gfi3,gfi,130017,7-15,0,1,130017;GFI;0,
gfi3,gfi,130017,7-15,+1,1,130017;GFI;1,
gki1,gki,130017,7-15,0,-2,130017;GKI;0,
gki1,gki,130017,7-15,+1,-2,130017;GKI;1,
gki2,gki,130017,7-15,0,-2,130017;GKI;0,
gki2,gki,130017,7-15,+1,-2,130017;GKI;1,
gki3,gki,130017,7-15,0,-2,130017;GKI;0,
gki3,gki,130017,7-15,+1,-2,130017;GKI;1,
tei1,tei,130017,-2,-2,1,130017;TEI,
tei2,tei,130017,-2,-2,1,130017;TEI,
tei3,tei,130017,-2,-2,1,130017;TEI,
gki1,gki,130022,7-15,0,-2,130022;GKI;0,
gki1,gki,130022,7-15,+1,-2,130022;GKI;1,
gki2,gki,130022,7-15,0,-2,130022;GKI;0,
gki2,gki,130022,7-15,+1,-2,130022;GKI;1,
gki3,gki,130022,7-15,0,-2,130022;GKI;0,
gki3,gki,130022,7-15,+1,-2,130022;GKI;1,
gki1,gki,130023,7-15,0,-2,130023;GKI;0,
gki1,gki,130023,7-15,+1,-2,130023;GKI;1,
gki2,gki,130023,7-15,0,-2,130023;GKI;0,
gki2,gki,130023,7-15,+1,-2,130023;GKI;1,
gki3,gki,130023,7-15,0,-2,130023;GKI;0,
gki3,gki,130023,7-15,+1,-2,130023;GKI;1,
ela1,ela,130026,7-15,0,1,130026;ELÄ,wenig Ela vorhanden
ela2,ela,130026,7-15,0,1,130026;ELÄ,
gki1,gki,130026,7-15,0,-2,130026;GKI;0,
gki1,gki,130026,7-15,+1,-2,130026;GKI;1,
gki2,gki,130026,7-15,0,-2,130026;GKI;0,
gki2,gki,130026,7-15,+1,-2,130026;GKI;1,
gki3,gki,130026,7-15,0,-2,130026;GKI;0,
gki3,gki,130026,7-15,+1,-2,130026;GKI;1,
gki1,gki,130027,7-15,0,-2,130027;GKI;0,
