ld_bze,eu_wze,ld_wze,ld,raster,istre,istho,srid_ist,hoehenn,bund_nr
-9,-9,-9,-9,-9,4608289,6046646,31468,87,130001
-9,-9,-9,-9,-9,4607736,6030543,31468,87,130002
-9,-9,-9,-9,-9,4543477,6024152,31468,87,130003
-9,-9,-9,-9,-9,4519058,6009415,31468,87,130004
-9,-9,-9,-9,-9,4622591,5997878,31468,-9,130005
-9,-9,-9,-9,-9,4526766,6001077,31468,87,130006
-9,-9,-9,-9,-9,4622478,5989835,31468,-9,130007
-9,-9,-9,-9,-9,4598480,5990944,31468,87,130008
-9,-9,-9,-9,-9,4550550,5992262,31468,87,130009
737,-9,737,-9,-9,4606226,5982492,31468,35,130010
-9,-9,-9,-9,-9,4558264,5984164,31468,87,130011
-9,-9,-9,-9,-9,4542295,5984617,31468,87,130012
758,-9,758,-9,-9,4494280,5986143,31468,40,130013
761,-9,761,-9,-9,4478217,5986710,31468,35,130014
-9,-9,-9,-9,-9,4629970,5973859,31468,87,130015
-9,-9,-9,-9,-9,4614205,5974660,31468,-9,130016
824,-9,824,-9,-9,4597979,5974851,31468,10,130017
-9,-9,-9,-9,-9,4517919,5977292,31468,-9,130018
-9,-9,-9,-9,-9,4502063,5977939,31468,87,130019
-9,-9,-9,-9,-9,4438051,5979944,31468,87,130020
-9,-9,-9,-9,-9,4467556,5898888,31468,87,130021
1002,-9,1002,-9,-9,4645665,5957325,31468,8,130022
1006,-9,1006,-9,-9,4629519,5957860,31468,3,130023
-9,-9,-9,-9,-9,4621618,5958126,31468,87,130024
-9,-9,-9,-9,-9,4605466,5958632,31468,87,130025
1026,-9,1026,-9,-9,4549437,5960339,31468,40,130026
1034,-9,1034,-9,-9,4517389,5961441,31468,50,130027
1044,-9,1044,-9,-9,4477605,5962556,31468,35,130028
1117,-9,1117,-9,-9,4637199,5949579,31468,14,130029
-9,-9,-9,-9,-9,4525200,5953100,31468,87,130030
-9,-9,-9,-9,-9,4513000,5954000,31468,-9,130031
1213,-9,1213,-9,-9,4653044,5941198,31468,40,130032
1217,-9,1217,-9,-9,4636928,5941596,31468,10,130033
-9,-9,-9,-9,-9,4628901,5941882,31468,87,130034
-9,-9,-9,-9,-9,4621051,5942213,31468,87,130035
1249,-9,1249,-9,-9,4509072,5945597,31468,65,130036
1251,-9,1251,-9,-9,4501064,5945890,31468,55,130037
-9,-9,-9,-9,-9,4493000,5946126,31468,-9,130038
1257,-9,1257,-9,-9,4477132,5946540,31468,45,130039
-9,-9,-9,-9,-9,4469014,5946735,31468,87,130040
-9,-9,-9,-9,-9,4453107,5947312,31468,87,130041
1324,-9,1324,-9,-9,4652714,5933369,31468,20,130042
-9,-9,-9,-9,-9,4588695,5935011,31468,87,130043
1348,-9,1348,-9,-9,4524819,5937075,31468,70,130044
-9,-9,-9,-9,-9,4572499,5927500,31468,-9,130045
1449,-9,1449,-9,-9,4556448,5928116,31468,87,130046
1451,-9,1451,-9,-9,4548422,5928262,31468,65,130047
1479,-9,1479,-9,-9,4428600,5932147,31468,30,130048
-9,-9,-9,-9,-9,4451606,5899400,31468,87,130049
1555,-9,1555,-9,-9,4572177,5919634,31468,75,130050
1558,-9,1558,-9,-9,4556233,5920199,31468,70,130051
1563,-9,1563,-9,-9,4524307,5921183,31468,100,130052
-9,-9,-9,-9,-9,4508320,5921647,31468,87,130053
-9,-9,-9,-9,-9,4444257,5923640,31468,87,130054
-9,-9,-9,-9,-9,4428447,5924201,31468,87,130055
1666,-9,1666,-9,-9,4587984,5911228,31468,120,130056
1668,-9,1668,-9,-9,4579927,5911350,31468,80,130057
-9,-9,-9,-9,-9,4564003,5911850,31468,87,130058
1692,-9,1692,-9,-9,4484152,5914375,31468,80,130059
1694,-9,1694,-9,-9,4476052,5914593,31468,40,130060
1696,-9,1696,-9,-9,4468080,5914867,31468,33,130061
-9,-9,-9,-9,-9,4460000,5915000,31468,-9,130062
-9,-9,-9,-9,-9,4555786,5904265,31468,87,130063
1803,-9,1803,-9,-9,4491791,5906125,31468,85,130064
-9,-9,-9,-9,-9,4475874,5906685,31468,-9,130065
-9,-9,-9,-9,-9,4444000,5908000,31468,-9,130066
2027,-9,2027,-9,-9,4459160,5891187,31468,18,130068
5,8005,5,-9,-9,4535835,6032839,31468,3,130069
9,8009,9,-9,-9,4535286,6016895,31468,7,130070
10,8010,10,-9,-9,4614760,5998288,31468,14,130071
16,8016,16,-9,-9,4518796,6001341,31468,35,130072
22,8022,22,-9,-9,4566216,5983912,31468,10,130073
36,8036,36,-9,-9,4501839,5969791,31468,3,130074
48,8048,48,-9,-9,4533284,5952931,31468,90,130075
62,8062,62,-9,-9,4532772,5936871,31468,70,130076
63,8063,63,-9,-9,4516824,5937359,31468,55,130077
78,8078,78,-9,-9,4500362,5921910,31468,63,130078
83,8083,83,-9,-9,4420397,5924432,31468,60,130079
90,8090,90,-9,-9,4563816,5903903,31468,59,130080
91,8091,91,-9,-9,4547712,5904186,31468,63,130081
92,8092,92,-9,-9,4531783,5904943,31468,80,130082
96,8096,96,-9,-9,4467975,5906881,31468,35,130083
74,8074,74,-9,-9,4564241,5919936,31468,70,130084
-9,-9,-9,-9,-9,4645148,5949297,31468,-9,130085
-9,-9,-9,-9,-9,4548757,5936272,31468,-9,130086
-9,-9,-9,-9,-9,-9,-9,-9,-9,130087
29,13088,29,-9,-9,4618012,5974156,31468,15,130088
