id,kurz,lang,kombi_hori,gueltig_ab,gueltig_bis
(a),(a),Auendynamik,c,1989-01-01,
(c),(c),"carbonatisch (> 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",c,1989-01-01,
(e),(e),"mergelig ( 2 bis < 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",c,1989-01-01,
(i),(i),"kieselig, silikatisch (< 2 Masse-% Carbonat)",c,1989-01-01,
(o),(o),"organisch (sedimentär, lithogen)",c,1989-01-01,
(tb),(tb),brackisch,c,1989-01-01,
(tm),(tm),marin,c,1989-01-01,
(tp),(tp),perimarin,c,1989-01-01,
(z),(z),"geogen salzhaltig, Leitfähigkeit ³ 0,75 mS / cm im Sättigungsextrakt, verursacht durch leicht lösliche Salze, leichter löslich als Gips",c,1989-01-01,
a,a,Auendynamik,a,1989-01-01,
a,a,Auendynamik,g,1989-01-01,
a,a,Auendynamik,m,1989-01-01,
a,a,Auendynamik,s,1989-01-01,
ae,ae,"Auendynamik, mergelig",m,2022-01-01,
b,b,"braun bei Plaggenesch, Rendzina, Kalkpaternia",a,1989-01-01,
b,b,"braun bei Plaggenesch, Rendzina, Kalkpaternia",e,1989-01-01,
c,c,"carbonatisch (> 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",g,1989-01-01,
c,c,"carbonatisch (> 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",s,1989-01-01,
cl,cl,"carbonatisch, Lockersubstrat",c,2022-01-01,
cm,cm,"carbonatisch, massives Substrat, nicht grabbar",c,2022-01-01,
cx,cx,"carbonatisch, steinig",c,2022-01-01,
e,e,"mergelig ( 2 bis < 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",a,1989-01-01,
e,e,"mergelig ( 2 bis < 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",f,1989-01-01,
e,e,"mergelig ( 2 bis < 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",g,1989-01-01,
e,e,"mergelig ( 2 bis < 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",h,1989-01-01,
e,e,"mergelig ( 2 bis < 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",m,1989-01-01,
e,e,"mergelig ( 2 bis < 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",p,1989-01-01,
e,e,"mergelig ( 2 bis < 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",r,1989-01-01,
e,e,"mergelig ( 2 bis < 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",s,1989-01-01,
e,e,"mergelig ( 2 bis < 75 Masse-% Carbonat, Carbonatgestein, auch bei Gipsgestein zu verwenden)",y,1989-01-01,
el,el,"mergelig, Lockersubstrat",c,2022-01-01,
em,em,"mergelig, massives Substrat, nicht grabbar",c,2022-01-01,
ex,ex,"mergelig, steinig",c,2022-01-01,
f,f,fossil,a,1989-01-01,
f,f,fossil,b,1989-01-01,
f,f,fossil,f,1989-01-01,
f,f,fossil,g,1989-01-01,
f,f,fossil,h,1989-01-01,
f,f,fossil,o,1989-01-01,
f,f,fossil,p,1989-01-01,
f,f,fossil,s,1989-01-01,
f,f,fossil,t,1989-01-01,
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",-9,1989-01-01,
g,g,Grau bei Plaggenesch und Kalkpaternia,a,1989-01-01,
g,g,Grau bei Plaggenesch und Kalkpaternia,e,1989-01-01,
gb,gb,"Grau bei Plaggenesch und Kalkpaternia, braun bei Plaggenesch, Rendzina, Kalkpaternia",e,,
h,h,Hochmoor,h,1989-01-01,
ii,II,weitere geologische Schichten,-9,1989-01-01,2022-01-01
iii,III,weitere geologische Schichten,-9,1989-01-01,2022-01-01
il,il,"kieselig, Lockersubstrat",c,2022-01-01,
im,im,"kieselig, massives Substrat, nicht grabbar",c,2022-01-01,
ix,ix,"kieselig, steinig",c,2022-01-01,
j,j,Anthropogen umgelagertes Natursubstrat,a,1989-01-01,
j,j,Anthropogen umgelagertes Natursubstrat,c,1989-01-01,
j,j,Anthropogen umgelagertes Natursubstrat,g,1989-01-01,
j,j,Anthropogen umgelagertes Natursubstrat,h,1989-01-01,
j,j,Anthropogen umgelagertes Natursubstrat,s,1989-01-01,
j,j,Anthropogen umgelagertes Natursubstrat,y,1989-01-01,
jy,jy,"Anthropogen umgelagertes Natursubstrat, anthropogen umgelagertes künstliches Substrat",c,2022-01-01,
jy,jy,"Anthropogen umgelagertes Natursubstrat, anthropogen umgelagertes künstliches Substrat",y,2022-01-01,
l,l,"Lockersubstrat, grabbar",c,1989-01-01,
m,m,"Massives Substrat, nicht grabbar",a,1989-01-01,
m,m,"Massives Substrat, nicht grabbar",c,1989-01-01,
n,n,Niedermoor,h,1989-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,-2,1989-01-01,
-1,nicht erhoben,Merkmal nicht erhoben,-1,1989-01-01,
o,o,"organisch (sedimentär, lithogen)",a,1989-01-01,
o,o,"organisch (sedimentär, lithogen)",g,1989-01-01,
o,o,"organisch (sedimentär, lithogen)",y,1989-01-01,
ol,ol,"organisch, Lockersubstrat",c,2022-01-01,
om,om,"organisch, massives Substrat, nicht grabbar",c,2022-01-01,
ox,ox,"organisch, steinig",c,2022-01-01,
q,q,quellwasserbeeinflusst,g,1989-01-01,
r,r,reliktisch,a,1989-01-01,
r,r,reliktisch,b,1989-01-01,
r,r,reliktisch,f,1989-01-01,
r,r,reliktisch,g,1989-01-01,
r,r,reliktisch,h,1989-01-01,
r,r,reliktisch,p,1989-01-01,
r,r,reliktisch,s,1989-01-01,
r,r,reliktisch,t,1989-01-01,
s,s,hangwasserbeeinflusst,g,1989-01-01,
s,s,hangwasserbeeinflusst,s,1989-01-01,
tb,tb,brackisch,a,1989-01-01,
tb,tb,brackisch,f,1989-01-01,
tb,tb,brackisch,g,1989-01-01,
tb,tb,brackisch,s,1989-01-01,
tbe,tbe,"brackisch, mergelig",a,2022-01-01,
tbe,tbe,"brackisch, mergelig",f,2022-01-01,
tbe,tbe,"brackisch, mergelig",g,2022-01-01,
tbz,tbz,"brackisch, geogen salzhaltig",f,2022-01-01,
tbz,tbz,"brackisch, geogen salzhaltig",g,2022-01-01,
tbze,tbze,"brackisch, geogen salzhaltig, mergelig",f,2022-01-01,
tbze,tbze,"brackisch, geogen salzhaltig, mergelig",g,2022-01-01,
tm,tm,marin,a,1989-01-01,
tm,tm,marin,f,1989-01-01,
tm,tm,marin,g,1989-01-01,
tm,tm,marin,s,1989-01-01,
tme,tme,"marin, mergelig",a,2022-01-01,
tme,tme,"marin, mergelig",f,2022-01-01,
tme,tme,"marin, mergelig",g,2022-01-01,
tmz,tmz,"marin, geogen salzhaltig",a,2022-01-01,
tmz,tmz,"marin, geogen salzhaltig",g,2022-01-01,
tmze,tmze,"marin, geogen salzhaltig, mergelig",f,2022-01-01,
tmze,tmze,"marin, geogen salzhaltig, mergelig",g,2022-01-01,
tp,tp,perimarin,a,1989-01-01,
tp,tp,perimarin,f,1989-01-01,
tp,tp,perimarin,g,1989-01-01,
tp,tp,perimarin,s,1989-01-01,
tpe,tpe,"perimarin, mergelig",a,2022-01-01,
tpe,tpe,"perimarin, mergelig",f,2022-01-01,
tpe,tpe,"perimarin, mergelig",g,2022-01-01,
tpz,tpz,"perimarin, geogen salzhaltig",g,2022-01-01,
tpze,tpze,"perimarin, geogen salzhaltig, mergelig",g,2022-01-01,
u,u,Übergangsmoor,h,1989-01-01,
x,x,steinig,c,1989-01-01,
y,y,anthropogen umgelagertes künstliches Substrat,c,1989-01-01,
y,y,anthropogen umgelagertes künstliches Substrat,g,1989-01-01,
y,y,anthropogen umgelagertes künstliches Substrat,y,1989-01-01,
yj,yj,"anthropogen umgelagertes künstliches Substrat, Anthropogen umgelagertes Natursubstrat",c,2022-01-01,
yj,yj,"anthropogen umgelagertes künstliches Substrat, Anthropogen umgelagertes Natursubstrat",y,2022-01-01,
z,z,"geogen salzhaltig, Leitfähigkeit ³ 0,75 mS / cm im Sättigungsextrakt, verursacht durch leicht lösliche Salze, leichter löslich als Gips",a,1989-01-01,
z,z,"geogen salzhaltig, Leitfähigkeit ³ 0,75 mS / cm im Sättigungsextrakt, verursacht durch leicht lösliche Salze, leichter löslich als Gips",b,1989-01-01,
z,z,"geogen salzhaltig, Leitfähigkeit ³ 0,75 mS / cm im Sättigungsextrakt, verursacht durch leicht lösliche Salze, leichter löslich als Gips",e,1989-01-01,
z,z,"geogen salzhaltig, Leitfähigkeit ³ 0,75 mS / cm im Sättigungsextrakt, verursacht durch leicht lösliche Salze, leichter löslich als Gips",f,1989-01-01,
