id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1989-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1989-01-01,1989-01-01
-1,nicht erhoben,Merkmal nicht erhoben,1989-01-01,
ffn,FFn,Normfelshumusboden,2006-01-01,
ff,FF,Felshumusboden,2006-01-01,
fsn,FSn,Normskeletthumusboden,2006-01-01,
fs,FS,Skeletthumusboden,2006-01-01,
f,F,O/C-Böden,2006-01-01,2006-01-01
oon,OOn,Normsyrosem,2006-01-01,
oop,OOp,Protosyrosem,2006-01-01,
oo,OO,Syrosem,2006-01-01,
oln,OLn,Normlockersyrosem,2006-01-01,
ol,OL,Lockersyrosem,2006-01-01,
o,O,Terrestrische Rohböden,2006-01-01,2006-01-01
rnn,RNn,Normranker,2006-01-01,
rnr,RNr,Euranker,2006-01-01,
oo-rn,OO-RN,Syrosem-Ranker,2006-01-01,
ol-rn,OL-RN,Lockersyrosem-Ranker,2006-01-01,
bb-rn,BB-RN,Braunerde-Ranker,2006-01-01,
pp-rn,PP-RN,Podsol-Ranker,2006-01-01,
rn,RN,Ranker,2006-01-01,
rqn,RQn,Normregosol,2006-01-01,
rqr,RQr,Euregosol,2006-01-01,
ol-rq,OL-RQ,Lockersyrosem-Regosol,2006-01-01,
bb-rq,BB-RQ,Braunerde-Regosol,2006-01-01,
pp-rq,PP-RQ,Podsol-Regosol,2006-01-01,
ss-rq,SS-RQ,Pseudogley-Regosol,2006-01-01,
gg-rq,GG-RQ,Gley-Regosol,2006-01-01,
rq,RQ,Regosol,2006-01-01,
rrn,RRn,Normrendzina,2006-01-01,
rrs,RRs,Sauerrendzina,2006-01-01,
oo-rr,OO-RR,Syrosem-Rendzina,2006-01-01,
ol-rr,OL-RR,Lockersyrosem-Rendzina,2006-01-01,
bb-rr,BB-RR,Braunerde-Rendzina,2006-01-01,
cf-rr,CF-RR,Terra fusca-Rendzina,2006-01-01,
gg-rr,GG-RR,Gley-Rendzina,2006-01-01,
rr,RR,Rendzina,2006-01-01,
rzn,RZn,Normpararendzina,2006-01-01,
rzs,RZs,Sauerpararendzina,2006-01-01,
oo-rz,OO-RZ,Syrosem-Pararendzina,2006-01-01,
ol-rz,OL-RZ,Lockersyrosem-Pararendzina,2006-01-01,
bb-rz,BB-RZ,Braunerde-Pararendzina,2006-01-01,
ss-rz,SS-RZ,Pseudogley-Pararendzina,2006-01-01,
gg-rz,GG-RZ,Gley-Pararendzina,2006-01-01,
rz,RZ,Pararendzina,2006-01-01,
r,R,Ah/C-Böden,2006-01-01,2006-01-01
ttn,TTn,Normtschernosem,2006-01-01,
dd-tt,DD-TT,Pelosol-Tschernosem,2006-01-01,
bb-tt,BB-TT,Braunerde-Tschernosem,2006-01-01,
ll-tt,LL-TT,Parabraunerde-Tschernosem,2006-01-01,
ss-tt,SS-TT,Pseudogley-Tschernosem,2006-01-01,
gg-tt,GG-TT,Gley-Tschernosem,2006-01-01,
tt,TT,Tschernosem,2006-01-01,
tcn,TCn,Normkalktschernosem,2006-01-01,
dd-tc,DD-TC,Pelosol-Kalktschernosem,2006-01-01,
bb-tc,BB-TC,Braunerde-Kalktschernosem,2006-01-01,
ll-tc,LL-TC,Parabraunerde-Kalktschernosem,2006-01-01,
gg-tc,GG-TC,Gley-Kalktschernosem,2006-01-01,
tc,TC,Kalktschernosem,2006-01-01,
t,T,Schwarzerden,2006-01-01,2006-01-01
ddn,DDn,Normpelosol,2006-01-01,
ddh,DDh,Humuspelosol,2006-01-01,
rn-dd,RN-DD,Ranker-Pelosol,2006-01-01,
rq-dd,RQ-DD,Regosol-Pelosol,2006-01-01,
rz-dd,RZ-DD,Pararendzina-Pelosol,2006-01-01,
bb-dd,BB-DD,Braunerde-Pelosol,2006-01-01,
ss-dd,SS-DD,Pseudogley-Pelosol,2006-01-01,
gg-dd,GG-DD,Gley-Pelosol,2006-01-01,
dd,DD,Pelosol,2006-01-01,
d,D,Pelosole,2006-01-01,2006-01-01
bbn,BBn,Normbraunerde,2006-01-01,
bbc,BBc,Kalkbraunerde,2006-01-01,
bbh,BBh,Humusbraunerde,2006-01-01,
bbl,BBl,Lockerbraunerde,2006-01-01,
dd-bb,DD-BB,Pelosol-Braunerde,2006-01-01,
ll-bb,LL-BB,Parabraunerde-Braunerde,2006-01-01,
lf-bb,LF-BB,Fahlerde-Braunerde,2006-01-01,
pp-bb,PP-BB,Podsol-Braunerde,2006-01-01,
ss-bb,SS-BB,Pseudogley-Braunerde,2006-01-01,
gg-bb,GG-BB,Gley-Braunerde,2006-01-01,
bb,BB,Braunerde,2006-01-01,
b,B,Braunerden,2006-01-01,2006-01-01
lln,LLn,Normparabraunerde,2006-01-01,
lld,LLd,Bänderparabraunerde,2006-01-01,
llh,LLh,Humusparabraunerde,2006-01-01,
tt-ll,TT-LL,Tschernosem-Parabraunerde,2006-01-01,
bb-ll,BB-LL,Braunerde-Parabraunerde,2006-01-01,
pp-ll,PP-LL,Podsol-Parabraunerde,2006-01-01,
cf-ll,CF-LL,Terra fusca-Parabraunerde,2006-01-01,
ss-ll,SS-LL,Pseudogley-Parabraunerde,2006-01-01,
gg-ll,GG-LL,Gley-Parabraunerde,2006-01-01,
ll,LL,Parabraunerde,2006-01-01,
lfn,LFn,Normfahlerde,2006-01-01,
lfd,LFd,Bänderfahlerde,2006-01-01,
bb-lf,BB-LF,Braunerde-Fahlerde,2006-01-01,
pp-lf,PP-LF,Podsol-Fahlerde,2006-01-01,
ss-lf,SS-LF,Pseudogley-Fahlerde,2006-01-01,
gg-lf,GG-LF,Gley-Fahlerde,2006-01-01,
lf,LF,Fahlerde,2006-01-01,
l,L,Lessivés,2006-01-01,2006-01-01
ppn,PPn,Normpodsol,2006-01-01,
ppe,PPe,Eisenpodsol,2006-01-01,
pph,PPh,Humuspodsol,2006-01-01,
ppd,PPd,Bändchenpodsol,2006-01-01,
bb-pp,BB-PP,Braunerde-Podsol,2006-01-01,
ll-pp,LL-PP,Parabraunerde-Podsol,2006-01-01,
ss-pp,SS-PP,Pseudogley-Podsol,2006-01-01,
sg-pp,SG-PP,Stagnogley-Podsol,2006-01-01,
gg-pp,GG-PP,Gley-Podsol,2006-01-01,
yk-pp,YK-PP,Kolluvisol-Podsol,2006-01-01,
ye-pp,YE-PP,Plaggenesch-Podsol,2006-01-01,
pp,PP,Podsol,2006-01-01,
p,P,Podsole,2006-01-01,2006-01-01
cfn,CFn,Normterra fusca,2006-01-01,
cfc,CFc,Kalkterra fusca,2006-01-01,
bb-cf,BB-CF,Braunerde-Terra fusca,2006-01-01,
ll-cf,LL-CF,Parabraunerde-Terra fusca,2006-01-01,
ss-cf,SS-CF,Pseudogley-Terra fusca,2006-01-01,
cf,CF,Terra fusca,2006-01-01,
crn,CRn,Normterra rossa,2006-01-01,
cr,CR,Terra rossa,2006-01-01,
c,C,Terrae calcis,2006-01-01,2006-01-01
vv,VV,Fersiallit,2006-01-01,
vw,VW,Ferrallit,2006-01-01,
v,V,Fersiallitische und ferrallitische Paläoböden,2006-01-01,2006-01-01
ssn,SSn,Normpseudogley,2006-01-01,
ssc,SSc,Kalkpseudogley,2006-01-01,
ssg,SSg,Hangpseudogley,2006-01-01,
ssh,SSh,Humuspseudogley,2006-01-01,
ssm,SSm,Anmoorpseudogley,2006-01-01,
tt-ss,TT-SS,Tschernosem-Pseudogley,2006-01-01,
dd-ss,DD-SS,Pelosol-Pseudogley,2006-01-01,
