id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1984-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1984-01-01,2019-01-01
-1,nicht erhoben,Merkmal nicht erhoben,1984-01-01,2019-01-01
2397,GK_3_Kra,Pulkovo_1942_Adj_1983_3_Degree_GK_Zone_3,1984-01-01,2022-01-01
2398,GK_4_Kra,Pulkovo_1942_Adj_1983_3_Degree_GK_Zone_4,1984-01-01,2022-01-01
2399,GK_5_Kra,Pulkovo_1942_Adj_1983_3_Degree_GK_Zone_5,1984-01-01,2022-01-01
3068,DHDN_Berlin,DHDN_Soldner_Berlin,1984-01-01,2022-01-01
3396,PD/83_3_GK_Zone_3,PD/83_GK_Zone_3,1984-01-01,2022-01-01
3397,PD/83_3_GK_Zone_4,PD/83_GK_Zone_4,1984-01-01,2022-01-01
3398,RD/83_GK_Zone_4,RD/83_GK_Zone_4,1984-01-01,2022-01-01
3399,RD/83_GK_Zone_5,RD/83_GK_Zone_5,1984-01-01,2022-01-01
3857,WGS_1984,WGS_1984_Web_Mercator_Auxiliary_Sphere,1984-01-01,2022-01-01
4258,ETRS89,GCS_ETRS_1989,1984-01-01,2022-01-01
4314,D_hauptdreieck,GCS_Deutsches_Hauptdreiecksnetz,1984-01-01,2022-01-01
4322,GCS_WGS_1972,GCS_WGS_1972,1984-01-01,2022-01-01
4324,GCS_WGS_1972_BE,GCS_WGS_1972_BE,1984-01-01,2022-01-01
4326,WGS84,GCS_WGS_1984,1984-01-01,2022-01-01
4647,UTM_32N_zE-N,ETRS_1989_UTM_Zone_32N_zE-N,1984-01-01,2022-01-01
4760,GCS_WGS_1966,GCS_WGS_1966,1984-01-01,2022-01-01
4839,LCC_G_N-E,ETRS_1989_LCC_Germany_N-E,1984-01-01,2022-01-01
5243,LCC_G_E-N,ETRS_1989_LCC_Germany_E-N,1984-01-01,2022-01-01
5520,GK_1,DHDN_3_Degree_Gauss_Zone_1,1984-01-01,2022-01-01
5649,UTM_31N_zE-N,ETRS_1989_UTM_Zone_31N_zE-N,1984-01-01,2022-01-01
5650,UTM_33N_zE-N,ETRS_1989_UTM_Zone_33N_zE-N,1984-01-01,2022-01-01
5651,UTM_31N_N-zE,ETRS_1989_UTM_Zone_31N_N-zE,1984-01-01,2022-01-01
5652,UTM_32N_N-zE,ETRS_1989_UTM_Zone_32N_N-zE,1984-01-01,2022-01-01
5653,UTM_33N_N-zE,ETRS_1989_UTM_Zone_33N_N-zE,1984-01-01,2022-01-01
5666,PD/83_3_D_GK_Zone_3_E-N,PD/83_3_Degree_GK_Zone_3_E-N,1984-01-01,2022-01-01
5667,PD/83_3_D_GK_Zone_4_E-N,PD/83_3_Degree_GK_Zone_4_E-N,1984-01-01,2022-01-01
5668,RD/83_3_D_GK_Zone_4_E-N,RD/83_3_Degree_GK_Zone_4_E-N,1984-01-01,2022-01-01
5669,RD/83_3_D_GK_Zone_5_E-N,RD/83_3_Degree_GK_Zone_5_E-N,1984-01-01,2022-01-01
25832,UTM_32N,ETRS_1989_UTM_Zone_32N,1984-01-01,
25833,UTM_33N,ETRS_1989_UTM_Zone_33N,1984-01-01,
31466,GK_2,DHDN_3_Degree_Gauss_Zone_2,1984-01-01,2022-01-01
31467,GK_3,DHDN_3_Degree_Gauss_Zone_3,1984-01-01,2022-01-01
31468,GK_4,DHDN_3_Degree_Gauss_Zone_4,1984-01-01,2022-01-01
31469,GK_5,DHDN_3_Degree_Gauss_Zone_5,1984-01-01,2022-01-01
31491,G_Z_1,Germany_Zone_1,1984-01-01,2022-01-01
31492,G_Z_2,Germany_Zone_2,1984-01-01,2022-01-01
31493,G_Z_3,Germany_Zone_3,1984-01-01,2022-01-01
31494,G_Z_4,Germany_Zone_4,1984-01-01,2022-01-01
31495,G_Z_5,Germany_Zone_5,1984-01-01,2022-01-01
104258,ETRF89,GCS_ETRF_1989,1984-01-01,2022-01-01
