id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1989-01-01,2006-01-01
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1989-01-01,2006-01-01
-1,nicht erhoben,Merkmal nicht erhoben,1989-01-01,
0,keine,"keine historische Nutzungsform (vor 1950), keine der unten aufgezählten Nutzungsformen",1989-01-01,
1,Streunutzung,Streunutzung,1989-01-01,
2,Plaggenhieb,Plaggenhieb,1989-01-01,
3,Eschboden,Eschboden,1989-01-01,
4,Waldweide,Waldweide,1989-01-01,
5,Niederwald,Niederwald,1989-01-01,
6,Mittelwald,Mittelwald,1989-01-01,
7,Ackernutzung,alte Ackernutzung,1989-01-01,
9,unbekannt,trotz Recherche unbekannt,1989-01-01,
8,Köhlerei,Köhlerei,2022-01-01,
10,alte Weidenutzung,alte Weidenutzung,2022-01-01,
11,Hutewald,Hutewald,2022-01-01,
12,Weide,Weide,2022-01-01,
13,Grünland,Grünland,2022-01-01,
14,Streuobstwiese,Streuobstwiese,2022-01-01,
15,kein Wald,kein Wald,2022-01-01,
