id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1989-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1989-01-01,2006-01-01
-1,nicht erhoben,Merkmal nicht erhoben,1989-01-01,
h0,h0,humusfrei ( 0 % Masse),1989-01-01,
h1,h1,sehr schwach humos (< 1 % Masse),1989-01-01,
h2,h2,schwach humos (1 bis < 2 % Masse),1989-01-01,
h3,h3,mittel humos ( 2 bis < 5 % Masse),1989-01-01,
h4,h4,stark humos ( 5 bis < 10 % Masse),1989-01-01,
h5,h5,sehr stark humos ( 10 bis < 15 % Masse),1989-01-01,
h6,h6,"extrem humos, anmoorig ( 15 bis < 30 % Masse)",1989-01-01,
h7,h7,"organisch, Torf ( >= 30 % Masse)",1989-01-01,
