id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",2021-08-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,2021-08-01,
-1,nicht erhoben,Merkmal nicht erhoben,2021-08-01,
m,M,Mull-Humusform,2021-08-01,
ml,ML,L-Mull,2021-08-01,
mla,MLA,A-MULL,2021-08-01,
mlt,MLT,Typischer L-Mull,2021-08-01,
mlr,MLR,Rhizo-L-Mull,2021-08-01,
mf,MF,F-Mull,2021-08-01,
mfl,MFL,Feinhumusarmer F-Mull,2021-08-01,
mft,MFT,Typischer F-Mull,2021-08-01,
mfr,MFR,Rhizo-F-Mull,2021-08-01,
mfm,MFM,Moderartiger F-Mull,2021-08-01,
a,A,Auflage-Hunusformen,2021-08-01,
am,AM,Moder,2021-08-01,
amm,AMM,Mullartiger Moder,2021-08-01,
amt,AMT,Typischer Moder,2021-08-01,
amr,AMR,Rhizo-Moder,2021-08-01,
amp,AMP,Pechmoder,2021-08-01,
ama,AMA,Typischer Tangel,2021-08-01,
ar,AR,Rohhumus,2021-08-01,
arm,ARM,Moderartiger Rohhumus,2021-08-01,
art,ART,typischer Rohhumus,2021-08-01,
i,I,Initial-Humusform,2021-08-01,
im,IM,Initial Mull,2021-08-01,
ia,IA,Initial-Auflagehumus,2021-08-01,
x,X,Streunutzungs-Humusform,2021-08-01,
xh,XH,Hager-Humus,2021-08-01,
xr,XR,F-Rohhumus,2021-08-01,
mlf,MLF,Feucht-L-Mull,2021-08-01,
mff,MFF,Feucht-F-Mull,2021-08-01,
arf,ARF,Feucht-Rohhumus,2021-08-01,
amf,AMF,Feucht-Moder,2021-08-01,
o,O,Anmoor,2021-08-01,2021-08-01
ao,AO,Anmoor,2022-01-01,
h,H,Humusform wachsender Moore,2021-08-01,
hf,HF,F-Moor,2021-08-01,
hfm,HFM,Mesotrophes F-Moor,2021-08-01,
hfo,HFO,Oligotrophes F-Moor,2021-08-01,
hfd,HFD,Dystrophes F-Moor,2021-08-01,
hm,HM,M-Moor,2021-08-01,
hme,HME,Eutrophes M-Moor,2021-08-01,
hmm,HMM,Mesotrophes M-Moor,2021-08-01,
hmo,HMO,Oligotrophes M-Moor,2021-08-01,
hh,HH,H-Moor,2021-08-01,
hhp,HHP,Polytrophes H-Moor,2021-08-01,
hhe,HHE,Eutrophes H-Moor,2021-08-01,
hhm,HHM,Mesotrophes H-Moor,2021-08-01,
