id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1989-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1989-01-01,2006-01-01
-1,nicht erhoben,Merkmal nicht erhoben,1989-01-01,
sea74/81,SEA74/81,Standortserkundungsanweisung 1974 und 1981,1989-01-01,
sea95,SEA95,Standortserkundungsanweisung 1995,1989-01-01,
by2003,BY2003,"AK Standortskartierung, 2003 (Forstliche Standortsaufnahme 6. Aufl., S. 282-284)",1989-01-01,2022-01-01
hafea2002,HAFEA2002,Hessische Anweisung für Forsteinrichtungsarbeiten aus dem Jahre 2002,1989-01-01,
sh2001,SH2001,Arbeitsanleitung zur Standortkartierung in Schleswig-Holstein 2001,1989-01-01,2022-01-01
asta61,ASta61,Anwsg. für Standortkart. in Staats- und Körperschaftswald der Forstdirektion Koblenz – A. Sta. 61,1989-01-01,2006-01-01
asta96,Asta96,Anwsg. für Standortkart. in Staats- und Körperschaftswald von Rheinland-Pfalz – A. Sta. 96,1989-01-01,
sto03,STO03,DA für forstl. Standorterkundung in Nordrhein-Westfalen 2003 (Forstliche Standorterkundung 2003 NW),1989-01-01,2022-01-01
bw2003,BW2003,"AK Standortskartierung, 2003 (Forstliche Standortsaufnahme 6. Aufl., S. 277-282)",1989-01-01,2022-01-01
wbrlsaar86,WBRLSAAR86,Richtlinien für Bewirtschaftung des Staatswaldes im Saarland. 1. Teil Standortsökol. Grundlagen 1986,1989-01-01,
fsani2004,FSANI2004,"Forstl. Standortsaufn., Geländeökol. Schätzrahmen für Mittelgeb., Berg-/Hügelland... (Stand 03/2004)",1989-01-01,2022-01-01
sh2004,SH2004,"Forstl. Standortsaufn., Geländeökol. Schätzrahmen für pleistozänes Tiefland (Stand 2004)",1989-01-01,2006-01-01
nw2018,NW2018,Forstlich-standortkundlicheAuswertung auf Basis der Bodenkarte 1: 50.000 (FSK50).Unveröffentlichter Projektbericht; Geologischer Dienst im Auftragder Landesforstverwaltung; Stand 2018,2022-01-01,
sk2016,SK2016,"AK Standortskartierung, 2016: Forstliche Standortsaufnahme, 7. Aufl.",2022-01-01,
boeck2019,Boeck2019,"Böckmann et al 2019: Klimaangepasste Baumartenwahl in den Niedersächsischen Landesforsten/Schriftenreihe Waldentwicklung in Niedersachsen, Bd 61",2022-01-01,
