id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",2006-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,2006-01-01,2006-01-01
-1,nicht erhoben,Merkmal nicht erhoben,2006-01-01,
wf0,Wf0,keine Feinwurzeln (0 Feinwurzeln/dm²),2006-01-01,
wf1,Wf1,sehr schwach (1 - 2 Feinwurzeln/dm²),2006-01-01,
wf2,Wf2,schwach (3 - 5 Feinwurzeln/dm²),2006-01-01,
wf3,Wf3,mittel (6 - 10 Feinwurzeln/dm²),2006-01-01,
wf4,Wf4,stark (11 - 20 Feinwurzeln/dm²),2006-01-01,
wf5,Wf5,sehr stark (21 - 50 Feinwurzeln/dm²),2006-01-01,
wf6,Wf6,extrem stark bis Feinwurzelfilz (> 50 Feinwurzeln/dm²),2006-01-01,
