id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1989-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1989-01-01,2006-01-01
-1,nicht erhoben,Merkmal nicht erhoben,2006-01-01,
n,N,"Nord (337,5 - <22,5 Grad bzw. 375 - <25 Gon)",2006-01-01,
no,NO,"Nord-Ost (22,5 - <67,5 Grad bzw. 25 - <75 Gon)",2006-01-01,
o,O,"Ost (67,5 - <112,5 Grad bzw. 75 - <125 Gon)",2006-01-01,
so,SO,"Süd-Ost (112,5 - <157,5 Grad bzw. 125 - <175 Gon)",2006-01-01,
s,S,"Süd (157,5 - <202,5 Grad bzw. 175 - <225 Gon)",2006-01-01,
sw,SW,"Süd-West (202,5 - <247,5 Grad bzw. 225 - <275 Gon)",2006-01-01,
w,W,"West (247,5 - <292,5 Grad bzw. 275 - <325 Gon)",2006-01-01,
nw,NW,"Nord-West (292,5 - <337,5 Grad bzw. 325 - <375 Gon)",2006-01-01,
fla,FLA,flach,2006-01-01,
