bund_nr,pk_nr,lfd_nr,bart,hoehe,grklasse
50003,4,9,dgl,510,3
50003,4,11,dgl,580,2
50003,2,2,vbe,630,1
50003,2,3,vbe,710,2
50003,2,4,vbe,770,2
50003,2,5,dgl,610,2
50003,2,6,vbe,830,2
50003,2,7,vbe,690,1
50003,2,8,vbe,650,1
50003,2,9,vbe,670,1
50003,2,10,vbe,780,2
50003,3,1,vbe,630,2
50003,3,2,vbe,610,1
50003,3,3,dgl,660,2
50003,3,4,dgl,720,3
50003,3,5,vbe,300,1
50003,3,6,vbe,710,2
50003,3,7,gfi,520,3
50003,3,8,vbe,620,2
50003,3,9,vbe,660,2
50003,3,10,dgl,810,3
50003,4,1,vbe,300,1
50003,4,2,vbe,660,1
50003,4,3,vbe,710,2
50003,4,4,vbe,780,2
50003,4,5,vbe,670,1
50003,4,6,vbe,730,2
50003,4,7,dgl,630,1
50003,4,8,gfi,250,1
50003,4,10,gfi,400,1
50003,1,1,vbe,640,3
50003,1,2,vbe,390,1
50003,1,3,vbe,660,2
50003,1,4,gfi,80,0
50003,1,5,vbe,60,0
50003,1,6,vbe,660,1
50003,1,7,vbe,410,1
50003,1,8,vbe,660,3
50003,1,9,vbe,690,1
50003,2,1,vbe,740,1
50004,4,5,gfi,20,0
50004,4,4,gfi,20,0
50004,4,3,gfi,20,0
50004,4,2,gfi,20,0
50004,4,1,gfi,30,0
50004,3,5,dgl,40,0
50004,3,4,dgl,40,0
50004,3,3,gfi,20,0
50004,3,2,gfi,30,0
50004,3,1,gfi,20,0
50004,2,6,dgl,20,0
50004,2,5,dgl,20,0
50004,2,4,dgl,30,0
50004,2,3,gfi,20,0
50004,2,2,dgl,50,0
50004,2,1,dgl,20,0
50004,1,12,gfi,20,0
50004,1,11,gfi,30,0
50004,1,10,dgl,40,0
50004,1,9,gfi,20,0
50004,1,8,gfi,20,0
50004,1,7,gfi,20,0
50004,1,1,gfi,20,0
50004,1,2,gfi,20,0
50004,1,3,gfi,30,0
50004,1,4,gfi,20,0
50004,1,5,gfi,20,0
50004,1,6,gfi,20,0
50005,3,2,rei,20,0
50005,1,6,rbu,20,0
50005,1,7,rbu,20,0
50005,1,8,rbu,20,0
50005,1,9,rei,20,0
50005,1,10,eib,20,0
50005,2,1,bah,20,0
50005,2,2,rei,20,0
50005,2,3,bah,20,0
50005,2,4,rei,20,0
50005,2,5,eib,40,0
50005,2,6,eib,40,0
50005,2,7,rbu,30,0
50005,2,8,eib,40,0
50005,2,9,rbu,20,0
50005,2,10,rbu,20,0
50005,3,1,sah,20,0
50005,4,9,vbe,50,0
50005,4,8,hbu,20,0
50005,4,7,rbu,30,0
50005,4,6,bah,20,0
50005,4,5,vbe,30,0
50005,4,4,sah,30,0
50005,4,3,eib,60,0
50005,4,2,bah,20,0
50005,4,1,rbu,70,0
50005,3,10,rei,20,0
50005,3,9,bah,30,0
50005,3,8,vbe,20,0
50005,3,7,bah,60,0
50005,3,6,bah,20,0
50005,3,5,rbu,20,0
50005,4,10,rbu,30,0
50005,3,4,rbu,20,0
50005,3,3,vbe,20,0
50005,1,5,bah,20,0
50005,1,1,bah,20,0
50005,1,2,rbu,20,0
50005,1,3,rbu,20,0
50005,1,4,bah,20,0
50006,4,1,rei,830,3
50006,2,1,rbu,480,3
50007,3,5,bah,500,1
50007,3,6,as,130,1
50007,3,7,vbe,260,1
50007,3,8,as,220,1
50007,3,9,as,380,1
50007,3,10,as,200,1
50007,4,1,vbe,350,1
50007,4,2,as,300,1
50007,4,3,bah,220,1
50007,4,4,bah,250,1
50007,4,5,bah,400,1
50007,4,6,bah,240,1
50007,4,7,bah,130,1
50007,4,8,bah,450,1
50007,4,9,bah,220,1
50007,4,10,bah,120,0
50007,1,1,ges,70,0
50007,1,2,bah,80,0
50007,1,3,bah,110,0
50007,1,4,sbi,730,1
50007,1,5,bah,110,0
50007,1,6,bah,30,0
50007,1,7,bah,100,0
50007,1,8,bah,220,1
50007,3,2,ser,300,1
50007,3,4,as,240,1
50007,2,10,as,100,0
50007,3,1,as,160,1
50007,3,3,vbe,250,1
50007,1,9,bah,140,1
