bund_nr,team,datum,domstreuart,astreuart,domhumusform_ka6,ahumusform_ka6,domhumusform_ka5,ahumusform_ka5
50001,Dickhof,2006-08-30,vn,-9,-9,-9,moa,-9
50002,Dickhof,2006-08-22,vgn,-9,-9,-9,mor,gmo
50003,Milbert / Rieder,2006-10-06,vgbn,vbn,-9,-9,gmo,moa
50004,Milbert / Rieder,2006-10-19,vn,-9,-9,-9,mrr,mra
50005,Dickhof,2006-06-30,vb,vbn,-9,-9,mom,muo
50006,Dickhof,2006-08-21,vb,-9,-9,-9,moa,mof
50007,Dickhof,2006-08-28,vb,-9,-9,-9,muo,mom
50008,Milbert / Busch,2006-09-07,vgn,-9,-9,-9,moa,gmo
50009,Milbert / rieder,2006-10-05,vn,-9,-9,-9,mor,mrr
50010,Milbert / Rieder,2006-10-12,vbn,vgbn,-9,-9,muo,-9
50011,Milbert / Rieder,2006-10-17,vb,-9,-9,-9,moa,mor
50012,Dickhof,2006-08-23,vbg,-9,-9,-9,mof,mom
50013,Dickhof,2006-06-29,vb,-9,-9,-9,moa,-9
50014,Dickhof,2006-08-29,vb,-9,-9,-9,mor,moa
50015,Milbert/Rieder,2006-10-04,vgn,vn,-9,-9,muo,-9
50016,Milbert,2006-10-02,vb,-9,-9,-9,moa,muo
50017,Milbert / Rieder,2006-10-11,vb,-9,-9,-9,muo,-9
50018,Milbert / Busch,2006-09-11,vgn,-9,-9,-9,mor,-9
50019,Milbert / Busch,2006-09-05,vn,-9,-9,-9,moa,mra
50020,Milbert / Busch,2006-08-30,vn,vgn,-9,-9,muo,moa
50021,Milbert / Busch,2006-09-12,vgbn,vbn,-9,-9,muo,mut
50022,Milbert / Busch,2006-08-29,vbn,vgbn,-9,-9,mom,gmo
50023,Milbert / Busch,2006-08-31,vbn,-9,-9,-9,muo,-9
50024,Dickhof,2006-08-16,vb,-9,-9,-9,mor,moa
50025,Dickhof,2006-08-15,vb,-9,-9,-9,mom,moa
50026,Hoffmann,2006-04-19,vb,-9,-9,-9,muo,-9
50027,Hoffmann,2006-08-08,vbn,-9,-9,-9,mrr,muo
50028,Milbert / Busch,2006-09-13,vbn,-9,-9,-9,muo,moa
50029,Dickhof,2006-08-09,vn,-9,-9,-9,mom,moa
50030,Dickhof,2006-08-07,vb,-9,-9,-9,mor,moa
50031,Hoffmann,2006-07-06,vb,-9,-9,-9,muo,mrr
50032,Milbert / Busch,2006-09-20,vn,-9,-9,-9,muo,mom
50033,Dickhof,2006-08-14,vb,-9,-9,-9,mut,-9
50034,Richter,2006-06-09,vb,-9,-9,-9,moa,mor
50035,Hoffmann,2006-08-03,vn,-9,-9,-9,mot,mrr
50036,Richter,2006-05-16,vgbn,-9,-9,-9,mrr,mra
50037,Richter,2006-05-24,vb,-9,-9,-9,moa,mor
50038,Dickhof,2006-08-01,vb,vbn,-9,-9,moa,mor
50039,Dickhof,2006-08-08,vb,-9,-9,-9,mut,-9
50040,Hoffmann,2006-04-27,vb,-9,-9,-9,muo,mom
50041,Richter,2006-05-22,vn,vbn,-9,-9,mom,moa
50042,Dickhof,2006-08-03,vn,vbn,-9,-9,mom,moa
50043,Dickhof,2006-07-25,vbn,-9,-9,-9,moa,mor
50044,Richter,2006-05-11,vgn,vgbn,-9,-9,mom,moa
50045,Hoffmann,2006-04-26,vbn,-9,-9,-9,mra,roa
50046,Richter,2007-04-25,vb,-9,-9,-9,moa,muo
50047,Dickhof,2006-07-18,vn,vgn,-9,-9,moa,mor
50048,Dickhof,2006-07-05,vn,-9,-9,-9,moa,mom
50049,Richter,2006-06-01,vn,-9,-9,-9,mor,moa
50050,Dickhof,2006-07-24,vbn,vb,-9,-9,mom,moa
50051,Hoffmann,2006-06-28,vb,-9,-9,-9,ror,mrr
50052,Richter,2006-05-23,vbg,vb,-9,-9,mom,-9
50053,Koch,2006-09-12,vn,-9,-9,-9,moa,mor
50054,Richter,2007-05-21,vbg,vb,-9,-9,moa,mor
50055,Richter,2006-06-07,vb,-9,-9,-9,moa,mor
50056,Richter,2007-05-23,vb,-9,-9,-9,moa,-9
50057,Richter,2006-06-21,vb,-9,-9,-9,mra,mor
50058,Hoffmann,2006-06-29,vb,-9,-9,-9,mut,-9
50059,Dickhof,2006-07-17,vb,vbn,-9,-9,moa,mom
50060,Koch,2006-10-09,vw,vbn,-9,-9,gmo,muo
50061,Richter,2006-06-08,vn,-9,-9,-9,moa,mor
50062,Richter,2006-06-20,vbg,vb,-9,-9,mom,moa
50063,Hoffmann,2006-07-04,vb,vbn,-9,-9,mom,moa
50064,Hoffmann,2006-05-17,vb,-9,-9,-9,mra,mrr
50065,Koch,2006-11-08,vbn,-9,-9,-9,muo,-9
50066,Koch,2006-10-16,vn,-9,-9,-9,moa,muo
50067,Koch,2006-10-10,vb,-9,-9,-9,muo,-9
50068,Koch,2006-08-25,vb,-9,-9,-9,muo,-9
50069,Hoffmann,2006-06-26,vb,-9,-9,-9,muo,mut
50070,Hoffmann,2006-08-01,vn,vbn,-9,-9,muo,mom
50071,Koch,2006-10-12,vn,-9,-9,-9,mom,muo
50072,Koch,2006-11-20,vn,-9,-9,-9,moa,mra
50073,Koch,2006-11-20,vn,-9,-9,-9,mom,muo
50074,Dickhof,2006-07-04,vn,-9,-9,-9,moa,mom
50075,Dickhof,2006-07-11,vn,-9,-9,-9,moa,mor
50076,Koch,2006-08-21,vn,-9,-9,-9,mor,mra
50077,Hoffmann,2006-05-23,vb,-9,-9,-9,mut,-9
50078,Hoffmann,2006-05-12,vn,-9,-9,-9,muo,mor
50079,Koch,2006-10-23,vn,vbn,-9,-9,mrr,mra
50080,Koch,2006-10-18,vgn,vw,-9,-9,gmo,mr
50081,Koch,2006-11-06,vn,-9,-9,-9,mor,mrr
50082,Koch,2006-10-17,vgn,vn,-9,-9,gmo,mom
50083,Koch,2006-11-08,vn,-9,-9,-9,moa,mor
50084,Dickhof,2006-07-12,vn,-9,-9,-9,moa,mor
50085,Koch,2006-08-18,vn,-9,-9,-9,mor,mra
50086,Koch,2006-08-15,vb,-9,-9,-9,muo,mom
50087,Hoffmann,2006-08-03,vb,-9,-9,-9,muo,-9
50088,Koch,2006-11-06,vn,vbn,-9,-9,moa,mr
50089,Siegert,2006-07-26,vgbn,vbn,-9,-9,gmo,mra
50090,Koch,2006-11-14,vn,-9,-9,-9,mor,-9
50091,Dickhof,2006-07-03,vn,-9,-9,-9,mor,moa
50092,Koch,2006-08-08,vw,vn,-9,-9,gmo,mra
50093,Koch,2006-08-01,vb,-9,-9,-9,moa,muo
50094,Siegert,2006-07-27,vn,-9,-9,-9,moa,mor
50095,Siegert,2006-09-29,vbn,-9,-9,-9,mor,moa
50096,Siegert,2006-07-18,vbn,-9,-9,-9,mor,moa
50097,Siegert,2006-09-06,vbn,-9,-9,-9,mor,muo
50098,Siegert,2006-09-15,vbn,-9,-9,-9,mor,mrr
50099,Koch,2006-08-09,vb,-9,-9,-9,mom,moa
50100,Koch,2006-08-03,vn,-9,-9,-9,mra,moa
50101,Siegert,2006-09-11,vn,vbn,-9,-9,moa,mor
50102,Milbert / Gommer,2006-06-27,vb,-9,-9,-9,muo,moa
50103,Siegert,2006-07-20,vn,vbn,-9,-9,moa,mra
50104,Siegert,2006-09-07,vbn,-9,-9,-9,mra,mor
50105,Siegert,2006-07-05,vb,-9,-9,-9,mor,moa
50106,Siegert,2006-07-03,vb,-9,-9,-9,mor,moa
50107,Koch,2006-08-14,vn,-9,-9,-9,mor,moa
50108,Siegert,2006-07-14,vb,-9,-9,-9,muo,-9
50109,Milbert,2006-06-28,vn,vbn,-9,-9,moa,muo
50110,Siegert,2006-10-10,vbn,-9,-9,-9,muo,gmo
50111,Siegert,2006-08-28,vbn,-9,-9,-9,moa,mor
50112,Siegert,2006-09-13,vn,vbn,-9,-9,moa,mor
50113,Milbert,2006-08-09,vbg,-9,-9,-9,mut,-9
50114,Siegert,2006-07-07,vbn,-9,-9,-9,mor,-9
50115,Siegert,2006-08-29,vbn,-9,-9,-9,muo,-9
50116,Milbert / Gommer,2006-08-01,vb,-9,-9,-9,muo,-9
50117,Milbert,2006-08-08,vb,-9,-9,-9,mom,muo
50118,Milbert / Gommer,2006-08-01,vb,-9,-9,-9,muo,mor
50119,Siegert,2006-09-04,vb,-9,-9,-9,muo,-9
50120,Siegert,2006-09-05,vn,vgn,-9,-9,mrr,mor
50121,Siegert,2006-07-11,vbn,-9,-9,-9,muo,mom
50122,Milbert,2006-08-07,vbn,-9,-9,-9,muo,mut
50123,Milbert,2008-08-05,vn,vgn,-9,-9,moa,mor
50124,Pahlke / Milbert / Gommer,2006-08-15,vb,vbn,-9,-9,moa,muo
50125,Milbert / Gommer,2006-06-29,vbn,vgbn,-9,-9,moa,muo
50126,Koch,2006-11-22,vb,-9,-9,-9,muo,mut
50127,Koch,2006-11-28,vb,-9,-9,-9,mut,muo
50128,Milbert,2006-08-01,vn,vbn,-9,-9,muo,mom
50129,Koch,2006-10-24,vn,-9,-9,-9,roa,mra
50130,Koch,2006-10-30,vb,-9,-9,-9,muo,-9
50131,Koch,2006-11-27,vb,-9,-9,-9,muo,mom
50132,Milbert,2006-07-26,vb,-9,-9,-9,moa,muo
50133,Milbert,2006-07-24,vb,-9,-9,-9,moa,muo
50134,Koch,2006-08-25,vn,-9,-9,-9,muo,moa
50135,Koch,2006-11-15,vn,-9,-9,-9,muo,mom
50136,Koch,2006-11-22,vb,vbg,-9,-9,muo,-9
50137,Milbert,2006-07-31,vb,-9,-9,-9,muo,-9
50138,Koch,2006-11-15,vb,vbg,-9,-9,muo,-9
50139,Koch,2006-10-31,vb,-9,-9,-9,muo,-9
50140,Milbert,2006-08-02,vb,-9,-9,-9,muo,mom
50141,Dickhof,2007-04-18,vb,-9,-9,-9,mut,muo
50142,Richter,2006-05-30,vb,-9,-9,-9,moa,mom
50143,Koch,2007-05-18,vb,-9,-9,-9,mut,muo
50144,Richter,2006-08-15,vn,-9,-9,-9,moa,mom
50145,Siegert,2006-09-27,vn,-9,-9,-9,muo,-9
