bund_nr,othori,uthori,uz,farbe,humus,kalk,hydrooxid,hydrooxidanteil,hydrored,hydroredanteil,geform,aggroesse,pedogen,wurzelintfein,wurzelintgrob,wurzelverteil
50001,0,5,,5YR2.5/1,h4,c0,e0,-2,r0,-2,sub,gre3,-1,wf3,wg0,g
50001,5,9,,5YR3/2,h3,c0,e0,-2,r0,-2,sub,gre3,-1,wf3,wg0,g
50001,9,40,,10YR4/4,h2,c0,e0,-2,r0,-2,sub,gre3,-1,wf4,wg0,g
50001,40,60,,10YR5/4,h1,c0,e0,-2,r0,-2,sub,gre3,-1,wf4,wg0,g
50001,60,75,,10YR6/4,h0,c0,eh,f3,rb,f2,sub,gre3,-1,wf4,wg0,g
50001,75,200,True,7.5YR5/8,h0,c0,eo,f8,rb,f2,ein,-1,-1,wf2,wg0,g
50002,0,10,,7.5YR6/2,h2,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg0,g
50002,10,18,,7.5YR4/4,h3,c0,e0,-2,r0,-2,sub,gre4,-1,wf4,wg0,g
50002,18,75,,10YR6/6,h1,c0,e0,-2,r0,-2,ein,-1,-1,wf4,wg0,g
50002,75,125,,10YR7/4,h0,c0,eh,f3,rb,f4,ein,-1,-1,wf2,wg0,g
50002,125,145,,5YR4/6,h0,c0,ed,f6,rb,f4,kit,gre3,-1,wf3,wg0,g
50002,145,200,True,7.5YR5/8,h0,c0,ed,f6,r0,-2,sub,gre3,-1,wf0,wg0,g
50003,0,10,,5YR3/2,h4,c0,e0,-2,r0,-2,sub,gre3,-1,wf3,wg0,g
50003,10,60,,10YR5/4,h0,c0,e0,-2,r0,-2,sub,gre3,-1,wf3,wg0,g
50003,60,120,True,2.5YR5/4,h0,c0,e0,-2,r0,-2,sub,gre3,-1,wf2,wg0,g
50004,0,10,,5YR6/2,h4,c0,e0,-2,r0,-2,sub,gre2,-1,wf2,wg0,g
50004,10,30,,7.5YR6/6,h2,c0,e0,-2,r0,-2,pol,gre3,-1,wf3,wg0,g
50004,30,80,,7.5YR5/8,h2,c0,eh,f7,rb,f4,pol,gre3,-1,wf2,wg0,u
50004,80,100,True,2.5YR4/0,h0,c0,ed,f5,r0,-2,shi,gra2,-1,wf1,wg0,u
50005,0,30,,10YR4/3,h3,c0,e0,-2,r0,-2,sub,gre2,-1,wf5,wg0,g
50005,30,50,,10YR5/8,h0,c0,e0,-2,r0,-2,sub,gre2,-1,wf3,wg0,g
50005,50,140,,7.5YR6/6,h0,c0,e0,-2,r0,-2,ein,-1,-1,wf2,wg0,g
50006,0,5,,7.5YR4/1,h3,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
