bund_nr,ort,b1,b2,ss,ks,ms,bos,ls
50001,z,25.0,0.0,0.0,95.0,0.0,-9.0,-9.0
50002,z,65.0,0.0,0.0,70.0,25.0,-9.0,-9.0
50003,z,0.0,0.0,60.0,25.0,5.0,-9.0,-9.0
50004,z,30.0,0.0,1.0,25.0,10.0,-9.0,-9.0
50005,z,90.0,6.0,1.0,30.0,1.0,-9.0,-9.0
50006,z,85.0,15.0,0.0,1.0,1.0,-9.0,-9.0
50007,z,15.0,80.0,5.0,75.0,15.0,-9.0,-9.0
50008,z,40.0,0.0,1.0,80.0,5.0,-9.0,-9.0
50009,z,50.0,0.0,1.0,60.0,2.0,-9.0,-9.0
50010,z,0.0,0.0,2.0,95.0,1.0,-9.0,-9.0
50011,z,80.0,3.0,0.0,0.0,0.1,-9.0,-9.0
50011,z,70.0,5.0,0.1,1.0,0.1,-9.0,-9.0
50012,z,55.0,2.0,7.0,90.0,1.0,-9.0,-9.0
50013,z,85.0,0.0,1.0,90.0,0.0,-9.0,-9.0
50014,z,75.0,4.0,6.0,75.0,1.0,-9.0,-9.0
50015,z,60.0,0.0,4.0,20.0,5.0,-9.0,-9.0
50016,z,80.0,0.0,0.0,2.0,0.1,-9.0,-9.0
50017,z,75.0,3.0,0.1,30.0,1.0,-9.0,-9.0
50018,z,0.0,0.0,25.0,70.0,0.1,-9.0,-9.0
50019,z,60.0,0.0,0.0,1.0,20.0,-9.0,-9.0
50020,z,55.0,2.0,4.0,95.0,1.0,-9.0,-9.0
50021,z,15.0,0.0,10.0,95.0,0.1,-9.0,-9.0
50022,z,55.0,3.0,2.0,30.0,15.0,-9.0,-9.0
50023,z,25.0,80.0,2.0,0.1,0.1,-9.0,-9.0
50024,z,90.0,0.0,1.0,45.0,1.0,-9.0,-9.0
50025,z,80.0,0.0,2.0,80.0,1.0,-9.0,-9.0
50026,z,15.0,85.0,4.0,8.0,1.0,-9.0,-9.0
50027,z,85.0,15.0,1.0,40.0,1.0,-9.0,-9.0
50027,z,60.0,10.0,10.0,35.0,5.0,-9.0,-9.0
50028,z,85.0,5.0,35.0,2.0,1.0,-9.0,-9.0
50029,z,80.0,0.0,1.0,1.0,1.0,-9.0,-9.0
50030,z,70.0,2.0,1.0,2.0,1.0,-9.0,-9.0
50031,z,50.0,90.0,0.0,1.0,1.0,-9.0,-9.0
50032,z,90.0,2.0,0.0,1.0,1.0,-9.0,-9.0
50033,z,75.0,15.0,10.0,80.0,35.0,-9.0,-9.0
50033,z,50.0,20.0,30.0,40.0,30.0,-9.0,-9.0
50034,z,90.0,0.0,70.0,1.0,1.0,-9.0,-9.0
50035,z,30.0,0.0,3.0,90.0,20.0,-9.0,-9.0
50036,z,30.0,30.0,2.0,85.0,1.0,-9.0,-9.0
50037,z,85.0,45.0,1.0,20.0,0.0,-9.0,-9.0
50038,z,95.0,5.0,1.0,1.0,1.0,-9.0,-9.0
50039,z,70.0,15.0,45.0,25.0,30.0,-9.0,-9.0
50040,z,75.0,20.0,1.0,60.0,1.0,-9.0,-9.0
50041,z,90.0,0.0,0.0,1.0,1.0,-9.0,-9.0
50042,z,35.0,8.0,25.0,70.0,10.0,-9.0,-9.0
50043,z,55.0,75.0,1.0,1.0,1.0,-9.0,-9.0
50044,z,0.0,0.0,70.0,50.0,1.0,-9.0,-9.0
50045,z,30.0,80.0,0.0,1.0,0.0,-9.0,-9.0
50046,z,90.0,6.0,1.0,2.0,1.0,-9.0,-9.0
50047,z,60.0,0.0,1.0,15.0,10.0,-9.0,-9.0
50047,z,70.0,1.0,2.0,30.0,15.0,-9.0,-9.0
50048,z,95.0,0.0,0.0,0.0,0.1,-9.0,-9.0
50049,z,65.0,0.0,0.0,0.1,2.0,-9.0,-9.0
50050,z,50.0,0.0,0.0,90.0,10.0,-9.0,-9.0
50051,z,70.0,0.0,70.0,50.0,0.0,-9.0,-9.0
