bund_nr,jahr,mittel,menge,n_ha,p_ha,k_ha,mg_ha,ca_ha,technik,einarbeitung,abdeckung
50001,1994-01-01,122,3000,,,,250,750,1,0,1
50008,2005-01-01,122,3000,,,,250,750,1,0,1
50015,2003-01-01,122,3000,,,,250,750,1,0,1
50016,1991-01-01,122,3000,,,,250,750,1,0,1
50018,2004-01-01,122,3000,,,,250,750,1,0,1
50018,2005-01-01,122,3000,,,,250,750,1,0,1
50025,2001-01-01,122,3000,,,,250,750,1,0,1
50026,2001-01-01,122,3000,,,,250,750,1,0,1
50027,1995-01-01,122,3000,,,,250,750,1,0,1
50032,1991-01-01,122,3000,,,,250,750,1,0,1
50053,2003-01-01,122,3000,,,,250,750,1,0,1
50060,2000-01-01,122,3000,,,,250,750,1,0,1
50062,2003-01-01,122,3000,,,,250,750,1,0,1
50065,1999-01-01,122,3000,,,,250,750,1,0,1
50066,1992-01-01,122,3000,,,,250,750,1,0,1
50067,1992-01-01,122,3000,,,,250,750,1,0,1
50071,2000-01-01,122,3000,,,,250,750,1,0,1
50072,1995-01-01,122,3000,,,,250,750,1,0,1
50072,2001-01-01,122,3000,,,,250,750,1,0,1
50079,1994-01-01,122,3000,,,,750,250,1,0,1
50079,2004-01-01,122,3000,,,,750,250,1,0,1
50080,1991-01-01,122,3000,,,,250,750,1,0,1
50080,2000-01-01,122,3000,,,,250,750,1,0,1
50082,2003-01-01,122,3000,,,,250,750,1,0,1
50083,1994-01-01,122,3000,,,,250,750,1,0,1
50084,1990-01-01,122,3000,,,,250,750,1,0,1
50085,2002-01-01,122,3000,,,,250,750,1,0,1
50086,1990-01-01,122,3000,,,,250,750,1,0,1
50086,2000-01-01,122,3000,,,,250,750,1,0,1
50090,2000-01-01,122,3000,,,,250,750,1,0,1
50091,2001-01-01,122,3000,,,,250,750,1,0,1
50093,2003-01-01,122,3000,,,,250,750,1,0,1
50094,2001-01-01,122,3000,,,,250,750,1,0,1
50097,1996-01-01,122,3000,,,,250,750,1,0,1
50098,2002-01-01,122,3000,,,,250,750,1,0,1
50105,2000-01-01,122,3000,,,,250,750,1,0,1
50106,1995-01-01,122,3000,,,,250,750,1,0,1
50106,2003-01-01,122,3000,,,,250,750,1,0,1
50108,2003-01-01,122,3000,,,,250,750,1,0,1
50110,1992-01-01,122,3000,,,,250,750,1,0,1
50112,1993-01-01,122,3000,,,,250,750,1,0,1
50114,2000-01-01,122,3000,,,,250,750,1,0,1
50120,1990-01-01,122,3000,,,,250,750,1,0,1
