bund_nr,bodenbearb
50001,0
50002,0
50003,0
50004,0
50005,0
50006,17
50007,13
50008,0
50009,0
50010,0
50011,0
50012,0
50013,0
50014,13
50015,0
50016,0
50017,0
50018,0
50019,0
50020,0
50021,0
50022,0
50023,0
50024,0
50025,0
50026,13
50027,17
50028,0
50029,0
50030,0
50031,17
50032,0
50033,0
50034,0
50035,13
50036,0
50037,0
50038,0
50039,0
50040,0
50041,0
50042,0
50043,0
50044,0
50045,0
50046,0
50047,0
50048,0
50049,0
50050,0
50051,13
50052,0
50053,0
50054,0
50055,0
50056,0
50057,0
50058,0
50059,0
50060,0
50061,0
50062,0
50063,0
50064,0
50065,0
50066,0
50067,0
50068,0
50069,0
50070,0
50071,0
50072,0
50073,0
50074,0
50075,0
50076,0
50077,0
50078,0
50079,0
50080,0
50081,0
50082,0
50083,0
50084,0
50085,0
50086,0
50087,0
50088,0
50089,0
50090,0
50091,0
50092,0
50093,0
50094,0
50095,0
50096,0
50097,0
50098,0
50099,0
50100,0
50101,0
50102,0
50103,0
50104,0
50105,0
50106,0
50107,0
50108,0
50109,1
50110,0
50111,0
50112,0
50113,0
50114,0
50115,0
50116,0
50117,0
50118,1
50119,0
50120,0
50121,15
50122,1
50123,15
50124,13
50125,0
50126,0
50127,0
50128,0
50129,0
50130,0
50131,0
50132,0
50133,0
50134,0
50135,0
50136,0
50137,0
50138,1
50139,0
50140,99
50141,0
50142,0
50143,0
50144,0
50145,0
50146,0
