bund_nr,labor,labornr,methode,parameter,messnr,datum,wert,nwg,laboreinheit,methcode1,methcode2,methcode3,atyp,lab_quelle
140001,220,200600502,2,60,1,2007-01-16,4.04,-2.0,-,2300620000,02401500,1100000,10,2
140001,220,200600503,2,60,1,2007-01-16,4.19,-2.0,-,2300620000,02401500,1100000,10,2
140001,220,200600504,2,60,1,2007-01-16,4.41,-2.0,-,2300620000,02401500,1100000,10,2
140001,220,200600505,2,60,1,2007-01-16,4.47,-2.0,-,2300620000,02401500,1100000,10,2
140001,220,200600506,2,60,1,2007-01-16,4.49,-2.0,-,2300620000,02401500,1100000,10,2
140001,220,200600507,2,60,1,2007-01-16,4.49,-2.0,-,2300620000,02401500,1100000,30,2
140001,220,200600508,2,60,1,2007-01-16,4.49,-2.0,-,2300620000,02401500,1100000,30,2
140001,220,200630187,2,60,1,2007-01-16,5.1,-2.0,-,2300620000,02401500,1100000,31,2
140001,220,200630188,2,60,1,2007-01-16,4.11,-2.0,-,2300620000,02401500,1100000,31,2
140001,220,200600502,4,60,1,2007-01-16,3.42,-2.0,-,2300620000,04281500,1100000,10,2
140001,220,200600503,4,60,1,2007-01-16,3.66,-2.0,-,2300620000,04281500,1100000,10,2
140001,220,200600504,4,60,1,2007-01-16,4.06,-2.0,-,2300620000,04281500,1100000,10,2
140001,220,200600505,4,60,1,2007-01-16,4.37,-2.0,-,2300620000,04281500,1100000,10,2
140001,220,200600506,4,60,1,2007-01-16,4.36,-2.0,-,2300620000,04281500,1100000,10,2
140001,220,200600507,4,60,1,2007-01-16,4.37,-2.0,-,2300620000,04281500,1100000,30,2
140001,220,200600508,4,60,1,2007-01-16,4.32,-2.0,-,2300620000,04281500,1100000,30,2
140001,220,200630187,4,60,1,2007-01-16,4.46,-2.0,-,2300620000,04281500,1100000,31,2
140001,220,200630188,4,60,1,2007-01-16,3.38,-2.0,-,2300620000,04281500,1100000,31,2
140001,220,200600502,7,60,1,2007-01-16,3.45,-2.0,-,2300620000,07031500,1100000,10,2
