bund_nr,team,datum,gruendigkeit,gruendigkeit_z,aktuellgrundwstand,scheinbgrundwstand,bodentyp,podsoligkeit,anmerkung,team_mbp,datum_mbp,team_mbc,datum_mbc,anmerkung_mbp,anmerkung_mbc
140001,Heinkele;Martin,2006-10-03,90,True,-9,,bb,-9,"4. Horizont, Ausgangsgestein, 1. Komponente: Sandsteinzersatz, Stratigraphie aus GK übernehmen",-9,1970-01-01,Heinkele;Martin,2006-10-03,,
140002,Heinkele;Martin,2006-10-03,70,,-9,,bb,-9,,-9,1970-01-01,Heinkele;Martin,2006-10-03,,
140003,Heinkele;Martin,2006-10-04,80,,-9,,bb-ss,-9,Stratigraphie für Cv-Sd aus geol.Karte,-9,1970-01-01,Heinkele;Martin,2006-10-04,,
140004,Heinkele;Martin,2006-10-04,20,,-9,,bb,-9,an rückwärtiger Profilseite: 0-20: Ah-Bv; 20-40 Sw; >40: mC; Bodenart: SS,-9,1970-01-01,Heinkele;Martin,2006-10-04,,
140005,Heinkele;Martin,2006-10-02,90,True,-9,,ss,-9,"Bitte Rücksprache wg. Substrat, geolog. Karte",Heinkele;Martin,2006-10-02,Heinkele;Martin,2006-10-02,,
140006,Heinkele;Martin,2006-10-24,180,True,-9,,pp-gg,-9,"0-7 feucht: 10YR4/1; 7-38 : 7,5 YR7/4 + 5YR5/8; zu MBHG  Bodentyp: PP-rGG; reference soil group: Podsols, falls optische Dichte oder C-org- Gehalt erfüllt.",-9,1970-01-01,Heinkele;Martin,2006-10-24,,zusätzlich für Bio-Soil: Proben zur Farbbestimmung; Probe Bvs-Horizont zur Bestimmung der optischen Dichte
140007,Heinkele;Martin,2006-10-25,90,True,-9,,ss,p2,,-9,1970-01-01,Heinkele;Martin,2006-10-25,,
140008,Heinkele;Martin,2006-10-25,190,True,-9,,bb,p2,"0 - 16 cm: Farben: 10 YR 4/2 und 10 YR 5/1; 16-65 cm: Band, leicht aufgehellt Sl2 von 48 - 55 cm Skelettgehalte in Gew.-%",-9,1970-01-01,Heinkele;Martin,2006-10-25,,
140009,Heinkele;Martin,2006-10-18,180,True,180,,bb,p2,Kieslage 105-120 cm,-9,1970-01-01,Heinkele;Martin,2006-10-18,,
140010,Heinkele;Martin,2006-10-18,140,True,-9,,pp-gg,-9,"Oxidations/Reduktionsmerkmale sehr schwach ausgeprägt. Bänder Sl3in 46-48 und 77-78 cm , Nester Uu (15cm Durchm.)  in 80cm. Durch Tgb. Nochten intensiv entwässert.  Bodentyp: rGHn, aktuell: PP-GG.",-9,1970-01-01,Heinkele;Martin,2006-10-18,,
140011,Heinkele;Martin,2006-10-19,110,True,-9,,gg-pp,-9,"zu oxidierter Fläche 47-110 cm: Bänder, 1-2 cm mächtig, 7,5YR3/3; zu Bodentyp : GW abgesenkt",-9,1970-01-01,Heinkele;Martin,2006-01-19,,
140012,Heinkele;Martin,2006-10-23,130,True,-9,130,pp-gg,-9,"Am Profil starke Einmischung von Oh in oberen Mineralboden. Aeh-  und Ahe-Horizonte der BZE1-Aufnahme sind nicht auffindbar. Zu Ausgangsgestein, Schicht: oder 925 (f(qw), geol. Karte konsultieren.",-9,1970-01-01,Heinkele;Martin,2006-01-23,,
140013,Heinkele;Martin,2006-10-19,140,True,-9,,bb,p2,"linke Profilhälfte stark durch Bearbeitung gestört; zu MBHG:  Wägung 54-90 cm: <2mm 2800g, >2 mm 620 g; Wägung 90-140 cm:  <2 mm 1600g, >2 mm: 94g.",-9,1970-01-01,Heinkele;Martin,2006-10-19,,
140014,Heinkele;Martin,2006-01-20,140,True,-9,,yu,p2,"Grundwasserstand > 140 cm,  allerdings durch Bergbau abgesenkt.  4-46 cm: durch Bearbeitung Ahe-Material (10YR6/2) in Bv eingemischt. Bodentyp: YU reliktisch  vergleyt. Bitte Rücksprache wegen Horizontierung und Bodentyp.",-9,1970-01-01,Heinkele;Martin,2006-10-20,,
140015,Heinkele;Martin,2006-10-20,140,True,-9,,gg-pp,-9,"Gw-stand abgesenkt. Zu Bodentyp: Reliktischer Gley-Podsol. Zu MBC, 140-200cm: mit Borhset im Profil entnommen.",-9,1970-01-01,Heinkele;Martin,2006-10-20,,140-200 cm: mit Bohrset im Profil entnommen.
140016,Heinkele;Martin,2006-09-21,90,True,-9,,pp-bb,p2,"Bitte Rücksprache wegen Bodentyp; kein spodic-, kein cambic horizon, kein Arenosol, da zu hoher Skelettgehalt!",Heinkele;Martin,2006-09-21,Heinkele;Martin,2006-09-21,,
140017,Heinkele;Martin,2006-10-10,90,True,-9,,bb,p2,,-9,1970-01-01,Heinkele;Martin,2006-10-10,,
140018,Heinkele;Martin,2006-10-10,90,,-9,,bb,p2,,Heinkele;Martin,2006-10-10,Heinkele;Martin,2006-10-10,40-80 cm: Beprobung sehr schwierig,
140019,Heinkele;Martin,2006-10-09,140,True,-9,,bb,p2,"1) wechsellagernd mSfs, mSgs, gS (fG)",-9,1970-01-01,Heinkele;Martin,2006-10-09,,
140020,Heinkele;Martin,2006-10-09,160,True,160,160,pp-bb,p4,"zu MBH: Bodenart im Horizont 135-160: Tu4 und Uu lagenweise geschichtet; kein spodic horizon, Bodenart Sand  Arenosol !; soil unit adjective code: hyppalic, wenn Farbansprache trocken 10YR7/3; brunic; dystric,  wenn BS<50%",Heinkele;Martin,2006-10-09,Heinkele;Martin,2006-10-09,,
140021,Heinkele;Martin,2006-10-27,145,True,-9,,bb,p2,",",-9,1970-01-01,Heinkele;Martin,2006-10-27,,
140022,Heinkele;Martin,2006-10-26,85,True,-9,,bb-ss,-9,"25-55- cm: untergeordnet auch 10YR6/6; 55-85 cm: untergeordnet auch 7,5YR5/6",Heinkele;Martin,2006-10-26,Heinkele;Martin,2006-10-26,,
140023,Heinkele;Martin,2006-09-11,100,True,-9,,bb,-9,,Heinkele;Martin,2006-09-11,Heinkele;Martin,1970-01-01,,
140024,Heinkele;Martin,2006-09-11,90,True,-9,,bb,p2,"Bitte Rücksprache wg. Ausgangsgestein und Stratigraphie. Wie kommen die deutlich kanten-gerundeten Steine/Kiese und die recht zahlreichen Windkanter an diesen Ort? Siehe Probe ""140024-Steine""; zu Horizont4, Bodenart: Sl3 und Ls4",Heinkele;Martin,2006-09-11,Heinkele;Martin,2006-09-11,,
140025,Heinkele;Martin,2006-09-24,140,True,-9,,bb,p2,">90 cm: möglicherweise reliktischer Gr; > 90cm: geschichtet, offensichtlich anderes Substrat als Hangendes",Heinkele;Martin,2006-09-24,Heinkele;Martin,2006-09-24,,"stellenweise organische Substanz bis 80 cm;
im oberen Mineralboden (0-10 cm)  stellenweise Oh-Material lagenweise eingemischt"
140026,Heinkele;Martin,2006-09-19,90,True,-9,,bb,-9,"2. Komponente von Horizont  1und 2und 1. Komponente von Horizont 3 und 4:: Kieselschiefer, s. auch Aufnahme BZE 1",Heinkele;Martin,2006-09-19,Heinkele;Martin,2006-09-19,,
140027,Heinkele;Martin,2006-09-15,90,True,-9,,bb-ss,-9,,Heinkele;Martin,2006-09-15,Heinkele;Martin,2006-09-15,,
140028,Heinkele;Martin,2006-09-15,90,True,-9,,bb-pp,-9,"60-90 cm: Bänder, Sl3, 10YR6/6",-9,1970-01-01,Heinkele;Martin,2006-09-15,,
140029,Heinkele;Martin,2006-09-19,140,True,-9,,bb,-9,Ausgangsmaterial des Saprolites: mittelkörniger Lausitzer Granit; s. Aufnahme BZE1,-9,1970-01-01,Heinkele;Martin,2006-09-19,,
140030,Heinkele;Martin,2006-09-20,60,,-9,,pp,-9,ab 60 cm Blöcke,-9,1970-01-01,Heinkele;Martin,2006-09-20,,
140031,Heinkele;Martin,2006-09-20,90,True,-9,,bb-pp,-9,,Heinkele;Martin,2006-09-20,Heinkele;Martin,2006-09-20,,
140032,Heinkele;Martin,2006-09-21,80,True,-9,,bb,-9,Farbansprachen trocken,-9,1970-01-01,Heinkele;Martin,2006-09-21,,
140033,Heinkele;Martin,2006-09-12,85,True,-9,,ss,-9,,Heinkele;Martin,2006-09-12,Heinkele;Martin,2006-09-12,,
140034,Heinkele;Martin,1970-01-01,90,True,-9,,bb,-9,"Ausgangsgestein 1. Horizont , 2. Komponente: Biotit-Gneis, siehe Altaufnahme",Heinkele;Martin,2006-09-12,Heinkele;Martin,2006-09-12,,
140035,Heinkele;Martin,2006-09-13,90,True,-9,,bb,-9,,Heinkele;Martin,2006-09-13,Heinkele;Martin,2006-09-13,,
140036,Heinkele;Martin,2006-09-14,0,,-9,,fs,-9,,-9,1970-01-01,Heinkele;Martin,2006-09-14,,
140037,Heinkele;Martin,2006-09-13,75,,-9,,pp-bb,p2,"zu Ausgangsgestein, Komponente 520: Biotit/Muscovit-Gneis",Heinkele;Martin,2006-09-13,Heinkele;Martin,2006-09-13,,
