bund_nr,otprobe,utprobe,pr_art,probennr,lfd_nr
140001,0,5,ftg,200600502,1
140001,5,10,ftg,200600503,2
140001,10,30,ftg,200600504,3
140001,30,60,ftg,200600505,4
140001,60,90,pts,200600506,5
140002,0,5,ftg,200600509,1
140002,5,10,ftg,200600510,2
140002,10,30,ftg,200600511,3
140002,30,60,ftg,200600512,4
140003,0,5,ftg,200600516,1
140003,5,10,ftg,200600517,2
140003,10,30,ftg,200600518,3
140003,30,60,ftg,200600519,4
140003,60,90,ftg,200600520,5
140004,0,5,ftg,200600524,1
140004,5,10,ftg,200600525,2
140004,10,30,ftg,200600526,3
140004,30,60,ftg,200600527,4
140004,60,90,ftg,200600528,5
140005,0,5,ftg,200600495,1
140005,5,10,ftg,200600496,2
140005,10,30,ftg,200600497,3
140005,30,60,ftg,200600498,4
140005,60,90,ftg,200600499,5
140006,0,5,ftg,200600672,1
140006,5,10,ftg,200600673,2
140006,10,30,ftg,200600674,3
140006,30,60,ftg,200600675,4
140006,60,90,ftg,200600676,5
140006,90,140,pss,200600677,6
140006,140,200,pss,200600678,7
140007,0,5,ftg,200600711,1
140007,5,10,ftg,200600712,2
140007,10,30,ftg,200600713,3
140007,30,60,ftg,200600714,4
140007,60,90,ftg,200600715,5
140008,0,5,ftg,200600695,1
140008,5,10,ftg,200600696,2
140008,10,30,ftg,200600697,3
140008,30,60,ftg,200600698,4
140008,60,90,ftg,200600699,5
140008,90,140,pts,200600700,6
140008,140,200,pts,200600701,7
140009,0,5,ftg,200600590,1
140009,5,10,ftg,200600591,2
140009,10,30,ftg,200600592,3
140009,30,60,ftg,200600593,4
140009,60,90,ftg,200600594,5
140009,90,140,pts,200600595,6
140009,140,200,pts,200600596,7
140010,0,5,ftg,200600576,1
140010,5,10,ftg,200600577,2
140010,10,30,ftg,200600578,3
140010,30,60,ftg,200600579,4
140010,60,90,ftg,200600580,5
140010,90,140,pts,200600581,6
140011,0,5,ftg,200600616,1
140011,5,10,ftg,200600617,2
140011,10,30,ftg,200600618,3
140011,30,60,ftg,200600619,4
140011,60,90,ftg,200600620,5
140011,90,110,pts,200600621,6
140012,0,5,ftg,200600648,1
140012,5,10,ftg,200600649,2
140012,10,30,ftg,200600650,3
140012,30,60,ftg,200600651,4
140012,60,90,ftg,200600652,5
140012,90,130,pts,200600653,6
140013,0,5,ftg,200600602,1
140013,5,10,ftg,200600603,2
140013,10,30,ftg,200600604,3
140013,30,60,ftg,200600605,4
140013,60,90,ftg,200600606,5
140013,90,140,pts,200600607,6
140014,0,5,ftg,200600626,1
140014,5,10,ftg,200600627,2
140014,10,30,ftg,200600628,3
140014,30,60,ftg,200600629,4
140014,60,90,ftg,200600630,5
140014,90,140,pts,200600631,6
140015,0,5,ftg,200600636,1
140015,5,10,ftg,200600637,2
140015,10,30,ftg,200600638,3
140015,30,60,ftg,200600639,4
140015,60,90,ftg,200600640,5
140015,90,140,pts,200600641,6
140015,140,200,pts,200600642,7
140016,0,5,ftg,200600350,1
140016,5,10,ftg,200600351,2
140016,10,30,fhg,200600352,3
140016,30,60,pts,200600353,4
140016,60,90,pts,200600354,5
140017,0,5,ftg,200600569,1
140017,5,10,ftg,200600570,2
140017,10,30,ftg,200600571,3
140017,30,60,ftg,200600572,4
140017,60,90,pts,200600573,5
140018,0,5,ftg,200600557,1
140018,5,10,ftg,200600558,2
140018,10,30,ftg,200600559,3
140018,30,60,ftg,200600560,4
140018,60,90,pts,200600561,5
140019,0,5,ftg,200600547,1
140019,5,10,ftg,200600548,2
140019,10,30,ftg,200600549,3
140019,30,60,ftg,200600550,4
140019,60,90,ftg,200600551,5
140019,90,140,pts,200600552,6
140020,0,5,ftg,200600530,1
140020,5,10,ftg,200600531,2
140020,10,30,ftg,200600532,3
140020,30,60,ftg,200600533,4
140020,60,90,ftg,200600534,5
140020,90,140,pts,200600535,6
140020,140,160,pts,200600536,7
140021,0,5,ftg,200600731,1
140021,5,10,ftg,200600732,2
140021,10,30,ftg,200600733,3
140021,30,60,ftg,200600734,4
140021,60,90,ftg,200600735,5
140021,90,140,pts,200600736,6
140021,140,200,pts,200600737,7
140022,0,5,ftg,200600719,1
140022,5,10,ftg,200600720,2
140022,10,30,ftg,200600721,3
140022,30,60,ftg,200600722,4
140022,60,90,ftg,200600723,5
140023,0,5,ftg,200600240,1
140023,5,10,ftg,200600241,2
140023,10,30,ftg,200600242,3
140023,30,60,ftg,200600243,4
140023,60,90,ftg,200600244,5
140024,0,5,ftg,200600231,1
140024,5,10,ftg,200600232,2
140024,10,30,ftg,200600233,3
140024,30,60,ftg,200600234,4
140024,60,90,ftg,200600235,5
140024,90,100,pts,200600236,6
140025,0,5,ftg,200600406,1
140025,5,10,ftg,200600407,2
140025,10,30,ftg,200600408,3
140025,30,60,ftg,200600409,4
140025,60,90,ftg,200600410,5
140025,90,140,pts,200600411,6
140026,0,5,ftg,200600311,1
140026,5,10,ftg,200600312,2
140026,10,30,ftg,200600313,3
140026,30,60,pts,200600314,4
140026,60,90,pts,200600315,5
140027,0,5,ftg,200600294,1
140027,5,10,ftg,200600295,2
140027,10,30,ftg,200600296,3
140027,30,60,ftg,200600297,4
140027,60,90,ftg,200600298,5
140028,0,5,ftg,200600302,1
140028,5,10,ftg,200600303,2
140028,10,30,ftg,200600304,3
140028,30,60,ftg,200600305,4
140028,60,90,ftg,200600306,5
140029,0,5,ftg,200600319,1
140029,5,10,ftg,200600320,2
140029,10,30,ftg,200600321,3
140029,30,60,ftg,200600322,4
140029,60,90,ftg,200600323,5
140029,90,140,pts,200600324,6
140029,140,155,pts,200600325,7
140030,0,5,ftg,200600343,1
140030,5,10,ftg,200600344,2
140030,10,30,ftg,200600345,3
140030,30,60,ftg,200600346,4
140031,0,5,ftg,200600330,1
140031,5,10,ftg,200600331,2
140031,10,30,ftg,200600332,3
140031,30,60,ftg,200600333,4
140031,60,90,ftg,200600334,5
140032,0,5,ftg,200600362,1
140032,5,10,ftg,200600363,2
140032,10,30,ftg,200600364,3
140032,30,60,ftg,200600365,4
140032,60,90,ftg,200600366,5
140033,0,5,ftg,200600247,1
140033,5,10,ftg,200600248,2
140033,10,30,ftg,200600249,3
140033,30,60,ftg,200600250,4
140033,60,90,ftg,200600251,5
140034,0,5,ftg,200600258,1
140034,5,10,ftg,200600259,2
140034,10,30,ftg,200600260,3
140034,30,60,pts,200600261,4
140034,60,90,pts,200600262,5
140035,0,5,ftg,200600272,1
140035,5,10,ftg,200600273,2
140035,10,30,ftg,200600274,3
140035,30,60,ftg,200600275,4
140035,60,90,pts,200600276,5
140036,0,5,ftg,200600279,1
140036,5,10,ftg,200600280,2
140036,10,30,ftg,200600281,3
140036,30,60,ftg,200600282,4
140037,0,5,ftg,200600265,1
140037,5,10,ftg,200600266,2
140037,10,30,ftg,200600267,3
140037,30,60,ftg,200600268,4
140037,60,75,pts,200600269,5
140038,0,5,ftg,200600212,1
140038,5,10,ftg,200600213,2
140038,10,30,ftg,200600214,3
140038,30,60,ftg,200600215,4
140038,60,90,ftg,200600216,5
140039,0,5,ftg,200600183,1
140039,5,10,ftg,200600184,2
140039,10,30,ftg,200600185,3
140039,30,60,pts,200600186,4
140039,60,90,pts,200600187,5
140040,0,5,ftg,200600135,1
140040,5,10,ftg,200600136,2
140040,10,30,ftg,200600137,3
140040,30,60,ftg,200600138,4
140040,60,80,pts,200600139,5
140041,0,5,ftg,200600142,1
140041,5,10,ftg,200600143,2
