bund_nr,horikombi,flaeche,anzahl,probennr
140001,l+of,225,8,200630187
140001,oh,225,8,200630188
140002,l+of,400,8,200630189
140003,l+of,225,8,200630190
140003,oh,225,8,200630191
140004,l+of,225,8,200630192
140004,oh,225,8,200630193
140005,l+of,150,8,200630185
140005,oh,150,8,200630186
140006,l+of,80,16,200630233
140006,oh,80,16,200630234
140007,l+of,225,8,200630245
140007,oh,225,8,200630246
140008,l+of,80,16,200630240
140008,oh,80,16,200630241
140009,l+of,225,8,200630213
140009,oh,225,8,200630214
140010,-9,40,8,2006H00209
140010,l+of,80,16,2006H00208
140011,l+of,80,8,200630220
140011,oh,80,8,200630221
140012,l+of,80,16,200630226
140012,oh,80,16,200630227
140013,l+of,80,16,200630215
140013,oh,80,16,200630216
140014,l+of,225,8,200630222
140014,oh,225,8,200630223
140015,l+of,225,8,200630224
140015,oh,225,8,200630225
140016,l+of,300,8,200630140
140016,oh,300,8,200630141
140017,l+of,80,8,200630206
140017,oh,80,8,200630207
140018,l+of,80,8,200630201
140018,oh,80,8,200630202
140019,l+of,225,8,200630199
140019,oh,225,8,200630200
140020,l+of,225,8,200630194
140020,oh,225,8,2006300195 (sehr wenig Material)
140021,l+of,80,16,200630252
140021,oh,80,16,200630253
140022,l+of,80,16,200630247
140022,oh,80,16,20630248
140023,l+of,625,8,200630107
140023,oh,625,8,200630108
140024,l+of,320,8,200630105
140024,oh,320,8,200630106
140025,l+of,300,8,200630158
140025,oh,300,8,200630159
140026,l+of,225,8,200630129
140026,oh,225,8,200630130
140027,l+of,225,8,200630125
140027,oh,225,8,200630126
140028,l+of,225,8,200630127
140028,oh,225,8,200630128
140029,l+of,225,8,200630131
140029,oh,225,8,200630132
140030,l+of,80,8,200630138
140030,oh,80,8,200630139
140031,l+of,225,8,200630133
140031,oh,225,8,200630134
140032,l+of,225,8,200630145
140032,oh,225,8,200630146
140033,l+of,80,8,200630109 2.)
140033,oh,80,8,200630110 2.)
140034,l+of,200,8,200630113
140034,oh,200,8,200630114
140035,l+of,225,8,200630117 1.)
140035,oh,225,8,2006307118
140036,l+of,80,8,200630119
140036,oh,80,8,200630120
140037,l+of,225,8,200630115
140037,oh,225,8,200630116
140038,l+of,320,8,200630099 1)
140038,oh,320,8,200630100
140039,l+of,180,8,200630090
140039,oh,180,8,200630091
140040,l+of,200,8,200630078
140040,oh,200,8,200630079
140041,l+of,200,8,200630080
140041,oh,200,8,200630081
140042,l+of,80,24,2006H30055
140042,oh,80,24,2006H0056
140043,l+of,160,8,200630084
140043,oh,160,8,200630085
140044,l+of,240,1,200630051
140044,oh,240,1,200630052
140045,l+of,80,16,200630049
140045,oh,80,16,200630050
140046,l+of,160,8,200630082
140046,oh,160,8,200630083
140047,l+of,240,8,200630053
140047,oh,240,8,200630054
140048,l+of,200,8,200630076
140048,oh,200,8,200630077
140049,l+of,200,8,200630059
140049,oh,200,8,200630060
140050,l+of,240,1,200630070
140050,oh,240,1,200630071
140051,l+of,400,8,2006300061
140051,oh,400,8,200630062
140052,l+of,240,8,200630063
140052,oh,240,8,200630064
140053,l+of,240,8,200630072
140053,oh,240,8,200630073
140054,l+of,200,8,200630183
140054,oh,200,8,200630184
140055,l+of,80,32,200630092
140055,oh,80,32,200630093
140056,l+of,180,8,200630088
140056,oh,180,8,200630089
140057,l+of,300,8,200630101
140057,oh,300,8,200630102
140058,l+of,200,8,200630086
140058,oh,200,8,200630087
140059,l+of,300,8,200630180
140059,oh,300,8,200630181
140060,l+of,80,8,200630175
140060,oh,80,8,200630176
140061,l+of,225,8,200630167
140061,oh,225,8,200630168
140062,l+of,225,8,200630151
140062,oh,225,8,200630152
140063,l+of,200,8,200630149
140063,oh,200,8,200630150
140064,l+of,225,8,200630147
140064,oh,225,8,200630148
140065,l+of,300,8,200630156
140065,oh,300,8,200630157
140066,l+of,225,8,200630165
140066,oh,225,8,200630166
140067,l+of,120,8,200630163
140067,oh,120,8,200630164
140068,l+of,80,16,200630169
140068,oh,80,16,200630170
140089,l+of,225,8,200630231
140089,oh,225,8,200630232
140102,l+of,225,8,200630238
140102,of,225,8,200630239
140175,l+of,225,8,200630123
140175,oh,225,8,200630124
140187,l+of,150,8,200630094
140187,oh,150,8,200630095
140234,l+of,80,32,2006300065
140234,oh,80,32,200630066
140252,l+of,80,2,200630057
140252,oh,80,2,200630058
140254,l,400,8,200630174
140315,l+of,400,8,200630074
140315,oh,400,8,200630075
140316,l+of,400,8,200630182
