bund_nr,ort,bover_1,bover_2,bover_3,bover_4,auswirkung,richtungskorr,entfkorr
140001,4,,,,,0,-9,-2
140001,2,,,,,0,-9,-2
140001,7,,,,,0,-9,-2
140001,1,,,,,0,-9,-2
140001,8,,,,,0,-9,-2
140001,5,,,,,0,-9,-2
140001,3,,,,,0,-9,-2
140001,6,,,,,0,-9,-2
140002,7,,,,,0,-9,-2
140002,3,,,,,0,-9,-2
140002,5,,,,,0,-9,-2
140002,8,,,,,0,-9,-2
140002,4,,,,,0,-9,-2
140002,2,,,,,0,-9,-2
140002,6,,,,,0,-9,-2
140002,1,,,,,0,-9,-2
140003,6,,,,,0,-9,-2
140003,8,,,,,0,-9,-2
140003,7,,,,,0,-9,-2
140003,4,,,,,0,-9,-2
140003,3,,,,,0,-9,-2
140003,2,,,,,0,-9,-2
140003,5,,,,,0,-9,-2
140003,1,,,,,0,-9,-2
140004,3,,,,,0,-9,-2
140004,4,,,,,0,-9,-2
140004,2,,,,,0,-9,-2
140004,1,,,,,0,-9,-2
140004,6,,,,,0,-9,-2
140004,8,,,,,0,-9,-2
140004,7,,,,,0,-9,-2
140004,5,,,,,0,-9,-2
140005,8,,,,,0,-9,-2
140005,4,,,,,0,-9,-2
140005,1,,,,,0,-9,-2
140005,7,,,,,0,-9,-2
140005,3,,,,,0,-9,-2
140005,2,,,,,0,-9,-2
140005,6,,,,,0,-9,-2
140005,5,,,,,0,-9,-2
140006,8,,,,,0,-9,-2
140006,6,,,,,0,-9,-2
140006,1,,,,,0,-9,-2
140006,7,,,,,0,-9,-2
140006,2,,,,,0,-9,-2
140006,4,,,,,0,-9,-2
140006,5,,,,,0,-9,-2
140006,3,,,,,0,-9,-2
140007,6,,,,,0,-9,-2
140007,5,,,,,0,-9,-2
140007,1,,,,,0,-9,-2
140007,4,,,,,0,-9,-2
140007,3,,,,,0,-9,-2
140007,2,,,,,0,-9,-2
140007,8,,,,,0,-9,-2
140007,7,,,,,0,-9,-2
140008,2,,,,,0,-9,-2
140008,3,,,,,0,-9,-2
140008,4,,,,,0,-9,-2
140008,8,,,,,0,-9,-2
140008,7,,,,,0,-9,-2
140008,6,,,,,0,-9,-2
140008,1,,,,,0,-9,-2
140008,5,,,,,0,-9,-2
140009,1,,,,,0,-9,-2
140009,7,,,,,0,-9,-2
140009,4,,,,,0,-9,-2
140009,5,,,,,0,-9,-2
140009,3,,,,,0,-9,-2
140009,2,,,,,0,-9,-2
140009,8,,,,,0,-9,-2
140009,6,,,,,0,-9,-2
140010,7,,,,,0,-9,-2
140010,6,,,,,0,-9,-2
140010,2,,,,,0,-9,-2
140010,5,,,,,0,-9,-2
140010,4,,,,,0,-9,-2
140010,3,,,,,0,-9,-2
140010,1,,,,,0,-9,-2
140010,8,39,,,,1,-9,4
140011,1,,,,,0,-9,-2
140011,8,,,,,0,-9,-2
140011,6,,,,,0,-9,-2
140011,5,,,,,0,-9,-2
140011,2,,,,,0,-9,-2
140011,7,,,,,0,-9,-2
140011,4,,,,,0,-9,-2
140011,3,,,,,0,-9,-2
140012,6,,,,,0,-9,-2
140012,5,,,,,0,-9,-2
140012,1,,,,,0,-9,-2
140012,3,,,,,0,-9,-2
140012,8,,,,,0,-9,-2
140012,2,,,,,0,-9,-2
140012,7,,,,,0,-9,-2
140012,4,,,,,0,-9,-2
140013,5,,,,,0,-9,-2
140013,4,,,,,0,-9,-2
140013,3,,,,,0,-9,-2
140013,8,,,,,0,-9,-2
140013,1,,,,,0,-9,-2
140013,2,,,,,0,-9,-2
140013,6,,,,,0,-9,-2
140013,7,,,,,0,-9,-2
140014,8,,,,,0,-9,-2
140014,7,,,,,0,-9,-2
140014,6,11,,,,1,-9,4
140014,2,,,,,0,-9,-2
140014,4,,,,,0,-9,-2
140014,3,,,,,0,-9,-2
140014,5,,,,,0,-9,-2
140014,1,,,,,0,-9,-2
140015,2,,,,,0,-9,-2
140015,1,,,,,0,-9,-2
140015,4,,,,,0,-9,-2
140015,3,,,,,0,-9,-2
140015,5,,,,,0,-9,-2
140015,6,,,,,0,-9,-2
140015,8,,,,,0,-9,-2
140015,7,,,,,0,-9,-2
140016,2,,,,,0,-9,-2
140016,5,,,,,0,-9,-2
140016,3,,,,,0,-9,-2
140016,1,,,,,0,-9,-2
140016,4,,,,,0,-9,-2
140016,7,,,,,0,-9,-2
140016,6,,,,,0,-9,-2
140016,8,,,,,0,-9,-2
140017,1,,,,,0,-9,-2
140017,4,,,,,0,-9,-2
140017,2,,,,,0,-9,-2
140017,6,,,,,0,-9,-2
140017,5,,,,,0,-9,-2
140017,8,,,,,0,-9,-2
140017,3,,,,,0,-9,-2
140017,7,,,,,0,-9,-2
140018,6,,,,,0,-9,-2
140018,1,,,,,0,-9,-2
140018,8,,,,,0,-9,-2
140018,7,,,,,0,-9,-2
140018,3,,,,,0,-9,-2
140018,4,,,,,0,-9,-2
140018,2,,,,,0,-9,-2
140018,5,,,,,0,-9,-2
140019,3,,,,,0,-9,-2
140019,4,,,,,0,-9,-2
140019,6,,,,,0,-9,-2
140019,2,,,,,0,-9,-2
140019,1,,,,,0,-9,-2
140019,7,,,,,0,-9,-2
140019,8,,,,,0,-9,-2
140019,5,,,,,0,-9,-2
140020,4,,,,,0,-9,-2
140020,2,,,,,0,-9,-2
140020,1,,,,,0,-9,-2
140020,3,,,,,0,-9,-2
140020,7,,,,,0,-9,-2
140020,8,,,,,0,-9,-2
140020,6,,,,,0,-9,-2
