bund_nr,datum,ort,lfd_nr,schicht,deckung_bze2,deckung,art,frequenz_epi,anz_flechten
140001,2006-05-23,z,1,b1,5.0,-9.0,026.007.007,,
140001,2006-05-23,z,2,b1,5.0,-9.0,036.001.001,,
140001,2006-05-23,z,3,b1,15.0,-9.0,034.001.001,,
140001,2006-05-23,z,4,b2,1.0,-9.0,034.001.001,,
140001,2006-05-23,z,5,b2,1.0,-9.0,026.004.001,,
140001,2006-05-23,z,6,b2,3.0,-9.0,080.028.002,,
140001,2006-05-23,z,7,ks,0.5,-9.0,026.001.006,,
140001,2006-05-23,z,8,ks,5.0,-9.0,080.009.007,,
140001,2006-05-23,z,9,ks,0.01,-9.0,047.008.001,,
140001,2006-05-23,z,10,ks,10.0,-9.0,080.028.002,,
140001,2006-05-23,z,11,ks,0.1,-9.0,080.009.076,,
140001,2006-05-23,z,12,ks,0.2,-9.0,169.173.030,,
140001,2006-05-23,z,13,ks,1.0,-9.0,193.044.010,,
140001,2006-05-23,z,14,ks,20.0,-9.0,193.074.005,,
140001,2006-05-23,z,15,ks,0.1,-9.0,193.087.022,,
140001,2006-05-23,z,16,ks,0.1,-9.0,193.091.003,,
140001,2006-05-23,z,17,ks,0.2,-9.0,199.012.999,,
140001,2006-09-13,z,18,ks,0.5,-9.0,026.001.006,,
140001,2006-09-13,z,19,ks,0.1,-9.0,036.001.001,,
140001,2006-09-13,z,20,ks,0.1,-9.0,036.004.011,,
140001,2006-09-13,z,21,ks,10.0,-9.0,080.009.007,,
140001,2006-09-13,z,22,ks,3.0,-9.0,080.009.076,,
140001,2006-09-13,z,23,ks,7.0,-9.0,080.028.002,,
140001,2006-09-13,z,24,ks,0.5,-9.0,095.001.005,,
140001,2006-09-13,z,25,ks,0.1,-9.0,132.003.001,,
140001,2006-09-13,z,26,ks,1.0,-9.0,132.018.004,,
140001,2006-09-13,z,27,ks,40.0,-9.0,132.018.006,,
140001,2006-09-13,z,28,ks,0.01,-9.0,135.008.003,,
140001,2006-09-13,z,29,ks,0.1,-9.0,144.005.118,,
140001,2006-09-13,z,30,ks,0.02,-9.0,154.027.024,,
140001,2006-09-13,z,31,ks,0.01,-9.0,169.096.071,,
140001,2006-09-13,z,32,ks,0.001,-9.0,169.173.030,,
140001,2006-09-13,z,33,ks,1.0,-9.0,193.016.008,,
140001,2006-09-13,z,34,ks,0.01,-9.0,193.026.003,,
