bund_nr,pk_nr,lfd_nr,bart,hoehe,grklasse
140001,1,1,wta,140,1
140001,1,2,vbe,70,0
140001,1,3,tei,180,1
140001,1,4,wta,320,1
140001,1,5,wta,430,2
140001,1,6,wta,260,1
140001,1,7,vbe,320,1
140001,1,8,vbe,200,1
140001,1,9,vbe,400,1
140001,1,10,bah,330,1
140001,2,1,vbe,150,1
140001,2,2,vbe,90,0
140001,2,3,vbe,170,1
140001,2,4,vbe,110,0
140001,2,5,vbe,40,0
140001,2,6,vbe,100,0
140001,2,7,vbe,200,1
140001,2,8,vbe,130,1
140001,2,9,vbe,120,0
140001,2,10,vbe,270,1
140001,3,1,vbe,20,0
140001,3,2,vbe,70,0
140001,3,3,vbe,240,1
140001,3,4,vbe,200,1
140001,3,5,vbe,80,0
140001,3,6,vbe,70,0
140001,3,7,bah,180,1
140001,3,8,wta,410,1
140001,3,9,vbe,50,0
140001,3,10,vbe,100,0
140001,4,1,rbu,450,1
140001,4,2,vbe,70,0
140001,4,3,rbu,170,1
140001,4,4,rbu,50,0
140001,4,5,rbu,30,0
140001,4,6,vbe,80,0
140001,4,7,rbu,150,1
140001,4,8,vbe,50,0
140001,4,9,rbu,320,1
140001,4,10,rbu,230,1
140002,1,1,wli,160,1
140002,1,2,wli,560,1
140002,1,3,wli,900,2
140002,1,4,wli,420,1
140002,1,5,wli,430,1
140002,1,6,wli,310,1
140002,1,7,wli,650,1
140002,1,8,wli,790,1
140002,1,9,wli,620,2
140002,1,10,wli,490,1
140002,2,1,ges,20,0
140002,2,2,ges,20,0
140002,2,3,ges,20,0
140002,2,4,ges,20,0
140002,2,5,ges,20,0
140002,2,6,ges,20,0
140002,2,7,ges,20,0
140002,2,8,ges,20,0
140002,2,9,ges,20,0
140002,2,10,ges,20,0
140002,3,1,wli,150,1
140002,3,2,ges,20,0
140002,3,3,ges,30,0
140002,3,4,ges,30,0
140002,3,5,ges,20,0
140002,3,6,ges,20,0
140002,3,7,ges,20,0
140002,3,8,ges,20,0
140002,4,1,ges,20,0
140002,4,2,ges,20,0
140002,4,3,ges,30,0
140002,4,4,hbu,20,0
140002,4,5,ges,30,0
140002,4,6,ges,20,0
140002,4,7,ges,20,0
140002,4,8,ges,20,0
140002,4,9,ges,50,0
140002,4,10,sah,20,0
140003,1,1,rbu,20,0
140003,1,2,rbu,80,0
140003,1,3,rbu,20,0
140003,1,4,bah,40,0
140003,1,5,vbe,20,0
140003,1,6,vbe,30,0
140003,1,7,vbe,30,0
140003,1,8,rbu,20,0
140003,1,9,rbu,50,0
140003,1,10,rbu,40,0
140003,2,1,rbu,20,0
140003,2,2,rbu,40,0
140003,2,3,vbe,40,0
140003,2,4,rbu,20,0
140003,2,5,vbe,30,0
140003,2,6,rbu,50,0
140003,2,7,sei,20,0
140003,2,8,rbu,30,0
140003,2,9,rbu,40,0
140003,2,10,vbe,40,0
140003,3,1,rbu,90,0
140003,3,2,rbu,50,0
140003,3,3,rbu,50,0
140003,3,4,rbu,30,0
140003,3,5,rbu,80,0
140003,3,6,rbu,80,0
140003,3,7,rbu,50,0
140003,3,8,rbu,70,0
140003,3,9,rbu,30,0
140003,3,10,rbu,50,0
140003,4,1,rbu,20,0
140003,4,2,rbu,20,0
140003,4,3,rbu,20,0
140003,4,4,rbu,20,0
140003,4,5,rbu,20,0
140003,4,6,rbu,20,0
140003,4,7,rbu,20,0
140003,4,8,rbu,320,1
140003,4,9,rbu,810,3
140003,4,10,rbu,20,0
140004,1,1,rbu,20,0
140004,1,2,rbu,30,0
140004,1,3,vbe,20,0
140004,1,4,vbe,40,0
140004,1,5,rbu,30,0
140004,1,6,bah,20,0
140004,1,7,rbu,20,0
140004,1,8,rbu,20,0
140004,1,9,rbu,20,0
140004,1,10,rbu,20,0
140004,2,1,rbu,20,0
140004,2,2,rbu,20,0
140004,4,1,rbu,20,0
140004,4,2,rbu,20,0
140004,4,3,rbu,20,0
140004,4,4,rbu,20,0
140004,4,5,rbu,20,0
140004,4,6,rbu,20,0
140005,1,1,vbe,50,0
140005,1,2,vbe,40,0
140005,1,3,vbe,30,0
140005,1,4,vbe,50,0
140005,1,5,vbe,20,0
140005,1,6,gfi,30,0
140005,1,7,vbe,50,0
140005,1,8,vbe,20,0
140005,1,9,vbe,50,0
140005,1,10,vbe,60,0
140005,2,1,vbe,20,0
140005,2,2,vbe,60,0
140005,2,3,vbe,30,0
140005,2,4,vbe,40,0
140005,2,5,vbe,30,0
140005,2,6,vbe,30,0
140005,2,7,vbe,30,0
140005,2,8,gfi,20,0
140005,2,9,gfi,20,0
140005,2,10,gfi,20,0
140005,3,1,vbe,30,0
140005,3,2,vbe,50,0
140005,3,3,vbe,30,0
140005,3,4,vbe,20,0
140005,3,5,vbe,30,0
140005,3,6,vbe,30,0
140005,3,7,vbe,30,0
140005,3,8,vbe,50,0
140005,3,9,vbe,40,0
140005,3,10,vbe,40,0
140005,3,11,vbe,20,0
140005,4,1,vbe,30,0
140005,4,2,vbe,50,0
140005,4,3,vbe,50,0
140005,4,4,vbe,40,0
140005,4,5,vbe,60,0
140005,4,6,vbe,20,0
140005,4,7,vbe,30,0
140005,4,8,vbe,40,0
140005,4,9,vbe,30,0
140005,4,10,vbe,50,0
140006,1,1,gki,40,0
140006,1,2,gki,20,0
140006,1,3,gki,30,0
140006,1,4,gki,20,0
140006,1,5,gki,20,0
140006,1,6,gki,20,0
140006,1,7,gki,40,0
140006,1,8,gki,30,0
140006,1,9,gki,20,0
140006,1,10,gki,20,0
140006,2,1,gki,20,0
140006,2,2,gki,20,0
140006,2,3,gki,20,0
140006,2,4,gki,20,0
140006,2,5,gki,20,0
