id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1989-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1989-01-01,
-1,nicht erhoben,Merkmal nicht erhoben,1989-01-01,
11,Befahrung,"Befahrung (z.B. Rückewege, Fahrspur)",2006-01-01,
12,Holzrückung,Holzrückung (z.B. Schleifspur),2006-01-01,
13,Anhäufung von organischem Material,"Anhäufung von organischem Material (z.B. Rinde, Späne, Schlagabraum)",2006-01-01,
19,sonst. Einflüsse aus forstlicher Bewirtschaftung,sonstige Einflüsse aus forstlicher Bewirtschaftung (sonstige bzw. nicht spezifiziert),2006-01-01,
29,Einflüsse durch Tiere,"Einflüsse durch Tiere ( z.B. Wühlaktivität, unterirdische Wohnstätten, Suhle, Exkremente)",2006-01-01,
31,"Kirrung, Wildfütterung","Kirrung, Wildfütterung",2006-01-01,
32,landwirtschaftliche Vornutzung,landwirtschaftliche Vornutzung (z.B. Pflugsohle),2006-01-01,
33,Abbau von Bodenschätzen,"Abbau von Bodenschätzen (Sand, Kies, Steine, Erz usw.)",2006-01-01,
34,Ablagerung von Fremdmaterial,"Ablagerung von Fremdmaterial (Abfall, Kläschlamm, Abwässer, Bauschutt usw.)",2006-01-01,
35,Entwässerung,Entwässerung (Gräben),2006-01-01,
36,Überstauung,Überstauung,2006-01-01,
37,Kriegsschäden,Kriegsschäden (z.B. Bombentrichter),2006-01-01,
38,historisches Gewerbe,"historisches Gewerbe (z.B. Holzkohle-, Metall-, Glasgewinnung)",2006-01-01,
39,sonst. Einflüsse durch Menschen,sonstige Einflüsse durch Menschen (sonstige bzw. nicht spezifiziert),2006-01-01,
41,natürliche Materialverlagerung,"natürliche Materialverlagerung (Ab- / Auftrag durch  Erosion, Hangrutschung)",2006-01-01,
42,Windwurf,Windwurf,2006-01-01,
43,Waldbrand,Waldbrand,2006-01-01,
44,Auflichtung,Auflichtung (Blöße),2006-01-01,
45,natürliche Materialverlagerung,"natürliche Materialverlagerung (Auftrag durch Erosion,Hangrutschung, Bodenauftrag anderer Art)",2022-01-01,
49,sonst. abiotische Ursachen,Einflüsse durch sonstige (abiotische) Ursachen (sonstige bzw. nicht spezifiziert),2006-01-01,
50,Baum,Baum (biotisch),2022-01-01,
