id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",2006-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,2006-01-01,
-1,nicht erhoben,Merkmal nicht erhoben,2006-01-01,
100,100,saure magmatische Gesteine,2006-01-01,
110,+Pla,Plutonite (saure magmatische Gesteine),2006-01-01,
111,+G,Granit,2006-01-01,
112,+GDr,Granodiorit,2006-01-01,
113,+To,Tonalit,2006-01-01,
120,+Va,Vulkanite (saure magmatische Gesteine),2006-01-01,
121,+R,"Rhyolith, Quarzporphyr",2006-01-01,
122,+qPqh,Quarzporphyrit,2006-01-01,
123,+Dz,Dazit,2006-01-01,
124,+Pqh,Porphyrit,2006-01-01,
125,125,"Quarzkeratophyr, Keratophyr",2006-01-01,
126,+Kt,Keratophyr,2006-01-01,
130,+Gg_smG,Ganggesteine (saure magmatische Gesteine),2006-01-01,
131,+Pe,Pegmatit,2006-01-01,
132,+A,Aplit,2006-01-01,
133,133,Granitporphyr,2006-01-01,
200,200,intermediäre magmatische Gesteine,2006-01-01,
210,+Pli,Plutonite (intermediäre magmatische Gesteine),2006-01-01,
211,+Sy,Syenit,2006-01-01,
212,+Dr,Diorit,2006-01-01,
213,+Mz,Monzonit,2006-01-01,
214,+MzDr,Monzodiorit,2006-01-01,
215,215,Quarzdiorit,2006-01-01,
220,+Vi,Vulkanite (intermediäre magmatische Gesteine),2006-01-01,
221,+An,Andesit,2006-01-01,
222,+Lt,Latit,2006-01-01,
223,+Tr,Trachyt,2006-01-01,
224,+Ph,Phonolith,2006-01-01,
230,+Gg_imG,Ganggesteine (intermediäre magmatische Gesteine),2006-01-01,
231,231,Dioritporphyr,2006-01-01,
232,232,Dioritaplit,2006-01-01,
233,233,Syenitporphyr,2006-01-01,
234,234,Syenitaplit,2006-01-01,
300,300,(ultra)basische magmatische Gesteine,2006-01-01,
310,+Plb/+U,Plutonite ((ultra)basische magmatische Gesteine),2006-01-01,
311,+Gb,Gabbro,2006-01-01,
312,+Ao,Anorthosit,2006-01-01,
313,+Pd,Peridotit,2006-01-01,
314,+Py,Pyroxenit,2006-01-01,
320,+Vb/+VU,Vulkanite ((ultra)basische magmatische Gesteine),2006-01-01,
321,+B,Basalt,2006-01-01,
322,+D,Diabas,2006-01-01,
323,323,Melaphyr,2006-01-01,
324,+Te,Tephrit,2006-01-01,
325,+Bs,Basanit,2006-01-01,
326,+Ne,Nephelinit,2006-01-01,
327,+Pk,Pikrit,2006-01-01,
330,+Gg_bmG,Ganggesteine ((ultra)basische magmatische Gesteine),2006-01-01,
331,+L,Lamprophyr,2006-01-01,
332,+Do,Dolerit,2006-01-01,
400,400,saure metamorphe Gesteine,2006-01-01,
410,410,"quarzreiche Phyllite, Schiefer",2006-01-01,
411,*Ph,Phyllit,2006-01-01,
412,412,Quarzphyllit,2006-01-01,
413,413,Quarzglimmerschiefer,2006-01-01,
420,*Q,Metaquarzite,2006-01-01,
430,430,helle Gneise,2006-01-01,
431,431,Quarzgneis,2006-01-01,
432,432,Orthogneis,2006-01-01,
433,433,Granitgneis,2006-01-01,
440,*Gr,Granulit,2006-01-01,
450,*Mi,Migmatit,2006-01-01,
460,*H,Hornfels,2006-01-01,
470,470,helle Paragneise,2006-01-01,
480,*MI_,Stoßwellenmetamorphite,2006-01-01,
481,*Su,Suevit,2006-01-01,
500,500,Intermediäre und (ultra)basische metamorphe Gesteine,2006-01-01,
510,510,Metapelite und Schiefer,2006-01-01,
511,*Tsf,Tonschiefer,2006-01-01,
512,*Tfl,Flaserschiefer,2006-01-01,
513,*Cg,Grünschiefer(Chloritschiefer),2006-01-01,
514,514,Serizitschiefer,2006-01-01,
515,*Tk,Talkschiefer,2006-01-01,
520,520,"dunkle Gneise, dunkle Paragneise",2006-01-01,
521,521,Hornblendegneis,2006-01-01,
530,530,massige metamorphe Gesteine,2006-01-01,
531,*Ek,Eklogit,2006-01-01,
532,*Am,Amphibolit,2006-01-01,
533,*Se,Serpentinit,2006-01-01,
540,*H_,Hornfels,2006-01-01,
600,600,carbonatische und sulfatische Festgesteine,2006-01-01,
610,"ˆk, *K","Kalksteine, Kalkmarmor",2006-01-01,
620,"ˆD, *D","Dolomitsteine, Dolomitmarmor",2006-01-01,
630,ˆmk,Mergelsteine,2006-01-01,
631,"ˆmk,k",Kalkmergelstein,2006-01-01,
632,"ˆmk,d",Dolomitmergelstein,2006-01-01,
633,"ˆmk,s",Sandmergelstein,2006-01-01,
634,"ˆmk,u",Schluffmergelstein,2006-01-01,
635,"ˆmk,t",Tonmergelstein,2006-01-01,
640,640,"Kalksandsteine, Kalkkonglomerate, Kalkbreccien",2006-01-01,
650,650,Organokalke (verfestigt),2006-01-01,
651,Kq_,Quellkalk,2006-01-01,
652,Ks_,Sinterkalk,2006-01-01,
653,Mw_k,Wiesenkalk,2006-01-01,
654,Fkk,Seekreide,2006-01-01,
660,ˆik,"Kieselkalke, Kalksilikate, Kalkphyllite",2006-01-01,
670,ˆev,Sulfatgesteine (Evaporite),2006-01-01,
671,ˆah,Anhydritstein,2006-01-01,
672,ˆy,Gipsstein,2006-01-01,
700,700,carbonatfreie silikatische Festgesteine,2006-01-01,
710,ˆs_,Sandsteine,2006-01-01,
711,ˆs,Sandstein,2006-01-01,
712,ˆq_,quarzitischer Sandstein,2006-01-01,
713,ˆQ,Quarzit,2006-01-01,
720,ˆg,Grauwacke,2006-01-01,
730,ˆsar,Arkosen,2006-01-01,
740,ˆc/ˆb,Konglomerate und Breccien,2006-01-01,
750,ˆi,Kieselgesteine,2006-01-01,
751,*il,"Kieselschiefer, Lydit",2006-01-01,
752,ˆra,Radiolarit,2006-01-01,
753,"ˆih, ˆif","Hornstein, Feuerstein",2006-01-01,
760,ˆu,Schluffsteine,2006-01-01,
770,ˆt,Tonsteine,2006-01-01,
800,800,cabonathaltige Lockergesteine,2006-01-01,
810,810,Meeres- und Küstenablagerungen (carbonathaltiges Lockergestein),2006-01-01,
811,wa_ca,carbonathaltige Wattablagerungen,2006-01-01,
812,St_ca,carbonathaltige Strandablagerungen,2006-01-01,
813,m_ca,carbonathaltige marine Ablagerungen (allgemein),2006-01-01,
820,820,"Fluss-, Bach- und Seeablagerungen (carbonathaltiges Lockergestein)",2006-01-01,
821,Del_,Seedeltaablagerungen,2006-01-01,
822,Fsm,Seemergel,2006-01-01,
823,Mbd,Bändermergel,2006-01-01,
824,Fmk,"carbonathaltige Mudden, Kalkmudden",2006-01-01,
825,t_ca,carbonathaltige Terrassenablagerungen,2006-01-01,
826,Mf,Flussmergel,2006-01-01,
827,Mhf,Hochflutmergel,2006-01-01,
828,Mfo,Auenmergel,2006-01-01,
829,gf_ca,carbonathaltige Schmelzwasserablagerungen,2006-01-01,
830,830,Gletscherablagerungen (carbonathaltiges Lockergestein),2006-01-01,
831,Mg,Geschiebemergel,2006-01-01,
840,840,Windablagerungen (carbonathaltiges Lockergestein),2006-01-01,
841,Sa_ca,carbonathaltiger Flugsand,2006-01-01,
842,Los_ca,carbonathaltiger Sandlöss,2006-01-01,
843,Lo,Löss,2006-01-01,
850,C,"Quellbildungen, subaerische Ausfällungen",2006-01-01,
851,Kq,Quellenkalk,2006-01-01,
852,Ks,Sinterkalk,2006-01-01,
853,Kw,"Wiesenkalk, Alm",2006-01-01,
854,Mw_m,Wiesenmergel,2006-01-01,
855,Fk,Seekreide,2006-01-01,
860,860,Umlagerungsbildungen (carbonathaltige Lockergesteine),2006-01-01,
861,"XHg, Ar_k","Kalksteinschutt, Kalksteinrutschmasse",2006-01-01,
862,ta_ca,polygenet. carbonathalt. Talbildungen,2006-01-01,
863,hg/z_ca_ab,carbonathaltige Hangablagerungen und Verschwemmungsablagerungen,2006-01-01,
864,K_ca,carbonathaltige Kolluvien,2006-01-01,
865,Pp_ca,carbonathaltige Fließerden allgemein,2006-01-01,
866,Pp(b)_ca,carbonathaltige Fließerden - Basislage,2006-01-01,
867,Pp(m)_ca,carbonathaltige Fließerden - Mittellage,2006-01-01,
868,Pp(H),carbonathaltige Fließerden - Hauptlage,2006-01-01,
869,Pp(o),carbonathaltige Fließerden - Oberlage,2006-01-01,
870,870,Verwitterungs- und Rückstandsbildungen (carbonathaltige Lockergesteine),2006-01-01,
871,"r (Lr, Tr)",carbonathaltiger Residuallehm und -ton,2006-01-01,
872,c_ca,carbonathaltiger Zersatz,2006-01-01,
873,c_su,sulfathaltiger Zersatz (aus Gipsstein),2006-01-01,
880,"*V, V/+Pyr","vulkanogene, vulkanoklastische Bildungen (Fest- und Lockergestein) (carbonathaltige Lockergesteine)",2006-01-01,
881,+Vt_ca,carbonathaltige Tuffite,2006-01-01,
890,Y,anthropogene Bildungen  (carbonathaltige Lockergesteine,2006-01-01,
891,Yb_ca,carbonathaltiger Bauschutt,2006-01-01,
892,Ya_ca,carbonath. Aschen,2006-01-01,
893,Ys_ca,carbonathaltige Schlacken,2006-01-01,
894,Ye_ca,carbonathaltiges Haldenmaterial,2006-01-01,
895,Yob,carbonathaltige Bodenverbesserungsmittel,2006-01-01,
896,Yn_ca,carbonath. Anthrop. Festgestein (Beton),2006-01-01,
897,Yü_ca,carbonathaltiger Müll,2006-01-01,
898,Ylä/Yli,Klärschlamm und carbonathaltige Industrieschlämme,2006-01-01,
899,Yj_ca,carbonath. natürliches Material,2006-01-01,
900,900,carbonatfreie Lockergesteine,2006-01-01,
910,910,Meeres- und Küstenablagerungen (carbonatfreie Lockergesteine),2006-01-01,
911,St,Strandablagerungen,2006-01-01,
912,wa,Wattablagerungen,2006-01-01,
913,m,marine Ablagerungen (allgemein),2006-01-01,
920,920,"Fluss-, Bach- und Seeablagerungen (carbonatfreie Lockergesteine)",2006-01-01,
921,Del,Seedeltaablagerungen,2006-01-01,
922,Fs,mineral. Seeablagerungen,2006-01-01,
923,b,Beckenablagerungen,2006-01-01,
924,Fm,kalkfreie organo-mineralische Mudden,2006-01-01,
925,t,Terrassen- und Flussablagerungen,2006-01-01,
926,hf,Hochflutablagerungen,2006-01-01,
927,fo,Auenablagerungen,2006-01-01,
928,gf,Schmelzwasserablagerungen,2006-01-01,
930,930,Gletscherablagerungen (carbonatfreie Lockergesteine),2006-01-01,
931,mor,Moränenablagerungen,2006-01-01,
940,940,Windablagerungen (carbonatfreies Lockergestein),2006-01-01,
941,Sa,"äolischer Sand, Flugsand",2006-01-01,
942,Slo,"äolische Schluffsande, Lösssande",2006-01-01,
943,Los,Sandlöss,2006-01-01,
944,Lol,"äolische Schluffe, Lösslehm",2006-01-01,
950,950,Ausfällungsbildungen,2006-01-01,
951,Ra,Raseneisenstein,2006-01-01,
960,960,Umlagerungsbildungen (carbonatfreies Lockergestein),2006-01-01,
961,"XHg, Ar","Gesteinsschutt, Gesteinsrutschungsmassen",2006-01-01,
962,ta,polygenet. Talbildungen,2006-01-01,
963,hg/z,Hangablagerungen und Verschwemmungsablagerungen,2006-01-01,
964,K,Kolluvien,2006-01-01,
965,Pp,Fließerden allgemein,2006-01-01,
966,Pp(b),Fließerde - Basislage,2006-01-01,
967,Pp(m),Fließerde - Mittellage,2006-01-01,
968,"Pp(h), (o)",Fließerde - Hauptlage und Oberlage,2006-01-01,
969,"Lp, Sp",Geschiebedecklehm und -sand,2006-01-01,
970,970,Verwitterungs- und Rückstandsbildungen (carbonatfreie Lockergesteine),2006-01-01,
971,c_zer,Zersetzungsbildungen allgemein,2006-01-01,
972,csa,Saprolith,2006-01-01,
973,r,Residualbildungen (allgemein),2006-01-01,
974,"Lr, Tr",Residuallehm und -ton,2006-01-01,
980,980,"vulkanogen, vulkanoklastisch (Fest- und Lockergestein) (carbonatfreie Lockergesteine)",2006-01-01,
981,+VT,"Tuff, Tuffstein (incl. Bims)",2006-01-01,
982,+Vt_it,Tuffit,2006-01-01,
983,V,Tephra,2006-01-01,
990,990,anthropogene Bildungen (carbonatfreie Lockergesteine),2006-01-01,
991,Yb,Bauschutt,2006-01-01,
992,Ya,Aschen,2006-01-01,
993,Ys,Schlacken,2006-01-01,
994,Ye,Haldenmaterial,2006-01-01,
995,Yo,Bodenverbesserungsmittel,2006-01-01,
996,Yn,anthropogenes Festgestein,2006-01-01,
997,Yü,Müll,2006-01-01,
998,Yl,Schlamm,2006-01-01,
999,Yj,natürliches Material,2006-01-01,
1000,1000,organische Bildungen,2006-01-01,
1010,H,Torfe,2006-01-01,
1011,1011,Kalkniedermoortorf,2006-01-01,
1012,Hn,Niedermoortorf,2006-01-01,
1013,Hu,Übergangsmoortorf,2006-01-01,
1014,Hh,Hochmoortorf,2006-01-01,
1030,F,organische Mudden,2006-01-01,
1031,Fhl,Lebermudde,2006-01-01,
1032,Fhh,Torfmudde,2006-01-01,
1033,Fhg,Detritusmudde,2006-01-01,
1040,Yjk,Komposte,2006-01-01,
1050,ˆko,Kohlegesteine,2006-01-01,
1051,ˆstk,Steinkohle,2006-01-01,
1052,ˆbrk,Braunkohle,2006-01-01,
