id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",2006-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,2006-01-01,
-1,nicht erhoben,Merkmal nicht erhoben,2006-01-01,
1,Werte aus BZE 1,Fortschreibung der Werte aus der BZE I,2006-01-01,
2,Schätzung an Profilwand,Schätzung (GB > 2 mm) an der Profilwand,2006-01-01,
3,Stechzylinder,Stechzylinder,2006-01-01,
4,Murachscher Wurzelbohrer,Murachscher Wurzelbohrer,2006-01-01,
5,Rammkernsonde,Rammkernsonde,2006-01-01,
6,Nmin-Bohrer,Nmin-Bohrer,2006-01-01,2022-01-01
7,GB 2-20 mm aus volumenger. Probe; GB >20 Schätzung an Profilwand,Anteil des GB 2 - 20 mm aus volumengerechter Beprobung (Tab.V- 8); GB > 20 mm aus Schätzung an der Profilwand,2006-01-01,
8,"GB 2-63 volumenger.Probe/Schippe/Spaten; GB > 63 Schätzung an Profilwand, Stechzylinder",Anteil des GB 2-20 mm aus volumengerechter Beprobung (Tab.V-8); Anteil des GB 20-63 mm aus Schippen / Spaten-Beprobung; Anteil des GB > 63 mm aus Schätzung an der Profilwand Stechzylinder,2006-01-01,
9,"GB 2-63 Schippe/Spaten; GB > 63 Schätzung an Profilwand, Stechkappen",Anteil des GB 2 - 63 mm aus Schippen / Spaten-Beprobung; Anteil des GB > 63 mm aus Schätzung an der Profilwand (i. A. nur bei Stechkappenbeprobung),2006-01-01,
10,Volumenersatzverfahren,Volumenersatzverfahren,2006-01-01,
11,Viro Methode,Viro Methode,2006-01-01,2022-01-01
12,"GB 2-63 volumenger.Probe/Schippe/Spaten; GB > 63 Schätzung an Profilwand, Lab./Fotoauswertung","Anteil des GB 2-20 mm aus volumengerechter Beprobung (Tab.V-8); Anteil des GB 20-63 mm aus Schippen/Spaten-Beprobung; Anteil des GB > 63 mm aus Schätzung an der Profilwand, Messung im Labor und Fotoauswertung",2022-01-01,
