id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1989-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1989-01-01,
-1,nicht erhoben,Merkmal nicht erhoben,1989-01-01,
l,L,"organischer Horizont, Ansammlung von nicht und wenig zersetzter Pflanzensubstanz an der Bodenoberfläche (L = engl. Litter)",1989-01-01,2022-01-01
o,O,"organischer Horizont, Ansammlung von stark zersetzten Pflanzenresten (O = organisch)",1989-01-01,
h,H,organischer Horizont aus Resten torfbindender Pflanzen (Torf) (H = Humus),1989-01-01,
a,A,mineralischer Oberbodenhorizont mit Akkumulation organischer Substanz und / oder Verarmung an mineralischer Substanz und / oder an Humus,1989-01-01,
b,B,"mineralischer Unterbodenhorizont mit einer Änderung des Stoffbestandes und der Farbe gegenüber dem Ausgangsgestein sowie weniger als 75 Vol-% Grobskelettanteil (> 2 cm) aus Festgesteinsresten (soweit nicht P, T, S und G) und pedogener Gefügebildung",1989-01-01,
c,C,"mineralischer Untergrundhorizont, in der Regel das Ausgangsgestein, aus dem der Boden entstanden ist",1989-01-01,
f,F,"organ. o mineral. Horizont am Gewässergrund bzw. im Gezeitenbereich mit in der Regel >= 1 Masse-% organ Substanz, soweit nicht H-Horizont. Im Küstenströmungsbereich in der Regel <=1 Masse-% organ. Substanz und nicht o nur sehr schwach zeichnend",1989-01-01,
p,P,"mineralischer Unterbodenhorizont aus Tongestein oder Tonmergelgestein (P = Pelosol), Tongehalt außer bei Übergangshorizonten > 45 Masse-%, Prismen- und Polyedergefüge",1989-01-01,
t,T,"mineralischer Unterbodenhorizont aus dem Lösungsrückstand von Carbonatgesteinen, die >= 75 Masse-% Carbonat enthalten, Tongehalt>= 65 Masse-%, in Übergangshorizonten 45 – < 65 Masse-%",1989-01-01,
s,S,mineralischer Unterbodenhorizont mit Stauwassereinfluss und bestimmten hydromorphen Merkmalen,1989-01-01,
g,G,Semiterrestrischer Mineralbodenhorizont mit Grundwassereinfluss,1989-01-01,
m,M,Mineralbodenhorizont aus fortlaufend im Holozän sedimentiertem Solummaterial,1989-01-01,
e,E,Mineralbodenhorizont aus aufgetragenem Plaggen- oder Kompostmaterial,1989-01-01,
r,R,"anthropogener Mischhorizont > 4 dm, durch tiefgreifende bodenmischende Meliorationsmaßnahmen oder nicht regelmäßiges, tiefes Pflügen entstanden",1989-01-01,
y,Y,"durch Reduktgas (z.B. CO2, CH4, H2S) geprägter Horizont",1989-01-01,
n,N,Mineralbodenhorizont aus Tonmineralen und/oder Al-Humus-Komplexen mit reaktiven OH-Gruppen,2022-01-01,
