id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,Merkmal nicht erhoben,2006-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,2006-01-01,
-1,nicht erhoben,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",2006-01-01,
lo,lo,locker,2006-01-01,
ve,ve,verklebt,2006-01-01,
si,si,schichtig,2006-01-01,
vn,vn,vernetzt,2006-01-01,
ta,ta,stapelartig,2006-01-01,
sp,sp,sperrig,2006-01-01,
bi,bi,biegefähig,2006-01-01,
vz,vz,verfilzt,2006-01-01,
su,su,schütter,1899-12-31,
lu,lu,lückig,1899-12-31,
