id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1989-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1989-01-01,1989-01-01
-1,nicht erhoben,Merkmal nicht erhoben,1989-01-01,
ks,KS,KS - ebener kulminationsbereich (K) / Horizontalneigung < 1°,1989-01-01,
ksz,KSZ,"KS,Z - ebener, stark gewölbter K / Qar: ""Zugeschärft, zugespitzt""",1989-01-01,
ksr,KSR,"KS,R - ebener, gewölbter K / Qar: ""gerundet""",1989-01-01,
ksf,KSF,"KS,F - ebener, gestreckter K / Qar: ""flächenhaft""",1989-01-01,
kh,KH,KH - hängiger K / Horizontalneigung > 1°,1989-01-01,
khz,KHZ,"KH,Z - hängiger K, stark gewölbter K / Qar: ""zugeschärft, zugespitzt""",1989-01-01,
khr,KHR,"KH,R - hängiger K, gewölbter K / Qar: ""gerundet""",1989-01-01,
khf,KHF,"KH,F - hängiger K, gestreckter K / Qar: ""flächenhaft""",1989-01-01,
kv,KV,KV - kulminationssattelbereich,1989-01-01,
kvz,KVZ,"KV,Z - sehr stark gewölbter Sattel / Qar: ""zugeschärft, zugespitzt""",1989-01-01,
kvr,KVR,"KV,R - gewölbter Sattel / Qar: ""gerundet""",1989-01-01,
kvf,KVF,"KV,F - gestreckter Sattel / Qar: ""flächenhaft""",1989-01-01,
ts,TS,TS - ebener Tiefenbereich (T) / Neigung < 1°,1989-01-01,
tsm,TSM,"TS,M - ebener, muldenförmiger T",1989-01-01,
tsf,TSF,"TS,F - ebener, flächenhafter T / Qar: sehr schwach muldenförmig",1989-01-01,
tss,TSS,"TS,S - ebene Talsohle T / Qar: ""gerade""",1989-01-01,
th,TH,TH - hängiger T / Neigung > 1°,1989-01-01,
thm,THM,"TH,M - hängiger, muldenförmiger T",1989-01-01,
thf,THF,"TH,F - hängiger, flächenhafter T / Qar: sehr schwach muldenförmig",1989-01-01,
ths,THS,"TH,S - hängige Talsohle T / Qar: ""gerade""",1989-01-01,
tx,TX,"TX - herausgewölbter T / ""Talwasserscheide""",1989-01-01,
txm,TXM,"TX,M - herausgewölbter, muldenförmiger T",1989-01-01,
txf,TXF,"TX,F - herausgewölbter, flächenhafter T / Qar: sehr schwach muldenförmig",1989-01-01,
txs,TXS,"TX,S - herausgewölbte Talsohle T / Qar: ""gerade""",1989-01-01,
hh,HH,"HH - Haupthang, normal, der dann über Lage im Relief o,m,u variiert wird",1989-01-01,
hf,HF,HF - Hangverflachung mit vorherrschend gestreckter Vertikalwölbung,1989-01-01,
hs,HS,HS - Hangversteilung mit vorherrSchend gestreckter Vertikalwölbung,1989-01-01,
hr,HR,"HR - muldenförmige Hangrinne mit konkaver, gerundeter Horizontalwölbung (Radius: 30 biS < 1.000 m)",1989-01-01,
hz,HZ,"HZ - kerbförmige Hangrinne mit konkaver, Zugeschärfter Horizontalwölbung (RadiuS: < 30m)",1989-01-01,
ez,EZ,"EZ - Zugeschärfte,zugspitzte Erhebung",2022-01-01,
ezr,EZR,"EZ,R - rundlich",2022-01-01,
ezl,EZL,"EZ,L - länglich gestreckt bis gebogen (Länge : Breite ≥ 3 : 1)",2022-01-01,
ezk,EZK,"EZ,K - angebundene Erhebung mit kurzem Grundriss (a : b < 3 : 1), z. B. Felsklippen, Buckel oder Schichtstufenrest am Hang",2022-01-01,
ezf,EZF,"EZ,F - Schwemmkegel",2022-01-01,
er,ER,ER - gerundete Erhebung,2022-01-01,
err,ERR,"ER,R - rundlich",2022-01-01,
erl,ERL,"ER,L - länglich gestreckt bis gebogen (Länge : Breite ≥ 3 : 1)",2022-01-01,
erk,ERK,"ER,K - angebundene Erhebung mit kurzem Grundriss (a : b < 3 : 1), z. B. Felsklippen, Buckel oder Schichtstufenrest am Hang",2022-01-01,
erf,ERF,"ER,F - Schwemmkegel",2022-01-01,
ef,EF,EF - flächenhafte Erhebung,2022-01-01,
efr,EFR,"EF,R - rundlich",2022-01-01,
efl,EFL,"EF,L - länglich gestreckt bis gebogen (Länge : Breite ≥ 3 : 1)",2022-01-01,
efk,EFK,"EF,K - angebundene Erhebung mit kurzem Grundriss (a : b < 3 : 1), z. B. Felsklippen, Buckel oder Schichtstufenrest am Hang",2022-01-01,
eff,EFF,"EF,F - schwemmkegel",2022-01-01,
ep,EP,EP - plateauförmige Erhebung (kulminationsbereich überwiegend durch gerundete Kante begrenzt,2022-01-01,
epr,EPR,"EP,R - rundlich",2022-01-01,
epl,EPL,"EP,L - länglich gestreckt bis gebogen (Länge : Breite ≥ 3 : 1)",2022-01-01,
epk,EPK,"EP,K - angebundene Erhebung mit kurzem Grundriss (a : b < 3 : 1), z. B. Felsklippen, Buckel oder Schichtstufenrest am Hang",2022-01-01,
epf,EPF,"EP,F - schwemmkegel",2022-01-01,
gf,GF,"GF - flache, schalenförmige geschlossene Hohlform (Neigung < 4° bZw. < 7 %)",2022-01-01,
gfr,GFR,"GF,R - rundliche, geschlossene Hohlform (Länge : Breite < 3 : 1)",2022-01-01,
gfl,GFL,"GF,L - längliche, geschlossene Hohlform (Länge : Breite ≥ 3 : 1)",2022-01-01,
gfz,GFZ,"GF,Z - verzweigte geschlossene Hohlform, bestehend aus mind. 3 einseitig offenen Hohlformen",2022-01-01,
gk,GK,"GK - steilere, kesselförmige Hohlform (mit deutlich abgesetzter Sohle)",2022-01-01,
gkr,GKR,"GK,R - rundliche, geschlossene Hohlform (Länge : Breite < 3 : 1)",2022-01-01,
gkl,GKL,"GK,L - längliche, geschlossene Hohlform (Länge : Breite ≥ 3 :1)",2022-01-01,
gkz,GKZ,"GK,Z - verzweigte geschlossene Hohlform, bestehend aus mindestens 3 einseitig offenen Hohlformen",2022-01-01,
gs,GS,"GS - steilere, Schüsselförm. geschl. Hohlform (Neigung ≥ 4° bZw. ≥ 7 %)",2022-01-01,
gsr,GSR,"GS,R - rundliche, geschlossene Hohlform (Länge : Breite < 3 : 1)",2022-01-01,
gsl,GSL,"GS,L - längliche, geschlossene Hohlform (Länge : Breite ≥ 3 : 1)",2022-01-01,
gsz,GSZ,"GS,Z - verzweigte geschl. Hohlform, bestehend aus mind. 3 einseitig offenen Hohlformen",2022-01-01,
oa,OA,OA - Flussauenbereich,2022-01-01,2022-01-01
oaf,OAF,"OA,F - flaches Querprofil (Tiefe : Breite < 1 : 40)",2022-01-01,2022-01-01
oan,OAN,"OA,N - normales Querprofil",2022-01-01,2022-01-01
oau,OAU,"OA,U - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2)",2022-01-01,2022-01-01
of,OF,"OF - flächenhafte, flach muldenförmige, offene Hohlform",2022-01-01,
off,OFF,"OF,F - flaches Querprofil (Tiefe : Breite < 1 : 40)",2022-01-01,
ofn,OFN,"OF,N - normales Querprofil",2022-01-01,
ofu,OFU,"OF,U - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2)",2022-01-01,
ok,OK,"OK - kerbförmige, offene Hohlform (Kerbtal)",2022-01-01,
okf,OKF,"OK,F - flaches Querprofil (Tiefe : Breite < 1 : 40)",2022-01-01,
okn,OKN,"OK,N - normales Querprofil",2022-01-01,
oku,OKU,"OK,U - schluchtförmiges Querprofil (Tiefe : Breite ≥ 1 : 2)",2022-01-01,
om,OM,"OM - gerundete, offene Hohlform (Muldental)",2022-01-01,
omf,OMF,"OM,F - flaches Querprofil (Tiefe : Breite < 1 : 40)",2022-01-01,
omn,OMN,"OM,N - normales Querprofil",2022-01-01,
